function,samples,dimension,noise,nuisance_correlation,n_correlated_proxies,width_hidden,grid,k,lamb,probe_steps,method,top_m,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,true_endpoint_rank_mean_mean,true_endpoint_rank_mean_std,true_endpoint_rank_worst_mean,true_endpoint_rank_worst_std,true_endpoint_score_mean_mean,true_endpoint_score_mean_std,max_nuisance_score_mean,max_nuisance_score_std,endpoint_minus_max_nuisance_mean,endpoint_minus_max_nuisance_std,num_support_evals
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,4,0.2,0.40683810217248617,0.8,0.10170952554312156,0.2,0.40683810217248617,0.6,0.20341905108624314,0.2,0.40683810217248617,4.233333333333333,0.5040069329937309,5.466666666666667,1.0080138659874618,0.016030232741255212,0.0003007858467415328,0.015184679504209823,0.00024242374393075827,0.0008455532370453878,0.0004516699814115402,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,6,0.8333333333333334,0.3790490217894517,0.9583333333333334,0.09476225544736294,0.8333333333333334,0.3790490217894517,0.9166666666666666,0.18952451089472586,0.8333333333333334,0.3790490217894517,4.233333333333333,0.5040069329937309,5.466666666666667,1.0080138659874618,0.016030232741255212,0.0003007858467415328,0.015184679504209823,0.00024242374393075827,0.0008455532370453878,0.0004516699814115402,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.233333333333333,0.5040069329937309,5.466666666666667,1.0080138659874618,0.016030232741255212,0.0003007858467415328,0.015184679504209823,0.00024242374393075827,0.0008455532370453878,0.0004516699814115402,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.233333333333333,0.5040069329937309,5.466666666666667,1.0080138659874618,0.016030232741255212,0.0003007858467415328,0.015184679504209823,0.00024242374393075827,0.0008455532370453878,0.0004516699814115402,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,4,0.2,0.40683810217248617,0.8,0.10170952554312156,0.2,0.40683810217248617,0.6,0.20341905108624314,0.2,0.40683810217248617,4.233333333333333,0.5040069329937309,5.466666666666667,1.0080138659874618,0.016030232741255212,0.0003007858467415328,0.015184679504209823,0.00024242374393075827,0.0008455532370453878,0.0004516699814115402,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,6,0.8333333333333334,0.3790490217894517,0.9583333333333334,0.09476225544736294,0.8333333333333334,0.3790490217894517,0.9166666666666666,0.18952451089472586,0.8333333333333334,0.3790490217894517,4.233333333333333,0.5040069329937309,5.466666666666667,1.0080138659874618,0.016030232741255212,0.0003007858467415328,0.015184679504209823,0.00024242374393075827,0.0008455532370453878,0.0004516699814115402,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.233333333333333,0.5040069329937309,5.466666666666667,1.0080138659874618,0.016030232741255212,0.0003007858467415328,0.015184679504209823,0.00024242374393075827,0.0008455532370453878,0.0004516699814115402,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.233333333333333,0.5040069329937309,5.466666666666667,1.0080138659874618,0.016030232741255212,0.0003007858467415328,0.015184679504209823,0.00024242374393075827,0.0008455532370453878,0.0004516699814115402,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.019892219714329116,0.00048567944697348853,0.016275612117587154,0.0002211286005228606,0.003616607596741962,0.0006015623240531971,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.019892219714329116,0.00048567944697348853,0.016275612117587154,0.0002211286005228606,0.003616607596741962,0.0006015623240531971,30
