function,samples,dimension,noise,nuisance_correlation,n_correlated_proxies,width_hidden,grid,k,lamb,probe_steps,method,top_m,heldout_seed,num_probe_rows,selected_screen_features,top_selection_variables,top_edge_pairs,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,true_endpoint_rank_mean,true_endpoint_rank_worst,true_endpoint_score_mean,max_nuisance_score,endpoint_minus_max_nuisance
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,4,all,30,"[0, 1, 3, 2]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 29, 46, 31]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",4,1,1.0,1,1.0,1,3.5,4.0,0.019892077620285987,0.01615148634179375,0.0037405912784922377
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,6,all,30,"[0, 1, 3, 2, 33, 98]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 29, 46, 31]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",6,1,1.0,1,1.0,1,3.5,4.0,0.019892077620285987,0.01615148634179375,0.0037405912784922377
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,10,all,30,"[0, 1, 3, 2, 33, 98, 11, 56, 81, 29]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 29, 46, 31]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",10,1,1.0,1,1.0,1,3.5,4.0,0.019892077620285987,0.01615148634179375,0.0037405912784922377
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,20,all,30,"[0, 1, 3, 2, 33, 98, 11, 56, 81, 29, 46, 31, 84, 91, 52, 59, 69, 96, 18, 57]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 29, 46, 31]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",20,1,1.0,1,1.0,1,3.5,4.0,0.019892077620285987,0.01615148634179375,0.0037405912784922377
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,4,all,30,"[0, 1, 2, 3]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 29, 46, 31]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",4,1,1.0,1,1.0,1,3.5,4.0,0.019892077620285987,0.01615148634179375,0.0037405912784922377
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,6,all,30,"[0, 1, 2, 3, 33, 98]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 29, 46, 31]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",6,1,1.0,1,1.0,1,3.5,4.0,0.019892077620285987,0.01615148634179375,0.0037405912784922377
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,10,all,30,"[0, 1, 2, 3, 11, 29, 33, 56, 81, 98]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 29, 46, 31]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",10,1,1.0,1,1.0,1,3.5,4.0,0.019892077620285987,0.01615148634179375,0.0037405912784922377
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,20,all,30,"[0, 1, 2, 3, 11, 18, 29, 31, 33, 46, 52, 56, 57, 59, 69, 81, 84, 91, 96, 98]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 29, 46, 31]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",20,1,1.0,1,1.0,1,3.5,4.0,0.019892077620285987,0.01615148634179375,0.0037405912784922377
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,grad_stability_var,4,1800,29,"[0, 1, 33, 31]","[0, 1, 33, 31, 2, 46, 3, 56, 98, 81, 77, 18]","[[0, 1, 1.0], [0, 3, 0.04404407937868886], [0, 98, 0.039405218930355965], [0, 33, 0.03936929795209882], [0, 11, 0.0382041341577735], [0, 2, 0.03819153046714953], [0, 84, 0.036928259311184215], [0, 31, 0.03691357178987277], [0, 18, 0.036572301873210804], [0, 56, 0.03643480109306283]]",4,0,0.5,0,0.0,0,6.0,7.0,0.012616796285823045,0.01382431482514561,-0.0012075185393225652
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,grad_stability_var,6,1800,29,"[0, 1, 33, 31, 2, 46]","[0, 1, 33, 31, 2, 46, 3, 56, 98, 81, 77, 18]","[[0, 1, 1.0], [0, 3, 0.04404407937868886], [0, 98, 0.039405218930355965], [0, 33, 0.03936929795209882], [0, 11, 0.0382041341577735], [0, 2, 0.03819153046714953], [0, 84, 0.036928259311184215], [0, 31, 0.03691357178987277], [0, 18, 0.036572301873210804], [0, 56, 0.03643480109306283]]",6,0,0.75,0,0.5,0,6.0,7.0,0.012616796285823045,0.01382431482514561,-0.0012075185393225652
