model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19
KAN,grad,0,core_interaction,1024,20,0.05,0.009999611414968967,0.0008745701634325087,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.794528961181641,1.2165263891220093,0.5910682678222656,0.6113080382347107,0.06858650594949722,0.051822178065776825,0.11899794638156891,0.0860503539443016,0.091879703104496,0.08332320302724838,0.06756582856178284,0.08326661586761475,0.08011699467897415,0.06387121975421906,0.06900462508201599,0.054780855774879456,0.08561234176158905,0.10515977442264557,0.08028333634138107,0.061100080609321594
KAN,perm,0,core_interaction,1024,20,0.05,0.009999611414968967,0.0008745701634325087,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3959770202636719,0.23686547577381134,0.32864436507225037,0.3262287676334381,0.00014692700642626733,0.0002390028239460662,1.8399829059490003e-05,0.00036721458309330046,3.6833807826042175e-05,0.000589447736274451,0.0,0.0004719095304608345,0.0,0.00010886633390327916,0.0,0.0,0.00012141590559622273,0.0,0.0,0.00011196359992027283
MLP,grad,0,core_interaction,1024,20,0.05,1.6678764820098877,0.0006190816056914628,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3789260387420654,1.3617342710494995,0.9069770574569702,0.8816209435462952,0.5382331013679504,0.48968756198883057,0.5608716011047363,0.5838440656661987,0.5226730108261108,0.5883297324180603,0.6443027257919312,0.4540932774543762,0.519970178604126,0.5206872224807739,0.5184425711631775,0.63820481300354,0.37892431020736694,0.5846725702285767,0.5359352827072144,0.6388516426086426
MLP,perm,0,core_interaction,1024,20,0.05,1.6678764820098877,0.0006190816056914628,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.3707401752471924,0.33164897561073303,0.3118918240070343,0.3931884765625,0.06029657647013664,0.04100831225514412,0.0,0.025889715179800987,0.04920220375061035,0.0,0.0011974970111623406,0.0,0.027820825576782227,0.0,0.0064182281494140625,0.06433745473623276,0.020085493102669716,0.052354294806718826,0.024353623390197754,0.0
KAN,grad,1,core_interaction,1024,20,0.05,0.008504003286361694,0.001184677123092115,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.791031837463379,1.1926343441009521,0.5776777863502502,0.5797924399375916,0.059957340359687805,0.05845879018306732,0.08097145706415176,0.06162036210298538,0.06087237596511841,0.06043315678834915,0.06212328374385834,0.049489594995975494,0.05847407504916191,0.06079649180173874,0.10960831493139267,0.09202131628990173,0.08438879251480103,0.050941407680511475,0.04462403059005737,0.043390512466430664
KAN,perm,1,core_interaction,1024,20,0.05,0.008504003286361694,0.001184677123092115,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4143381118774414,0.25381162762641907,0.31686365604400635,0.30551132559776306,7.07339495420456e-05,6.506281351903453e-05,5.635495108435862e-05,0.0005779179628007114,0.0,0.0,4.1389528632862493e-05,3.059953451156616e-05,0.0003235697222407907,0.0008077674428932369,0.0,0.00022117763001006097,0.0,7.2189919592347e-05,8.272938430309296e-06,0.0
MLP,grad,1,core_interaction,1024,20,0.05,1.6752976179122925,0.0006117025623098016,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.1612999439239502,1.3527820110321045,0.861467719078064,0.8491469621658325,0.5998852849006653,0.5944597125053406,0.643751323223114,0.5848467350006104,0.5560145974159241,0.5090675354003906,0.5263903141021729,0.5572104454040527,0.547703206539154,0.5460556745529175,0.5610901117324829,0.5607770681381226,0.49073782563209534,0.45880162715911865,0.45641255378723145,0.5986050963401794
MLP,perm,1,core_interaction,1024,20,0.05,1.6752976179122925,0.0006117025623098016,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.1640297919511795,0.2755020558834076,0.37290680408477783,0.37469640374183655,0.06543699651956558,0.033557575196027756,0.0,0.02231375314295292,0.0,0.05544467642903328,0.02064681053161621,0.01755293272435665,0.002059419872239232,0.0676092728972435,0.0,0.034778911620378494,0.014948725700378418,0.03506318852305412,0.0014785925159230828,0.045992057770490646
KAN,grad,2,core_interaction,1024,20,0.05,0.01105036586523056,0.0005665737553499639,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.650081157684326,1.1569198369979858,0.5660033226013184,0.573023796081543,0.10240133106708527,0.09680589288473129,0.10296206176280975,0.09611641615629196,0.10117487609386444,0.08770351856946945,0.10373317450284958,0.07261399924755096,0.09953361004590988,0.08308205008506775,0.07954338192939758,0.0743144229054451,0.12028349190950394,0.06838866323232651,0.09000521153211594,0.11199343949556351
KAN,perm,2,core_interaction,1024,20,0.05,0.01105036586523056,0.0005665737553499639,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3152741193771362,0.22656698524951935,0.29420438408851624,0.27731427550315857,0.00018713313329499215,0.0,0.0,0.0002782509254757315,0.0,0.00013747748744208366,0.00013258557009976357,0.0,0.0004949728026986122,0.0,0.0,3.168359398841858e-06,0.0003587234241422266,0.00023456259805243462,0.0,0.0006909684161655605
