model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19
KAN,grad,0,core_interaction,512,20,0.05,0.06827746331691742,7.3545197665225714e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.5765299797058105,1.0128650665283203,0.5445014834403992,0.604093074798584,0.22691050171852112,0.12217137962579727,0.18302728235721588,0.23291948437690735,0.20426729321479797,0.21409612894058228,0.23039385676383972,0.23280173540115356,0.15843236446380615,0.1632634550333023,0.21745750308036804,0.12695394456386566,0.224778413772583,0.19769255816936493,0.1876864731311798,0.3074946403503418
KAN,perm,0,core_interaction,512,20,0.05,0.06827746331691742,7.3545197665225714e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.2594631910324097,0.23223435878753662,0.2836613655090332,0.27103114128112793,0.0,0.0003104656934738159,0.0,0.0,0.0,0.0010935788741335273,0.0,0.0002857173385564238,0.0,0.0002607951464597136,0.004919799510389566,0.0,0.003816204844042659,0.0002258432359667495,0.0017770826816558838,0.002823884366080165
MLP,grad,0,core_interaction,512,20,0.05,2.0402653217315674,3.203439700882882e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.6476813554763794,1.3476998805999756,0.8197927474975586,1.1095842123031616,0.453483521938324,0.628242015838623,0.4605201482772827,0.5346276760101318,0.5256743431091309,0.5384243130683899,0.5725998282432556,0.45765119791030884,0.548638105392456,0.5113649964332581,0.6464349627494812,0.5465186238288879,0.4361746907234192,0.5595572590827942,0.6402871608734131,0.5435953140258789
MLP,perm,0,core_interaction,512,20,0.05,2.0402653217315674,3.203439700882882e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.08827829360961914,0.21022050082683563,0.27888011932373047,0.2924935817718506,0.0,0.0,0.0026657581329345703,0.0,0.0,0.0,0.03760536387562752,0.0,0.04664452746510506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAN,grad,1,core_interaction,512,20,0.05,0.2359534204006195,4.079006714619027e-07,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,3.8560657501220703,1.2465415000915527,0.7296358346939087,0.6653372645378113,0.3768464922904968,0.43575519323349,0.47178155183792114,0.462374210357666,0.4872841238975525,0.31617653369903564,0.33758240938186646,0.411140501499176,0.5523464679718018,0.4294379949569702,0.39645737409591675,0.4559198021888733,0.3506774306297302,0.397107869386673,0.391584187746048,0.32619619369506836
KAN,perm,1,core_interaction,512,20,0.05,0.2359534204006195,4.079006714619027e-07,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3008757829666138,0.259611576795578,0.24831229448318481,0.22914338111877441,0.0,0.0,0.0,0.0,0.0,0.0,0.0023167282342910767,0.0,0.0,0.0003749678435269743,0.0,0.0,0.0022873233538120985,0.005097200628370047,0.0,0.0038632999639958143
MLP,grad,1,core_interaction,512,20,0.05,1.9800500869750977,0.0001085419426090084,"[1, 2, 3, 5]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,0.6910558938980103,1.2961068153381348,0.7864108085632324,0.8251398801803589,0.5461148023605347,0.7022680640220642,0.5477761030197144,0.6290634870529175,0.49451112747192383,0.5382770299911499,0.4864848554134369,0.467136025428772,0.5528264045715332,0.6034799814224243,0.561334490776062,0.6542167663574219,0.6544138193130493,0.5328007936477661,0.6026541590690613,0.6329932808876038
MLP,perm,1,core_interaction,512,20,0.05,1.9800500869750977,0.0001085419426090084,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.23943574726581573,0.39909815788269043,0.3017387390136719,0.35967597365379333,0.03483577445149422,0.01712234877049923,0.019197503104805946,0.0,0.0,0.10883041471242905,0.05015023425221443,0.032532691955566406,0.0,0.027873316779732704,0.035059887915849686,0.10136953741312027,0.0,0.0,0.013164480216801167,0.0
KAN,grad,2,core_interaction,512,20,0.05,0.9264787435531616,7.956141985232534e-07,"[0, 1, 3, 19]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,4.339326858520508,1.6227794885635376,1.033656120300293,1.1749975681304932,0.8766841292381287,0.5053707957267761,1.0408835411071777,0.9488685727119446,0.6597393751144409,0.8095503449440002,0.931153416633606,1.0478750467300415,0.6930705308914185,0.7719069719314575,0.9086499810218811,0.8853578567504883,0.9108953475952148,0.8115675449371338,1.0220227241516113,1.2556118965148926
KAN,perm,2,core_interaction,512,20,0.05,0.9264787435531616,7.956141985232534e-07,"[0, 1, 3, 4]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,1.2313897609710693,0.06184864044189453,0.029560783877968788,0.1020083799958229,0.06974919885396957,0.0018011132488027215,0.00534135103225708,0.02592424489557743,0.0,0.00022437174629885703,0.018512964248657227,0.0,0.025801122188568115,0.0,0.0,0.041341643780469894,0.0,0.0,0.002718210220336914,0.0
