model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19
KAN,grad,0,core_interaction,2048,20,0.01,0.00021032521908637136,0.00011649038788164034,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.811367988586426,1.192959189414978,0.585594892501831,0.5897729396820068,0.007155758328735828,0.00487913191318512,0.006542413495481014,0.006510038394480944,0.006606213748455048,0.007310104556381702,0.008275414817035198,0.005349832586944103,0.005544466432183981,0.005719376727938652,0.006175247021019459,0.0068367766216397285,0.007108381483703852,0.008290348574519157,0.00552333751693368,0.010858189314603806
KAN,perm,0,core_interaction,2048,20,0.01,0.00021032521908637136,0.00011649038788164034,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4408007860183716,0.2536640167236328,0.30286452174186707,0.31493404507637024,0.0,1.6179110389202833e-06,0.0,1.5000550774857402e-06,0.0,0.0,0.0,0.0,0.0,2.1093001123517752e-07,1.581283868290484e-06,2.9650400392711163e-06,1.6480238400617964e-06,0.0,2.9382741217887087e-07,0.0
MLP,grad,0,core_interaction,2048,20,0.01,0.0028605004772543907,0.00042007194133475423,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.656224250793457,1.1786394119262695,0.5813756585121155,0.5907653570175171,0.02020072191953659,0.017567485570907593,0.02271393872797489,0.021602127701044083,0.019967500120401382,0.019611060619354248,0.02155468612909317,0.02221299707889557,0.021669555455446243,0.02005048096179962,0.02430848777294159,0.021086344495415688,0.02232407033443451,0.02393817901611328,0.01991407945752144,0.020122669637203217
MLP,perm,0,core_interaction,2048,20,0.01,0.0028605004772543907,0.00042007194133475423,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4230374097824097,0.25229355692863464,0.3021934926509857,0.31344446539878845,0.0,7.307335181394592e-05,0.00012568377132993191,3.9344653487205505e-05,4.421733319759369e-05,0.0,9.624248923501e-05,7.611769251525402e-05,5.200512896408327e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.271394522627816e-05
KAN,grad,1,core_interaction,2048,20,0.01,0.0002793555031530559,0.00016972445882856846,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.620667934417725,1.1941200494766235,0.5845772624015808,0.5718608498573303,0.007685142103582621,0.003834946546703577,0.004705164581537247,0.006486714351922274,0.0038406646344810724,0.005200017709285021,0.004665574058890343,0.006080192048102617,0.005509516224265099,0.006374537479132414,0.004818277899175882,0.007276169955730438,0.004457085393369198,0.004175708629190922,0.008165163919329643,0.005301498807966709
KAN,perm,1,core_interaction,2048,20,0.01,0.0002793555031530559,0.00016972445882856846,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4595483541488647,0.24789279699325562,0.30128249526023865,0.3094848692417145,0.0,2.24865902964666e-06,0.0,0.0,0.0,0.0,0.0,2.92607001028955e-06,0.0,9.049836080521345e-07,0.0,9.529273370390001e-07,2.1960779861274204e-07,1.1624069884419441e-07,0.0,3.475385312867729e-07
MLP,grad,1,core_interaction,2048,20,0.01,0.20365913212299347,0.0018601503688842058,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,3.1368117332458496,1.2022870779037476,0.5946665406227112,0.5945795178413391,0.18563081324100494,0.2049351930618286,0.19735673069953918,0.16026446223258972,0.18103042244911194,0.225660502910614,0.1975375860929489,0.18910561501979828,0.19305461645126343,0.19442647695541382,0.17720305919647217,0.1839677095413208,0.17635852098464966,0.14047065377235413,0.199654221534729,0.20290610194206238
MLP,perm,1,core_interaction,2048,20,0.01,0.20365913212299347,0.0018601503688842058,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.2741057872772217,0.24096135795116425,0.274506539106369,0.2845515310764313,0.0007880330085754395,0.0031124453525990248,0.0,0.0,0.0,0.0,0.0,0.0005811452865600586,0.0,0.004621689673513174,0.0,0.0,0.0,0.0,0.005022639874368906,0.0
KAN,grad,2,core_interaction,2048,20,0.01,0.00022513467411044985,0.00012759344826918095,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.7395148277282715,1.1190491914749146,0.5650986433029175,0.5628215074539185,0.008068564347922802,0.007287192158401012,0.008750220760703087,0.01099356822669506,0.010441921651363373,0.007864803075790405,0.008313369937241077,0.009573617950081825,0.012544430792331696,0.010399434715509415,0.009133151732385159,0.009124800562858582,0.01107732392847538,0.009374610148370266,0.011892417445778847,0.010267123579978943
KAN,perm,2,core_interaction,2048,20,0.01,0.00022513467411044985,0.00012759344826918095,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3761790990829468,0.24972717463970184,0.2969094514846802,0.2966613471508026,0.0,8.422600217272702e-07,0.0,0.0,0.0,1.37350673412584e-06,0.0,3.866982297040522e-06,0.0,8.719895845388237e-07,1.3076836467007524e-06,0.0,1.0103394743055105e-07,0.0,5.293598519529041e-07,1.8330271132072085e-06
MLP,grad,2,core_interaction,2048,20,0.01,0.12731106579303741,0.0037234979681670666,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,3.329308032989502,1.1128830909729004,0.5844378471374512,0.5746272206306458,0.14301659166812897,0.187810018658638,0.15574073791503906,0.17440633475780487,0.15301162004470825,0.1568930447101593,0.14461782574653625,0.1621522158384323,0.146930992603302,0.1614322066307068,0.173822820186615,0.14056488871574402,0.1419558823108673,0.14800472557544708,0.16382642090320587,0.15537451207637787
MLP,perm,2,core_interaction,2048,20,0.01,0.12731106579303741,0.0037234979681670666,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.1766806840896606,0.23951327800750732,0.3066531717777252,0.3105938136577606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007531791925430298,0.0048465183936059475,0.00031466782093048096,0.0,0.0007513463497161865,0.0,0.0063064247369766235,0.0
KAN,grad,3,core_interaction,2048,20,0.01,0.00022563112725038081,0.0001176499790744856,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.715394020080566,1.2098177671432495,0.5804928541183472,0.5688751935958862,0.007815323770046234,0.005461996421217918,0.008717304095625877,0.006160530261695385,0.007945532910525799,0.00882027205079794,0.007416330743581057,0.005482016131281853,0.009106659330427647,0.005742297973483801,0.008818401023745537,0.00819247867912054,0.009859593585133553,0.006981719750910997,0.008639734238386154,0.00811360590159893
KAN,perm,3,core_interaction,2048,20,0.01,0.00022563112725038081,0.0001176499790744856,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.464369773864746,0.2543320655822754,0.3124806582927704,0.31421053409576416,1.9363360479474068e-06,4.6624822402918653e-07,0.0,1.3519505728254444e-06,2.6166915176872863e-06,1.503848238826322e-06,0.0,8.936137305681768e-07,0.0,0.0,1.8345745047554374e-06,0.0,7.286677714546386e-07,9.470240911468863e-07,0.0,0.0
MLP,grad,3,core_interaction,2048,20,0.01,0.0017239220906049013,0.0005086249439045787,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.610803127288818,1.2059955596923828,0.5766171216964722,0.5681225061416626,0.013794763013720512,0.01534455455839634,0.015323199331760406,0.016441572457551956,0.012586545199155807,0.015779338777065277,0.011685713194310665,0.01648198626935482,0.016038130968809128,0.016650138422846794,0.014295291155576706,0.013726428151130676,0.01613588258624077,0.013549817726016045,0.01583283767104149,0.014153126627206802
MLP,perm,3,core_interaction,2048,20,0.01,0.0017239220906049013,0.0005086249439045787,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.456668496131897,0.25285103917121887,0.3126225173473358,0.3124394416809082,6.281134119490162e-05,0.0,0.0,0.0,3.077326618949883e-05,6.687827408313751e-05,0.0,0.0,0.0,7.058377377688885e-06,1.167870777862845e-05,1.0275592103425879e-05,0.0,0.0,0.0,5.3377083531813696e-05
KAN,grad,4,core_interaction,2048,20,0.01,0.0003686966956593096,0.00021800611284561455,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.673790454864502,1.198415994644165,0.5913560390472412,0.5901393890380859,0.006350664887577295,0.00991643313318491,0.007532643619924784,0.006926326081156731,0.012280505150556564,0.011574163101613522,0.008151568472385406,0.011131418868899345,0.006894448772072792,0.010052969679236412,0.01165475882589817,0.008765905164182186,0.007962298579514027,0.007803292013704777,0.010620417073369026,0.01043887808918953
KAN,perm,4,core_interaction,2048,20,0.01,0.0003686966956593096,0.00021800611284561455,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.452536702156067,0.25936800241470337,0.3187629282474518,0.3227077126502991,1.0763372984001762e-06,0.0,0.0,0.0,6.483266474788252e-07,6.181333446875215e-06,1.7297182921538479e-06,0.0,0.0,0.0,0.0,3.084714990109205e-07,0.0,0.0,0.0,4.59747388958931e-06
