wave,method,function,samples,dimension,top_m,screen_model_test_mse_mean,screen_model_test_mse_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,true_interaction_beats_all_false_std,num_runs
one_shot,single_feature_var,core_interaction_c025,64,20,4,0.723180890083313,,0.0015545630594715476,,0.6343716382980347,,0.0,,0.25,,0.0,,0.0,,0.25,,0.5546875,,0.4,,0.0,,41.0,,-11.20962142944336,,0.0,,1
one_shot,single_grad_var,core_interaction_c025,64,20,4,0.723180890083313,,0.0010479111224412918,,0.11308225989341736,,0.0,,0.5,,0.0,,0.0,,0.5,,0.71875,,0.6,,0.0,,39.0,,-4.4041595458984375,,0.0,,1
