function,dimension,noise,screen_mode,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std
correlated_proxy,100,0.05,exclude_interaction,10,grad,0.004083949886262417,0.0018029382336435377,4.32020427385966,1.9468717746542448,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.08796644381862459,0.4668402777777778,0.04993928320953167,0.07200000000000001,0.08444778606587963,0.0,0.0
correlated_proxy,100,0.05,exclude_interaction,10,perm,0.004083949886262417,0.0018029382336435377,4.32020427385966,1.9468717746542448,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.08796644381862459,0.4668402777777778,0.04993928320953167,0.07200000000000001,0.08444778606587963,0.0,0.0
correlated_proxy,100,0.05,exclude_interaction,20,grad,1.323125791922545e-06,2.0642076827368007e-06,2.7227359930674235,1.108153339026955,0.0,0.11666666666666667,0.0,0.0,0.0,0.11666666666666667,0.12909944487358055,0.4676215277777777,0.07944974712434079,0.13255555555555557,0.11279083511869432,0.0,0.0
correlated_proxy,100,0.05,exclude_interaction,20,perm,1.323125791922545e-06,2.0642076827368007e-06,2.7227359930674235,1.108153339026955,0.0,0.11666666666666667,0.0,0.0,0.0,0.1,0.1267731382092775,0.4657118055555556,0.07748164331799252,0.10524074074074075,0.09659553501012265,0.0,0.0
correlated_proxy,100,0.05,exclude_interaction,30,grad,4.909720950537396e-08,9.501303456691994e-08,2.105609242121379,1.017301992153842,0.0,0.13333333333333333,0.0,0.0,0.0,0.11666666666666667,0.12909944487358055,0.4307291666666667,0.08449536259963182,0.1193888888888889,0.0968350681482717,0.0,0.0
correlated_proxy,100,0.05,exclude_interaction,30,perm,4.909720950537396e-08,9.501303456691994e-08,2.105609242121379,1.017301992153842,0.0,0.13333333333333333,0.0,0.0,0.0,0.1,0.1267731382092775,0.42916666666666675,0.08339260355022457,0.11392592592592594,0.09714293062901395,0.0,0.0
correlated_proxy,100,0.05,oracle_support,10,grad,0.0005685451983784636,0.00020541059444864032,0.016382343197862307,0.005766198901286129,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4,0.50709255283711
correlated_proxy,100,0.05,oracle_support,10,perm,0.0005685451983784636,0.00020541059444864032,0.016382343197862307,0.005766198901286129,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4,0.50709255283711
correlated_proxy,100,0.05,oracle_support,20,grad,1.4176820459255168e-05,2.6595967264686358e-05,0.22746957081059616,0.3046482368064662,1.0,1.0,1.0,1.0,1.0,0.8833333333333333,0.208452346958198,0.9894097222222222,0.023239629912690858,0.9252416468979937,0.1479712448022109,0.06666666666666667,0.2581988897471611
correlated_proxy,100,0.05,oracle_support,20,perm,1.4176820459255168e-05,2.6595967264686358e-05,0.22746957081059616,0.3046482368064662,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.1809367161139365,0.9916666666666667,0.021546570778237212,0.9338414404223229,0.15736483082538513,0.06666666666666667,0.2581988897471611
correlated_proxy,100,0.05,oracle_support,30,grad,5.694437933042214e-08,8.281950096620141e-08,0.6693785667419434,0.2761303167922266,1.0,1.0,1.0,1.0,1.0,0.5333333333333333,0.20845234695819798,0.9458333333333333,0.03517622338268074,0.6285378141428193,0.1701629539336769,0.0,0.0
correlated_proxy,100,0.05,oracle_support,30,perm,5.694437933042214e-08,8.281950096620141e-08,0.6693785667419434,0.2761303167922266,1.0,1.0,1.0,1.0,1.0,0.5166666666666667,0.2402875261808137,0.9350694444444445,0.04106318301317226,0.6183935553950809,0.2008120485065423,0.0,0.0
correlated_proxy,100,0.05,random,10,grad,0.005004834073285262,0.0023293070425041257,5.337367002169291,2.1563172807005806,0.0,0.13333333333333333,0.0,0.2,0.0,0.08333333333333333,0.12198750911856664,0.5203125,0.08628879542500181,0.10883333333333334,0.10381693671654135,0.0,0.0
correlated_proxy,100,0.05,random,10,perm,0.005004834073285262,0.0023293070425041257,5.337367002169291,2.1563172807005806,0.0,0.13333333333333333,0.0,0.2,0.0,0.11666666666666667,0.1599851183555461,0.5215277777777778,0.088654933824689,0.11716666666666667,0.12135633939399751,0.0,0.0
correlated_proxy,100,0.05,random,20,grad,1.1395620234111448e-06,1.5554173068228216e-06,2.8345417300860087,1.5565112242061716,0.0,0.26666666666666666,0.06666666666666667,0.3,0.06666666666666667,0.11666666666666667,0.12909944487358055,0.5465277777777777,0.11725719929020816,0.15389612921191867,0.11445646399058208,0.0,0.0
correlated_proxy,100,0.05,random,20,perm,1.1395620234111448e-06,1.5554173068228216e-06,2.8345417300860087,1.5565112242061716,0.0,0.26666666666666666,0.06666666666666667,0.3,0.06666666666666667,0.11666666666666667,0.12909944487358055,0.5454861111111111,0.11793892136203529,0.14391666666666666,0.10776348651362945,0.0,0.0
correlated_proxy,100,0.05,random,30,grad,1.8111580894301464e-08,1.9038993970057075e-08,2.134488010406494,0.9810776238055772,0.0,0.3333333333333333,0.0,0.4,0.0,0.13333333333333333,0.1599851183555461,0.5269097222222222,0.10418952812125902,0.14075679471618557,0.11969108994259837,0.0,0.0
correlated_proxy,100,0.05,random,30,perm,1.8111580894301464e-08,1.9038993970057075e-08,2.134488010406494,0.9810776238055772,0.0,0.3333333333333333,0.0,0.4,0.0,0.13333333333333333,0.1599851183555461,0.5265625,0.1052420771116138,0.1407446893188949,0.11998785975632958,0.0,0.0
correlated_proxy,100,0.05,rf,10,grad,0.0016364737413823605,0.0016408104283886858,0.18873080710570017,0.3654201202438068,0.8,0.9333333333333333,0.8,0.8666666666666667,0.8,0.9,0.20701966780270625,0.9616319444444446,0.08383589083474464,0.8954444444444445,0.21731995528014209,0.2,0.4140393356054125
correlated_proxy,100,0.05,rf,10,perm,0.0016364737413823605,0.0016408104283886858,0.18873080710570017,0.3654201202438068,0.8,0.9333333333333333,0.8,0.8666666666666667,0.8,0.9,0.20701966780270625,0.9619791666666667,0.08330455464753894,0.89225,0.223910822756782,0.2,0.4140393356054125
correlated_proxy,100,0.05,rf,20,grad,1.3131263002226963e-05,1.834455899772078e-05,0.20766914151608945,0.2614941891482439,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.2439750182371333,0.9873263888888889,0.027274868361071045,0.8888192294461644,0.1953798181833165,0.13333333333333333,0.35186577527449836
correlated_proxy,100,0.05,rf,20,perm,1.3131263002226963e-05,1.834455899772078e-05,0.20766914151608945,0.2614941891482439,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.22886885410853172,0.9914930555555556,0.021144135028368583,0.9144672035480859,0.17052005235345122,0.13333333333333333,0.35186577527449836
correlated_proxy,100,0.05,rf,30,grad,2.63704330816239e-08,2.1132631793593387e-08,0.7695303459962209,0.20826114521693193,1.0,1.0,1.0,1.0,1.0,0.43333333333333335,0.17593288763724918,0.9458333333333333,0.02699519196792127,0.5456425195318384,0.11961136981449569,0.0,0.0
correlated_proxy,100,0.05,rf,30,perm,2.63704330816239e-08,2.1132631793593387e-08,0.7695303459962209,0.20826114521693193,1.0,1.0,1.0,1.0,1.0,0.4,0.18419709940325182,0.9461805555555556,0.02700356461012951,0.5362673605831276,0.11545914242978485,0.0,0.0
correlated_proxy,100,0.05,rf_exclude_interaction,10,grad,0.003120363464889427,0.0007995562932303374,0.9962584416071574,0.294157880321706,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.7265625,0.0019685649635897153,0.4477777777777778,0.04845496463607829,0.0,0.0
correlated_proxy,100,0.05,rf_exclude_interaction,10,perm,0.003120363464889427,0.0007995562932303374,0.9962584416071574,0.294157880321706,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.7258680555555556,0.001832634246221322,0.42,0.05850315416812198,0.0,0.0
correlated_proxy,100,0.05,rf_exclude_interaction,20,grad,7.275735048513828e-07,7.432205205509723e-07,0.8532960732777913,0.1689046922565702,0.0,0.5,0.0,0.0,0.0,0.38333333333333336,0.12909944487358055,0.6944444444444444,0.009372243862942064,0.40017857142857144,0.07246360705949272,0.0,0.0
correlated_proxy,100,0.05,rf_exclude_interaction,20,perm,7.275735048513828e-07,7.432205205509723e-07,0.8532960732777913,0.1689046922565702,0.0,0.5,0.0,0.0,0.0,0.36666666666666664,0.12909944487358058,0.6923611111111111,0.008573245439606005,0.38026695526695525,0.06240756706334671,0.0,0.0
correlated_proxy,100,0.05,rf_exclude_interaction,30,grad,7.222477793611404e-08,8.132262020949435e-08,0.8058926900227864,0.16428068310524482,0.0,0.5,0.0,0.0,0.0,0.35,0.1267731382092775,0.6664930555555556,0.008774295446473807,0.3722069597069597,0.04318632260317906,0.0,0.0
correlated_proxy,100,0.05,rf_exclude_interaction,30,perm,7.222477793611404e-08,8.132262020949435e-08,0.8058926900227864,0.16428068310524482,0.0,0.5,0.0,0.0,0.0,0.31666666666666665,0.11443442705426586,0.6569444444444444,0.018161723310790825,0.3564403627063474,0.06571402180771357,0.0,0.0
