function,dimension,noise,screen_mode,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std
core_interaction_c5,100,0.0,exclude_interaction,10,grad,0.13462355385224026,0.014111924231119512,4.141974035898844,0.5373884057279256,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.08796644381862459,0.4668402777777778,0.04993928320953167,0.07200000000000001,0.08444778606587963,0.0,0.0
core_interaction_c5,100,0.0,exclude_interaction,10,perm,0.13462355385224026,0.014111924231119512,4.141974035898844,0.5373884057279256,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.08796644381862459,0.4668402777777778,0.04993928320953167,0.07200000000000001,0.08444778606587963,0.0,0.0
core_interaction_c5,100,0.0,exclude_interaction,20,grad,0.00462724583533903,0.0009021853244226523,6.396067333221436,1.4146958814404869,0.0,0.11666666666666667,0.0,0.0,0.0,0.1,0.1267731382092775,0.46640625,0.07814235918252734,0.10672222222222222,0.0959840774383602,0.0,0.0
core_interaction_c5,100,0.0,exclude_interaction,20,perm,0.00462724583533903,0.0009021853244226523,6.396067333221436,1.4146958814404869,0.0,0.11666666666666667,0.0,0.0,0.0,0.1,0.1267731382092775,0.46553819444444444,0.07728633848703668,0.10246296296296296,0.09565694986572158,0.0,0.0
core_interaction_c5,100,0.0,exclude_interaction,30,grad,1.728668066789396e-05,7.844775839380548e-06,5.812000306447347,0.9015176367309256,0.0,0.13333333333333333,0.0,0.0,0.0,0.08333333333333333,0.12198750911856665,0.42847222222222225,0.08284868057598277,0.12459147869674186,0.1143101741401891,0.0,0.0
core_interaction_c5,100,0.0,exclude_interaction,30,perm,1.728668066789396e-05,7.844775839380548e-06,5.812000306447347,0.9015176367309256,0.0,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.11443442705426586,0.42795138888888895,0.08177347931974172,0.08818518518518519,0.0817989606220503,0.0,0.0
core_interaction_c5,100,0.0,oracle_support,10,grad,8.138997351731329e-05,0.00012306460222272371,0.0001789990050989824,0.000250442889276557,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,oracle_support,10,perm,8.138997351731329e-05,0.00012306460222272371,0.0001789990050989824,0.000250442889276557,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,oracle_support,20,grad,9.910896539319461e-05,8.49491335440079e-05,0.0004568165468905742,0.0005673744588856227,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,oracle_support,20,perm,9.910896539319461e-05,8.49491335440079e-05,0.0004568165468905742,0.0005673744588856227,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,oracle_support,30,grad,0.00017178972678569455,0.00013276929504747628,0.13393281842630433,0.5155570775545585,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,0.06454972243679027,0.999826388888889,0.0006723929420498847,0.9966666666666666,0.012909944487358068,0.9333333333333333,0.2581988897471611
