model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,screen_endpoint_recall_mean,screen_contains_all_endpoints_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,true_interaction_rank_lower_bound_mean,true_interaction_rank_lower_bound_std,num_rows,failure_stage_interaction_ranking_misses_pair_count,failure_stage_recovered_count,failure_stage_screen_misses_endpoint_count,failure_stage_variable_ranking_misses_endpoint_count,num_failed
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0001545495702884886,0.00011697761230728901,2.4120134711265564,1.005604187441734,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,48.53326148986817,18.716997970211363,-48.53326148986817,18.716997970211363,0.0,2.0,0.0,10,0,0,10,0,0
KAN_tuned_fixed,core_interaction_c025,oracle_support,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00030236053280527,7.929586188951723e-05,0.00104017923003988,0.00046058205782146486,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.42163702135578396,0.24957473427057267,0.033292135755487125,0.5479828044772148,0.2531002297558253,-0.2984080702066422,0.27123415013535446,0.2,1.8,0.4216370213557839,10,8,2,0,0,0
KAN_tuned_fixed,core_interaction_c025,random,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00013771336125499212,0.0001395336401089329,2.2942385494709017,0.9694716919465686,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,53.06895580291748,42.037556828430915,-53.06895580291748,42.037556828430915,0.0,2.0,0.0,10,0,0,10,0,0
KAN_tuned_fixed,core_interaction_c025,raw,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,7.820546725269442e-05,8.754285558273636e-05,0.29255679771304127,0.3883617415998076,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.05,0.0,0.0,0.5,0.11785113019775795,0.7396739130434783,0.13671116162890887,0.5833744605009865,0.09927573042842183,0.0,0.0,0.03077300167642529,0.049869211480009196,1.944363796710968,1.0049356767471471,-1.9135907950345428,0.9806770882469331,0.0,2.0,0.0,10,0,0,0,10,0
KAN_tuned_fixed,core_interaction_c025,rf,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00240267597255291,0.0013588843825755594,0.07738895229995246,0.15306977920816747,4.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.07905694150420949,0.7252717391304349,0.04382504365994225,0.517,0.07273238618387273,0.0,0.0,0.0,0.0,4.351997137069702,4.719618952474769,-4.351997137069702,4.719618952474769,0.0,2.0,0.0,10,0,0,10,0,0
