function,dimension,screen_mode,seed,true_min_score,endpoint_min_score,nuisance_max_score,support_score_gap,endpoint_score_gap
core_interaction,100,raw,0,0.554661750793457,0.554661750793457,0.01096533052623272,0.5436964202672243,0.5436964202672243
core_interaction,100,raw,1,0.5531237721443176,0.5531237721443176,0.00794663280248642,0.5451771393418312,0.5451771393418312
core_interaction,100,raw,2,0.5275083780288696,0.5275083780288696,0.015974029898643494,0.5115343481302261,0.5115343481302261
core_interaction,100,raw,3,0.5794869661331177,0.5794869661331177,0.012579871341586113,0.5669070947915316,0.5669070947915316
core_interaction,100,raw,4,0.18513622879981995,0.18513622879981995,0.354326456785202,-0.16919022798538208,-0.16919022798538208
core_interaction,100,raw,5,0.5881457924842834,0.5881457924842834,0.03956122323870659,0.5485845692455769,0.5485845692455769
core_interaction,100,raw,6,0.5589606761932373,0.5589606761932373,0.004570408724248409,0.5543902674689889,0.5543902674689889
core_interaction,100,raw,7,0.27391308546066284,0.27391308546066284,0.2531262934207916,0.020786792039871216,0.020786792039871216
core_interaction,100,raw,8,0.566439688205719,0.566439688205719,0.007013791240751743,0.5594258969649673,0.5594258969649673
core_interaction,100,raw,9,0.5614632368087769,0.5614632368087769,0.012600555084645748,0.5488626817241311,0.5488626817241311
core_interaction,100,rf,0,0.5645226240158081,0.5645226240158081,0.0,0.5645226240158081,0.5645226240158081
core_interaction,100,rf,1,0.5662888288497925,0.5662888288497925,0.0,0.5662888288497925,0.5662888288497925
core_interaction,100,rf,2,0.5382766723632812,0.5382766723632812,0.0,0.5382766723632812,0.5382766723632812
core_interaction,100,rf,3,0.5823519229888916,0.5823519229888916,0.0,0.5823519229888916,0.5823519229888916
core_interaction,100,rf,4,0.6056700944900513,0.6056700944900513,0.0,0.6056700944900513,0.6056700944900513
core_interaction,100,rf,5,0.6194621920585632,0.6194621920585632,0.0,0.6194621920585632,0.6194621920585632
core_interaction,100,rf,6,0.5758229494094849,0.5758229494094849,0.0,0.5758229494094849,0.5758229494094849
core_interaction,100,rf,7,0.5721687078475952,0.5721687078475952,0.0,0.5721687078475952,0.5721687078475952
core_interaction,100,rf,8,0.6003923416137695,0.6003923416137695,0.0,0.6003923416137695,0.6003923416137695
core_interaction,100,rf,9,0.5660109519958496,0.5660109519958496,0.0,0.5660109519958496,0.5660109519958496
core_interaction,100,oracle_support,0,0.5635274648666382,0.5635274648666382,0.0,0.5635274648666382,0.5635274648666382
core_interaction,100,oracle_support,1,0.5705612897872925,0.5705612897872925,0.0,0.5705612897872925,0.5705612897872925
core_interaction,100,oracle_support,2,0.5412579774856567,0.5412579774856567,0.0,0.5412579774856567,0.5412579774856567
core_interaction,100,oracle_support,3,0.5820049047470093,0.5820049047470093,0.0,0.5820049047470093,0.5820049047470093
core_interaction,100,oracle_support,4,0.604919970035553,0.604919970035553,0.0,0.604919970035553,0.604919970035553
core_interaction,100,oracle_support,5,0.6195365190505981,0.6195365190505981,0.0,0.6195365190505981,0.6195365190505981
core_interaction,100,oracle_support,6,0.5731649398803711,0.5731649398803711,0.0,0.5731649398803711,0.5731649398803711
core_interaction,100,oracle_support,7,0.5740053653717041,0.5740053653717041,0.0,0.5740053653717041,0.5740053653717041
core_interaction,100,oracle_support,8,0.5996766686439514,0.5996766686439514,0.0,0.5996766686439514,0.5996766686439514
core_interaction,100,oracle_support,9,0.5688705444335938,0.5688705444335938,0.0,0.5688705444335938,0.5688705444335938
core_interaction,100,random,0,0.0,0.0,7.985042572021484,-7.985042572021484,-7.985042572021484
core_interaction,100,random,1,0.0,0.0,12.472434043884277,-12.472434043884277,-12.472434043884277
core_interaction,100,random,2,0.0,0.0,8.735198974609375,-8.735198974609375,-8.735198974609375
core_interaction,100,random,3,0.0,0.0,2.900566577911377,-2.900566577911377,-2.900566577911377
