function,samples,dimension,noise,update_grid,width_hidden,seed,test_mse,rank1_mean,rank_mean,rank_std,margin_mean,margin_std,score_repeats
core_interaction_c025,1024,100,0.0,1,16,0,0.0010745471809059381,1.0,1.0,0.0,0.07906870576553046,0.0136076594001202,10
core_interaction_c025,1024,100,0.0,1,16,1,0.0376717634499073,0.0,969.6,524.2679976246245,-0.039805386355146764,0.011208490317573485,10
core_interaction_c025,1024,100,0.0,1,16,2,0.04563979059457779,0.0,832.0,460.0335736540203,-0.0740752728190273,0.015825517953452363,10
core_interaction_c025,1024,100,0.0,1,16,3,0.022106515243649483,0.0,328.1,285.59234739202816,-0.013119029998779296,0.003991789088507562,10
core_interaction_c025,1024,100,0.0,1,16,4,0.001405077986419201,1.0,1.0,0.0,0.08048406906891614,0.018121851981095914,10
core_interaction_c025,1024,100,0.0,1,16,5,0.03126459941267967,0.0,1190.8,720.1982443127108,-0.031904509966261686,0.010634542157459048,10
core_interaction_c025,1024,100,0.0,1,16,6,0.02249818667769432,0.0,50.6,31.54960820323729,-0.009273952501825989,0.0045111554244043495,10
core_interaction_c025,1024,100,0.0,1,16,7,0.023209840059280396,0.0,10.4,19.681914992646874,-0.02006633619312197,0.008492583486336925,10
core_interaction_c025,1024,100,0.0,1,16,8,0.022409263998270035,0.0,1304.9,755.6982716519722,-0.016938031231984497,0.0029996044952658304,10
core_interaction_c025,1024,100,0.0,1,16,9,0.0006739320233464241,1.0,1.0,0.0,0.08044385882094503,0.015308042826655401,10
core_interaction_c025,1024,100,0.0,1,16,10,0.0005015353672206402,1.0,1.0,0.0,0.07415203258860856,0.013792755571929861,10
core_interaction_c025,1024,100,0.0,1,16,11,0.02127915620803833,0.4,2.1,1.1972189997378648,-0.0013581187929958105,0.005473040581484363,10
core_interaction_c025,1024,100,0.0,1,16,12,0.013110560365021229,1.0,1.0,0.0,0.027530976640991866,0.010159302883926191,10
core_interaction_c025,1024,100,0.0,1,16,13,0.0024757222272455692,1.0,1.0,0.0,0.05914763761684298,0.012128294255421234,10
core_interaction_c025,1024,100,0.0,1,16,14,0.0006495205452665687,1.0,1.0,0.0,0.08654495177324861,0.01577648366737827,10
core_interaction_c025,1024,100,0.0,1,16,15,0.026402965188026428,0.0,3047.1,1015.7084500758846,-0.025047524785622954,0.006432951155165386,10
core_interaction_c025,1024,100,0.0,1,16,16,0.0007424005307257175,1.0,1.0,0.0,0.0766318785957992,0.019650228247323796,10
core_interaction_c025,1024,100,0.0,1,16,17,0.023721449077129364,0.0,24.8,38.09578571034976,-0.0072151720756664876,0.003382254777355674,10
core_interaction_c025,1024,100,0.0,1,16,18,0.020488709211349487,0.0,883.3,988.2712234559453,-0.014622447709552944,0.0043050526959953865,10
core_interaction_c025,1024,100,0.0,1,16,19,0.02061569318175316,0.0,75.4,54.24880951074717,-0.023677864158526064,0.004318649560610411,10
