transfer_id,transfer,source_claim,target_claim,overclaim_meaning,eligible_pairs,source_passes,target_failures_given_source_pass,overclaim_risk,wilson_low,wilson_high
candidate_to_pair,candidate -> pair,true pair appears in a candidate set,pair verifier passes,screening/proposal is used to imply verified pair recovery,5630,3919,1424,0.36335799948966574,0.34844003191929906,0.3785435913807087
fitted_pair_to_pruning,fitted pair -> pruning endpoints,full fitted-function pair passes,pruned endpoint support passes,fitted reliance is used to imply extraction recovery,2596,2019,441,0.21842496285289748,0.2009459999901354,0.23697341001211092
fitted_pair_to_readout,fitted pair -> readout endpoints,full fitted-function pair passes,inspectable readout endpoints pass,model reliance is used to imply inspectable recovery,2596,2019,542,0.2684497275879148,0.24957239675816467,0.2882065375884494
prediction_to_pair,prediction -> pair,predictive adequacy,verified or fitted pair recovery,low error is used to imply interaction recovery,14343,8044,2261,0.28107906514172054,0.27136166035573817,0.2910054717210163
support_to_prediction,support -> prediction,declared support is contained in selected variables,predictive adequacy passes,structural support is used to imply a useful fit,8719,4585,1253,0.2732824427480916,0.2605766798668377,0.28636780390004585
symbolic_status_to_expression_quality,symbolic-status -> expression quality,a symbolic expression/status is returned,operator recall and complexity constraints pass,expression existence is used to imply formula quality,1262,1262,1089,0.8629160063391442,0.8428354818661299,0.8807937621087876
