registry_version,split,task_id,task_family,adapter_family,adapter,seed,expression_mse,near_equivalence_pass_mse_lt_005,exact_like_pass_mse_lt_1e8,expression,eval_error
claimtransfer_v1_standard_formula_public,public,std_highdim_sparse_product_d12_n2048_d20_n4096,standard_pair_product_highdim,symbolic_library,pysr_symbolic_regressor,53,2.1926305382625222e-15,1.0,1.0,(x0*x1 + (x2*x2 - 1*0.33553132)*1.0 + sin(x3) - 0.010385521)*1.4576783,
claimtransfer_v1_standard_formula_public,public,std_feynman_coulomb_d8_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,52,0.00043816562085044074,1.0,0.0,-x0*x1*(sin(0.34363165/x2) - 1*0.09565934)*(sin(x2/1.3775264) - 1*2.683885) - 0.77457833,
claimtransfer_v1_standard_formula_public,public,std_feynman_coulomb_d8_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,53,2.0416613906634237e-10,1.0,1.0,x1*x0*1.7047945/((x2*x2*2.6377437 + 0.5275678)*1.1203442) - 0.79534185,
claimtransfer_v1_standard_formula_public,public,std_feynman_ohm_d6_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,52,7.822413032258451e-15,1.0,1.0,x1*x0*1.20692 - 1.4300431,
claimtransfer_v1_standard_formula_public,public,std_feynman_ohm_d6_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,53,6.961466356405177e-16,1.0,1.0,x1*1.1636658*x0 - 1*1.4119103,
claimtransfer_v1_standard_formula_public,public,std_feynman_lens_d6_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,52,7.522028769840178e-05,1.0,0.0,2.7325509*sqrt((x0 + 0.5533607)*(x1 + 0.5539285)) - 4.37795697094518,
claimtransfer_v1_standard_formula_public,public,std_feynman_lens_d6_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,53,3.232714308424807e-05,1.0,0.0,0.3193323 - 1*(-2.177901) + (x0*x1 - 3.9986172)/(((x0 + x1 + 3.8640645)*0.19300783)),
claimtransfer_v1_standard_formula_public,public,std_feynman_frequency_d6_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,52,0.002409135100975818,1.0,0.0,-(3.8491426 - 0.20984927*x0*x1) + (x0 + x1 + 2.5691895)*2.048924/(x2 + 1.6963669),
claimtransfer_v1_standard_formula_public,public,std_feynman_frequency_d6_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,53,0.006625985573444854,1.0,0.0,(x0 - (-x1 + x2*1.3964764 + 0.7981704))*(x2/(-3.1235595) + 1.3406453),
claimtransfer_v1_standard_formula_public,public,std_nested_polynomial_pair_d8_n2048_d16_n4096,standard_srbench_polynomial_highdim,symbolic_library,pysr_symbolic_regressor,52,0.0022474667500503335,1.0,0.0,x3/0.77085537 - 3.0002298*cos(x0*x1 + x2) + 2.4041533,
