dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2005,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0155400300514884,0.0019643227569758,"[0, 1, 2, 3]","[0, 1, 2, 3, 7, 6, 8, 9, 12, 5, 10, 4]",335.42218923568726,1,1.0,1.0,1,1.0,1,0,"[1, 10]",13.0,0.14251708984375,0.2804945111274719
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2006,feature_stability_var,20,4,16,5,0.001,75,20,0.0119678603019565,0.0035809190012514,"[0, 1, 3, 5]","[0, 1, 3, 5, 6, 11, 12, 10, 9, 8, 7, 2]",350.5196268558502,0,0.75,0.75,0,0.5,0,0,"[0, 8]",37.0,0.0790815278887748,0.4264532625675201
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2006,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0119678603019565,0.0035809190012514,"[0, 1, 3, 6]","[0, 1, 3, 6, 5, 11, 9, 12, 10, 2, 7, 4]",350.51994371414185,0,0.75,0.75,0,0.5,0,0,"[0, 8]",37.0,0.0790815278887748,0.4264532625675201
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2007,feature_stability_var,20,4,16,5,0.001,75,20,0.0149552242481149,0.0033020209521055,"[0, 1, 3, 12]","[0, 1, 12, 3, 2, 5, 6, 8, 9, 4, 7, 11]",362.6391294002533,0,0.75,0.75,0,0.5,0,0,"[0, 11]",17.0,0.1686458438634872,0.341503769159317
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2007,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0149552242481149,0.0033020209521055,"[0, 1, 3, 12]","[0, 1, 3, 12, 6, 2, 5, 4, 8, 11, 9, 10]",362.6394484043121,0,0.75,0.75,0,0.5,0,0,"[0, 11]",17.0,0.1686458438634872,0.341503769159317
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2008,feature_stability_var,20,4,16,5,0.001,75,20,0.0040935191325843,0.003162529785186,"[0, 1, 3, 7]","[0, 1, 3, 7, 12, 2, 4, 6, 8, 11, 9, 5]",349.15473103523254,0,0.75,0.75,0,0.5,0,0,"[0, 11]",15.0,0.140410840511322,0.2993102967739105
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2008,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0040935191325843,0.003162529785186,"[0, 1, 3, 7]","[0, 1, 3, 7, 4, 12, 2, 9, 8, 6, 11, 10]",349.1550476551056,0,0.75,0.75,0,0.5,0,0,"[0, 11]",15.0,0.140410840511322,0.2993102967739105
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2009,feature_stability_var,20,4,16,5,0.001,75,20,0.0136263448512181,0.002566413488239,"[0, 1, 2, 3]","[0, 1, 3, 2, 8, 5, 7, 6, 12, 11, 10, 9]",362.1418921947479,1,1.0,1.0,1,1.0,1,0,"[1, 10]",5.0,0.2351657599210739,0.3712516129016876
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2009,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0136263448512181,0.002566413488239,"[0, 1, 2, 3]","[0, 1, 3, 2, 5, 8, 6, 7, 12, 10, 11, 9]",362.14220547676086,1,1.0,1.0,1,1.0,1,0,"[1, 10]",5.0,0.2351657599210739,0.3712516129016876
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,13,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.0018500807927921,0.0010220718104392,"[0, 1, 2, 3]","[0, 1, 3, 2, 7, 12, 6, 5, 4, 11, 8, 10]",363.9836678504944,1,1.0,1.0,1,1.0,1,0,"[1, 10]",2.0,0.2344656288623809,0.2715691328048706
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,13,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0018500807927921,0.0010220718104392,"[0, 1, 2, 3]","[0, 1, 3, 2, 4, 7, 5, 6, 12, 8, 11, 10]",363.9839816093445,1,1.0,1.0,1,1.0,1,0,"[1, 10]",2.0,0.2344656288623809,0.2715691328048706
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,13,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.0021819394314661,0.0016053171129897,"[0, 1, 3, 10]","[0, 1, 3, 10, 5, 9, 8, 2, 7, 4, 11, 12]",368.9497404098511,0,0.75,0.75,0,0.5,0,0,"[1, 10]",6.0,0.2185913771390915,0.2579831480979919
