source_file,setting,function,dimension,samples,noise,lamb,model,explain_method,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,variable_f1_mean,variable_f1_std,variable_f1_min,variable_f1_max,variable_auroc_mean,variable_auroc_std,variable_auroc_min,variable_auroc_max,variable_auprc_mean,variable_auprc_std,variable_auprc_min,variable_auprc_max,interaction_f1_mean,interaction_f1_std,interaction_f1_min,interaction_f1_max,active_score_mean_mean,active_score_mean_std,active_score_mean_min,active_score_mean_max,inactive_score_mean_mean,inactive_score_mean_std,inactive_score_mean_min,inactive_score_mean_max,active_score_min_mean,active_score_min_std,active_score_min_min,active_score_min_max,inactive_score_max_mean,inactive_score_max_std,inactive_score_max_min,inactive_score_max_max
sweep.csv,"core_interaction, d=20, n=512, noise=0.01",core_interaction,20,512,0.01,,MLP,perm,0.0001524528481240394,9.977189864048608e-05,1.721827356959693e-05,0.0002668355591595,1.9398324012756347,0.1331037224612148,1.703662991523743,2.014617443084717,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep.csv,"core_interaction, d=20, n=512, noise=0.05",core_interaction,20,512,0.05,,KAN,grad,1.5240577084796314e-05,1.7758715525926844e-05,4.079006714619027e-07,4.014945443486795e-05,0.26418945863842963,0.37874762967687836,0.0429613813757896,0.9264787435531616,0.95,0.11180339887498948,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep.csv,"core_interaction, d=20, n=512, noise=0.05",core_interaction,20,512,0.05,,KAN,perm,1.5240577084796314e-05,1.7758715525926844e-05,4.079006714619027e-07,4.014945443486795e-05,0.26418945863842963,0.37874762967687836,0.0429613813757896,0.9264787435531616,0.95,0.11180339887498948,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep.csv,"core_interaction, d=20, n=512, noise=0.05",core_interaction,20,512,0.05,,MLP,grad,0.00014784958912056578,9.867988012493567e-05,3.203439700882882e-05,0.0002917671226896,1.9805196046829223,0.10972394342356569,1.7992130517959597,2.087739944458008,0.9,0.13693063937629152,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep.csv,"core_interaction, d=20, n=512, noise=0.05",core_interaction,20,512,0.05,,MLP,perm,0.00014784958912056578,9.867988012493567e-05,3.203439700882882e-05,0.0002917671226896,1.9805196046829223,0.10972394342356569,1.7992130517959597,2.087739944458008,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep.csv,"core_interaction, d=20, n=512, noise=0.1",core_interaction,20,512,0.1,,KAN,grad,4.127067853687549e-07,3.453447229380379e-07,1.3640156737437792e-07,8.536140967407846e-07,0.5498425543308259,0.4099787515002222,0.0907942950725555,1.1535900831222534,0.85,0.13693063937629155,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep.csv,"core_interaction, d=20, n=512, noise=0.1",core_interaction,20,512,0.1,,KAN,perm,4.127067853687549e-07,3.453447229380379e-07,1.3640156737437792e-07,8.536140967407846e-07,0.5498425543308259,0.4099787515002222,0.0907942950725555,1.1535900831222534,0.95,0.11180339887498948,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep.csv,"core_interaction, d=20, n=512, noise=0.1",core_interaction,20,512,0.1,,MLP,grad,0.0001601619995198954,0.00012801906858166972,3.9869570173323154e-05,0.0003725301357917,2.0027488231658936,0.12820417305657583,1.7928252220153809,2.139965295791626,0.85,0.13693063937629152,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep.csv,"core_interaction, d=20, n=512, noise=0.1",core_interaction,20,512,0.1,,MLP,perm,0.0001601619995198954,0.00012801906858166972,3.9869570173323154e-05,0.0003725301357917,2.0027488231658936,0.12820417305657583,1.7928252220153809,2.139965295791626,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic.csv,"core_interaction, d=20, n=1024, noise=0",core_interaction,20,1024,0.0,,KAN,grad,1.7828376621764618e-05,9.389921267106587e-06,2.8308922992437147e-06,2.5927734895958565e-05,4.893601753790725e-05,3.4219637899412145e-05,6.118728833826026e-06,0.0001019544506561,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic.csv,"core_interaction, d=20, n=1024, noise=0",core_interaction,20,1024,0.0,,KAN,perm,1.7828376621764618e-05,9.389921267106587e-06,2.8308922992437147e-06,2.5927734895958565e-05,4.893601753790725e-05,3.4219637899412145e-05,6.118728833826026e-06,0.0001019544506561,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic.csv,"core_interaction, d=20, n=1024, noise=0",core_interaction,20,1024,0.0,,MLP,grad,0.0008574987878091,0.00031111209741566684,0.0006083124317228,0.001346674747765,1.769287371635437,0.19695000360966805,1.4722449779510498,1.9754908084869385,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic.csv,"core_interaction, d=20, n=1024, noise=0",core_interaction,20,1024,0.0,,MLP,perm,0.0008574987878091,0.00031111209741566684,0.0006083124317228,0.001346674747765,1.769287371635437,0.19695000360966805,1.4722449779510498,1.9754908084869385,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
