model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19,selected_interactions,true_interactions,interaction_precision,interaction_recall,interaction_f1,source_file,lamb,setting,score_x20,score_x21,score_x22,score_x23,score_x24,score_x25,score_x26,score_x27,score_x28,score_x29,score_x30,score_x31,score_x32,score_x33,score_x34,score_x35,score_x36,score_x37,score_x38,score_x39,score_x40,score_x41,score_x42,score_x43,score_x44,score_x45,score_x46,score_x47,score_x48,score_x49,score_x50,score_x51,score_x52,score_x53,score_x54,score_x55,score_x56,score_x57,score_x58,score_x59,score_x60,score_x61,score_x62,score_x63,score_x64,score_x65,score_x66,score_x67,score_x68,score_x69,score_x70,score_x71,score_x72,score_x73,score_x74,score_x75,score_x76,score_x77,score_x78,score_x79,score_x80,score_x81,score_x82,score_x83,score_x84,score_x85,score_x86,score_x87,score_x88,score_x89,score_x90,score_x91,score_x92,score_x93,score_x94,score_x95,score_x96,score_x97,score_x98,score_x99,variable_auroc,variable_auprc,importance_scores,active_score_mean,active_score_median,inactive_score_mean,inactive_score_median,active_score_min,inactive_score_max
MLP,grad,1,core_interaction,1024,20,0.0,1.6937110424041748,0.0006486194906756,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.1290053129196167,1.3918572664260864,0.9133307933807372,0.8849397897720337,0.6705996990203857,0.5598317384719849,0.6196733117103577,0.5772315263748169,0.5547271966934204,0.5201079845428467,0.5068714618682861,0.5471277236938477,0.5701504349708557,0.6077632308006287,0.5453773140907288,0.58536297082901,0.4421001076698303,0.5227370858192444,0.4780106544494629,0.6181713938713074,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,1,core_interaction,1024,20,0.0,1.6937110424041748,0.0006486194906756,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.1453585624694824,0.2483330518007278,0.3800440728664398,0.3660604059696197,0.0458358526229858,0.045163195580244,0.0098166465759277,0.0164519548416137,0.0,0.0522518157958984,0.0405188389122486,0.0,0.0,0.0783941373229026,0.0,0.0369733162224292,0.0,0.0414700098335742,0.0,0.0551583357155323,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,2,core_interaction,1024,20,0.0,8.370599971385673e-05,3.1837833375902846e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.673758506774902,1.1838001012802124,0.5660920143127441,0.5631073713302612,0.004667823202908,0.0053561702370643,0.008123462088406,0.0058717261999845,0.0029373795259743,0.0065424880012869,0.0053787594661116,0.0077693522907793,0.0034456863068044,0.0039520370773971,0.0066214324906468,0.0041820770129561,0.0038967446889728,0.005551747046411,0.0047992118634283,0.0053538084030151,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,2,core_interaction,1024,20,0.0,8.370599971385673e-05,3.1837833375902846e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3092228174209597,0.2268932908773422,0.2959985435009002,0.2814680635929107,0.0,0.0,2.158558345399797e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.1136899874818482e-07,6.189171841697316e-08,0.0,0.0,0.0,5.378630589802924e-07,0.0,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,2,core_interaction,1024,20,0.0,1.9754903316497805,0.0013466814998537,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.7173221707344055,1.269970417022705,0.938137948513031,0.8538856506347656,0.5275576710700989,0.701532244682312,0.5250950455665588,0.7039020657539368,0.6564414501190186,0.4850170314311981,0.6957223415374756,0.6732605695724487,0.6751944422721863,0.7104851007461548,0.6202989816665649,0.5468095541000366,0.5454314947128296,0.6220847368240356,0.5563699007034302,0.5822990536689758,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,2,core_interaction,1024,20,0.0,1.9754903316497805,0.0013466814998537,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.1414636820554733,0.2834912836551666,0.3809861242771148,0.3114570677280426,0.0,0.0597460269927978,0.0,0.0,0.0,0.0,0.0343128032982349,0.0444177389144897,0.0187133159488439,0.0,0.0342906303703784,0.061685562133789,0.0,0.0,0.0,0.0,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,3,core_interaction,1024,20,0.0,0.0001008441540761,3.206113979103975e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.859124183654785,1.1793622970581057,0.6246868968009949,0.6108995079994202,0.0035904333926737,0.0054708942770957,0.0084692509844899,0.0067945765331387,0.00641785049811,0.005696827545762,0.0035839532501995,0.0080466605722904,0.0063493959605693,0.0084029203280806,0.0038203024305403,0.0040857815183699,0.0073032942600548,0.0063028624281287,0.0056534418836236,0.0096098612993955,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,3,core_interaction,1024,20,0.0,0.0001008441540761,3.206113979103975e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.494693636894226,0.2605673968791961,0.3439582586288452,0.3380730450153351,0.0,0.0,3.665748806724878e-07,7.048195698189375e-07,4.144239937886596e-07,1.1055768709411495e-06,3.926834324374795e-07,7.884906949584547e-07,0.0,3.377887480837672e-07,2.705249642076524e-07,0.0,0.0,0.0,1.333634571665243e-07,0.0,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,3,core_interaction,1024,20,0.0,1.901710033416748,0.0009862796869128,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.8657261729240417,1.5513765811920166,0.7581355571746826,0.7975761890411377,0.6805996894836426,0.4833506643772125,0.6230810880661011,0.5405536890029907,0.5796865224838257,0.7128362655639648,0.5011680126190186,0.5311318635940552,0.4836844503879547,0.4758825302124023,0.7168031930923462,0.4230818152427673,0.5484551787376404,0.628885805606842,0.6527490019798279,0.5799220204353333,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,3,core_interaction,1024,20,0.0,1.901710033416748,0.0009862796869128,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.2572042047977447,0.3062958717346191,0.19004487991333,0.2606360912322998,0.0,0.0143773155286908,0.0155218839645385,0.0,0.0,0.0204292144626379,0.0561479330062866,0.0093350410461425,0.0469509772956371,0.060499470680952,0.0,0.0,0.0,0.0375077724456787,0.0185968074947595,0.0,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
