model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19,selected_interactions,true_interactions,interaction_precision,interaction_recall,interaction_f1,source_file,lamb,setting,score_x20,score_x21,score_x22,score_x23,score_x24,score_x25,score_x26,score_x27,score_x28,score_x29,score_x30,score_x31,score_x32,score_x33,score_x34,score_x35,score_x36,score_x37,score_x38,score_x39,score_x40,score_x41,score_x42,score_x43,score_x44,score_x45,score_x46,score_x47,score_x48,score_x49,score_x50,score_x51,score_x52,score_x53,score_x54,score_x55,score_x56,score_x57,score_x58,score_x59,score_x60,score_x61,score_x62,score_x63,score_x64,score_x65,score_x66,score_x67,score_x68,score_x69,score_x70,score_x71,score_x72,score_x73,score_x74,score_x75,score_x76,score_x77,score_x78,score_x79,score_x80,score_x81,score_x82,score_x83,score_x84,score_x85,score_x86,score_x87,score_x88,score_x89,score_x90,score_x91,score_x92,score_x93,score_x94,score_x95,score_x96,score_x97,score_x98,score_x99,variable_auroc,variable_auprc,importance_scores,active_score_mean,active_score_median,inactive_score_mean,inactive_score_median,active_score_min,inactive_score_max
KAN,grad,0,compositional,1024,20,0.0,0.0006387237808667,0.0001354826963506,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0982918739318848,1.069553017616272,2.0389528274536133,0.0086988871917128,0.0139404274523258,0.0134154744446277,0.0084081944078207,0.0226372499018907,0.0193188246339559,0.0172588936984539,0.0173615254461765,0.0324530974030494,0.0224003884941339,0.0129011766985058,0.0147822322323918,0.0090207103639841,0.0205494128167629,0.0137865236029028,0.0254919752478599,0.0140852127224206,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,0,compositional,1024,20,0.0,0.0006387237808667,0.0001354826963506,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1188288927078247,1.0994274616241455,0.9333812594413756,2.9184545837779297e-06,4.680167421611259e-06,1.2790163054887673e-05,1.1280295439064504e-05,1.894868910312653e-05,0.0,0.0,1.1468655429780483e-05,4.048459231853485e-06,9.8653645181912e-06,0.0,3.9425599425158e-06,4.715305749414256e-06,8.508427526976448e-06,0.0,0.0,1.7732536434778012e-05,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,0,compositional,1024,20,0.0,0.006225446704775,0.0004941447987221,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1046736240386963,1.0880801677703855,2.156780242919922,0.0219256952404975,0.0223244577646255,0.0206109378486871,0.0228399224579334,0.0248056501150131,0.0171059221029281,0.0204465445131063,0.0208430550992488,0.023039698600769,0.021237950772047,0.0216668676584959,0.0206680931150913,0.024086395278573,0.0215591117739677,0.0276159197092056,0.0202176980674266,0.0288213584572076,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,0,compositional,1024,20,0.0,0.006225446704775,0.0004941447987221,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1179542541503906,1.0973960161209106,0.9287846684455872,0.0001230689958902,0.0002425059938104,0.0,0.0,0.0,0.0,0.0,3.085487333009951e-05,0.0001744755281833,0.0,3.239372745156288e-05,4.689209163188934e-06,9.708650031825528e-05,0.0,0.0001283516176044,0.0,6.717738142469898e-05,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,1,compositional,1024,20,0.0,0.0016292994841933,0.0001563774858368,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1037722826004028,1.0137789249420166,2.0553507804870605,0.0275523699820041,0.0349262952804565,0.0267668068408966,0.0169714652001857,0.0231152642518281,0.0171413458883762,0.0262933243066072,0.0176215395331382,0.0242036208510398,0.0280285254120826,0.0251113511621952,0.0252205654978752,0.0288235507905483,0.0232262015342712,0.0202459879219532,0.0226722043007612,0.0238347314298152,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,1,compositional,1024,20,0.0,0.0016292994841933,0.0001563774858368,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),0.983709752559662,0.9530253410339355,0.8548452258110046,0.0,1.854534821177367e-05,0.0,0.0,4.9381828830519225e-06,0.0,0.0,1.1166906915605068e-05,0.0,0.0,9.674113243818283e-07,3.0591112590627745e-05,0.0,2.3963822968653403e-05,0.0,2.5741057470440865e-05,0.0,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,1,compositional,1024,20,0.0,0.0068810693919658,0.0005534086376428,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1072369813919067,1.0279271602630615,2.094691276550293,0.0255253911018371,0.0190911442041397,0.0304091051220893,0.0257705487310886,0.027215588837862,0.0290404763072729,0.0284242369234561,0.0249713845551013,0.0235620122402906,0.0228566862642765,0.0264482870697975,0.0262831486761569,0.0247084014117717,0.0259350184351205,0.0218501184135675,0.0248381923884153,0.0199672039598226,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,1,compositional,1024,20,0.0,0.0068810693919658,0.0005534086376428,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),0.9882856011390686,0.9491682052612304,0.8464214205741882,0.0002305461093783,6.352070340653881e-05,0.0,0.0001231295318575,6.942063191672787e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002054440119536,5.204432454775088e-05,7.741447916487232e-05,1.5575438737869263e-05,0.0003243330866098,0.0,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,2,compositional,1024,20,0.0,0.001239848206751,0.0001079144276445,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0808773040771484,0.9796993732452391,1.9657244682312007,0.0246495753526687,0.0207687336951494,0.0339307263493537,0.028012491762638,0.0231784619390964,0.0302428808063268,0.0252157654613256,0.016806524246931,0.0220561549067497,0.0344266667962074,0.0130559708923101,0.0199859589338302,0.0189427640289068,0.0222231764346361,0.0239908788353204,0.0309997983276844,0.0281537324190139,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,2,compositional,1024,20,0.0,0.001239848206751,0.0001079144276445,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0836563110351562,1.0051298141479492,0.8402208685874939,2.481520641595125e-05,0.0,1.271914970857324e-05,0.0,0.0,5.120566584082553e-06,4.722550511360169e-05,6.658025085926056e-06,1.218783017975511e-05,1.8989861928275783e-05,1.3176778338674922e-05,0.0,1.6286076061078347e-05,1.8293774701305665e-05,0.0,0.0,8.01725127530517e-06,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,2,compositional,1024,20,0.0,0.0049318973906338,0.0004989214939996,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.074051022529602,1.0052214860916138,2.039231538772583,0.0193521585315465,0.0228380132466554,0.0238784030079841,0.0225316230207681,0.026493813842535,0.0181754827499389,0.017977213487029,0.0208437927067279,0.0233317445963621,0.0207808483392,0.0225611235946416,0.0211538169533014,0.026098795235157,0.0168854743242263,0.0243147201836109,0.0197853632271289,0.0213363859802484,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,2,compositional,1024,20,0.0,0.0049318973906338,0.0004989214939996,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0729628801345823,0.9965710639953612,0.8419987559318542,0.0001893867738544,0.0,0.0,0.0,0.0,5.958462134003639e-05,5.840230733156204e-05,3.6014243960380554e-06,0.0,0.0,0.0,0.0,0.0001237198448507,8.820587390800938e-05,0.0002793929015751,7.628090679645538e-05,0.0001148455776274,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,3,compositional,1024,20,0.0,0.0012165755033493,9.253785538021476e-05,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0498026609420776,1.0488758087158203,2.1343233585357666,0.0168743953108787,0.0213962793350219,0.0217339638620615,0.0223815776407718,0.0206376370042562,0.0248750373721122,0.0166501402854919,0.0222725756466388,0.0161930918693542,0.0179697070270776,0.0291878134012222,0.0180241279304027,0.039330419152975,0.0194194465875625,0.0193355232477188,0.0175322517752647,0.0256419815123081,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,3,compositional,1024,20,0.0,0.0012165755033493,9.253785538021476e-05,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1420263051986694,1.156580090522766,0.9278524518013,1.4167007066134827e-05,3.2631680369377136e-05,0.0,2.0450524971238337e-05,5.933863576501608e-05,3.480763916741125e-05,1.7004049368551932e-05,0.0,0.0,2.666609361767769e-05,0.0,2.4623780063848244e-06,0.0,6.866020612505963e-06,2.247393967991229e-05,9.707252502266783e-06,0.0,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,3,compositional,1024,20,0.0,0.0071634533815085,0.0004487643309403,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0838172435760498,1.076058268547058,2.2409493923187256,0.0210629068315029,0.0213588923215866,0.0206264872103929,0.0162926241755485,0.0178531948477029,0.0211146436631679,0.0220223180949687,0.0192558001726865,0.0200378000736236,0.0192552637308836,0.0258837807923555,0.0237336810678243,0.0253872610628604,0.0218585990369319,0.0216583386063575,0.0243393722921609,0.0188559964299201,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,3,compositional,1024,20,0.0,0.0071634533815085,0.0004487643309403,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1457281112670898,1.1537113189697266,0.931629478931427,0.0001191978008137,0.0,0.0,0.000101402249129,0.0,0.0,0.0,3.417767584323883e-05,0.0,0.0,0.0,0.0,0.0,2.0432440578588285e-05,5.578932541538961e-05,0.0,0.0,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,4,compositional,1024,20,0.0,0.0005224966444075,6.301044777501374e-05,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1230905055999756,1.033085823059082,2.124389171600342,0.0167542938143014,0.0217703022062778,0.0141537841409444,0.0125123783946037,0.0146552082151174,0.0166645646095275,0.0233873296529054,0.0124472100287675,0.0177583433687686,0.0110471025109291,0.0103933699429035,0.0130456862971186,0.0153646860271692,0.0150274951010942,0.0153483096510171,0.0147256320342421,0.0201479457318782,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,4,compositional,1024,20,0.0,0.0005224966444075,6.301044777501374e-05,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1346298456192017,1.1449241638183594,0.9255406856536864,0.0,1.636109664104879e-05,0.0,0.0,2.0159417545073666e-05,0.0,7.15750502422452e-07,7.298949640244246e-07,0.0,9.188962394546252e-06,0.0,4.606020866049221e-06,1.0209031643171327e-05,2.713903086259961e-06,0.0,0.0,4.1645157580205705e-06,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,4,compositional,1024,20,0.0,0.0065770857036113,0.0004619383544195,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1351922750473022,1.0518677234649658,2.1943843364715576,0.0283435378223657,0.0258673578500747,0.0222155842930078,0.0230978969484567,0.0245435368269681,0.0235186666250228,0.023638866841793,0.0237157270312309,0.0235566385090351,0.0235415883362293,0.0221178364008665,0.0250267442315816,0.0264614913612604,0.0282090380787849,0.0229794327169656,0.0270726196467876,0.0205542538315057,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,4,compositional,1024,20,0.0,0.0065770857036113,0.0004619383544195,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1253294944763184,1.1425315141677856,0.9257030487060548,0.0,0.0,0.0,0.0,0.0,3.0392935514100827e-05,0.0,0.0,0.0,1.3056832358415704e-05,0.0,0.0001090816222131,0.0,0.0,0.0,0.0,0.0,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,0,core_interaction,2048,100,0.1,0.9141800403594972,3.334237703711551e-07,"[0, 1, 11, 13]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,4.186341285705566,1.0788556337356567,0.4647302627563476,0.4384302496910095,0.4715045988559723,0.3210179209709167,0.3996545076370239,0.4252313375473022,0.3382092118263244,0.3636994957923889,0.3579782545566559,0.4949283003807068,0.2890901863574981,0.6350868940353394,0.4758024215698242,0.2717803120613098,0.4534571170806885,0.2995042204856872,0.3481995165348053,0.144022136926651,,,,,,core_d100_n2048_noise01.csv,,"core_interaction, d=100, n=2048, noise=0.1",0.3501548767089844,0.3476544618606567,0.2785121500492096,0.3176861405372619,0.3619611859321594,0.2667429745197296,0.3482449054718017,0.3806589245796203,0.4690319299697876,0.2683559060096741,0.4127742946147918,0.2764613032341003,0.4080563485622406,0.2648451924324035,0.4224321246147156,0.328216552734375,0.4836545586585998,0.3290401399135589,0.2393458485603332,0.2434046268463134,0.2822100520133972,0.3885773122310638,0.3878690004348755,0.3106227517127991,0.3323067128658294,0.3528276085853576,0.2990590929985046,0.4412408471107483,0.4284069538116455,0.4585457742214203,0.2594537138938904,0.317216157913208,0.3425723016262054,0.3567261695861816,0.3546844124794006,0.3756985664367676,0.3935024738311767,0.3679192662239074,0.4275219440460205,0.2486136853694915,0.4519885778427124,0.3821808099746704,0.4946742653846741,0.4801609516143799,0.3602818548679352,0.4142618775367737,0.3762653470039367,0.3385180830955505,0.3345637023448944,0.4062329530715942,0.2988770604133606,0.4666833579540252,0.4276139736175537,0.3654217422008514,0.2798292338848114,0.3103548288345337,0.3739351034164428,0.2257647812366485,0.2665555477142334,0.3507849872112274,0.4141304492950439,0.2430180311203003,0.3525869250297546,0.363343209028244,0.3373408913612366,0.3640612363815307,0.3676641583442688,0.422528862953186,0.414560317993164,0.3939496278762817,0.3152635991573334,0.3480023145675659,0.4819494485855102,0.292168378829956,0.3759164214134216,0.2729413211345672,0.4418126344680786,0.2654400765895843,0.1712820529937744,0.340937852859497,,,,,,,,,
KAN,perm,0,core_interaction,2048,100,0.1,0.9141800403594972,3.334237703711551e-07,"[0, 1, 32, 62]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,1.408025860786438,0.2370104044675827,0.0318959951400756,0.0186569299548864,0.0077208676375448,0.0087039666250348,0.0208705272525548,0.0135729508474469,0.0030478835105895,0.0,0.015912115573883,0.0024605791550129,0.0,0.0,0.0234290156513452,0.0126007394865155,0.016256233677268,0.0,0.0280736293643713,0.0035921931266784,,,,,,core_d100_n2048_noise01.csv,,"core_interaction, d=100, n=2048, noise=0.1",0.0,0.0,0.0185114741325378,0.0034086108207702,0.0109239621087908,0.0,0.0,0.0,0.0250046849250793,0.0017605820903554,0.0366458892822265,0.0036149423103779,0.066109798848629,0.0121421022340655,0.004515369888395,0.0,0.0,0.0,0.0112291974946856,0.0,0.0,0.0,0.0130110783502459,0.0280875358730554,0.0132332444190979,0.0319783277809619,0.0404444523155689,0.0552117228507995,0.0,0.0,0.0,0.0076399841345846,0.0349162220954895,0.0,0.0,0.0240773558616638,0.0,0.0,0.0,0.0,0.0109215974807739,0.0,0.081705629825592,0.0604909844696521,0.0,0.0003710190358106,0.0417595095932483,0.0218255314975976,0.0,0.0030956466216593,0.0,0.0,0.0279176030308008,0.0128988428041338,0.0175011549144983,0.0439704246819019,0.0100550251081585,0.0006680886144749,0.0025238792877644,0.0168446693569421,0.0,0.0164647903293371,0.0,0.0,0.0,0.0282998085021972,0.0,0.0079706311225891,0.0010679761180654,0.0,0.0,0.0302834510803222,0.0,0.0,0.0008750756387598,0.0,0.0199469532817602,0.034270167350769,0.0086369113996624,9.387731552124023e-05,,,,,,,,,
KAN,grad,1,core_interaction,2048,100,0.1,0.1237631514668464,2.843299398591625e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.564129829406738,1.1610195636749268,0.4510784149169922,0.4663347005844116,0.1315808296203613,0.1272917985916137,0.1727116405963897,0.0737338811159133,0.0947280973196029,0.1682535111904144,0.1529711484909057,0.1232961788773536,0.1540611088275909,0.1012247949838638,0.1038581430912017,0.0768753215670585,0.1631397604942321,0.1261264532804489,0.162469282746315,0.1131919994950294,,,,,,core_d100_n2048_noise01.csv,,"core_interaction, d=100, n=2048, noise=0.1",0.0765421986579895,0.0730479806661605,0.1224653720855712,0.1289315819740295,0.1147710010409355,0.1255233287811279,0.1595873832702636,0.080188512802124,0.1271213889122009,0.1196097880601883,0.0932732746005058,0.1197478026151657,0.158269852399826,0.1699438989162445,0.1239922493696212,0.0922146812081337,0.105987973511219,0.1485029906034469,0.1081749349832534,0.0996911525726318,0.1694220602512359,0.1846283674240112,0.1412882208824157,0.1294136345386505,0.0969470143318176,0.1380900740623474,0.1949053108692169,0.1475923955440521,0.1588701903820037,0.1395222842693328,0.1190746873617172,0.1598386466503143,0.078816682100296,0.1299702823162078,0.1370583772659301,0.1327239274978637,0.1420614570379257,0.1258753687143325,0.1352876126766204,0.1066478639841079,0.0972377806901931,0.1135260909795761,0.1664461195468902,0.1190692782402038,0.1650955975055694,0.0973804667592048,0.0939905792474746,0.2130228579044342,0.1357148587703704,0.1190841346979141,0.1209065094590187,0.1113548800349235,0.1636365056037902,0.1557173430919647,0.0987652838230133,0.1394287943840026,0.1112325191497802,0.1387383490800857,0.0947575718164444,0.0941534787416458,0.1239793449640274,0.1574775278568267,0.1192598938941955,0.1374464035034179,0.1489210426807403,0.1309692710638046,0.1654781699180603,0.126404196023941,0.1394838094711303,0.1279306709766388,0.1379089057445526,0.1030046120285987,0.133357971906662,0.1146726161241531,0.0992431044578552,0.1579728573560714,0.1208422183990478,0.0982207953929901,0.1618098020553589,0.1158981919288635,,,,,,,,,
KAN,perm,1,core_interaction,2048,100,0.1,0.1237631514668464,2.843299398591625e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.371202826499939,0.2242323607206344,0.2417427897453308,0.226665124297142,0.0073960050940513,2.3211041479953565e-05,0.0,0.0035804610233753,0.0,0.0030892987269908,0.0060426443815231,0.0018213788280263,0.0006900380249135,0.0017769634723663,0.0016869554528966,0.0016442835330963,0.0021340548992156,0.0,0.0003656571207102,0.0,,,,,,core_d100_n2048_noise01.csv,,"core_interaction, d=100, n=2048, noise=0.1",0.0005199487204663,0.0,0.0,0.0008662591571919,0.0033507570624351,0.002179356990382,0.002260995330289,0.0035343642812222,0.0,0.0,0.0,0.0034159719944,0.0,0.0,0.0,0.0018276423215866,0.001703898073174,0.0045627206563949,0.0,0.003194774268195,0.0,0.0,0.0,0.0,0.0,0.0029177393298596,0.0020191792864352,0.0,0.0019858304876834,0.0023057956714183,0.0011220350861549,0.0029176895041018,0.0051580318249762,0.0016410276293754,0.0008720134501345,0.0,0.0,8.103251457214355e-05,0.0,0.0021577700972557,0.0012873759260401,0.0016577044734731,0.0022218723315745,0.0011819551000371,9.36463475227356e-05,0.0029619510751217,0.0007784540648572,0.0,0.0,0.0,0.0,0.0025202110409736,0.0020001481752842,0.0,0.0031329493504017,0.0,0.0,0.0,0.0023224055767059,0.0005098059773445,0.0,0.0,0.0004567752184811,0.0073020556010305,0.0026824548840522,0.0002597918210085,0.0,0.002201423048973,0.0018858984112739,0.0006848499178886,0.0,0.0010056793689727,0.0030208032112568,0.0046531907282769,0.0,0.0019183283438906,0.0043454417027533,0.0,0.0050012171268463,0.000481021910673,,,,,,,,,
KAN,grad,2,core_interaction,2048,100,0.1,0.8778113126754761,1.2403708637975797e-07,"[0, 1, 74, 76]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,4.285066604614258,1.1046702861785889,0.3032571077346802,0.3992888927459717,0.2201696187257766,0.2368559539318084,0.3705789744853973,0.2060065865516662,0.3047740459442138,0.2732540965080261,0.2904677391052246,0.3301818370819092,0.4016491770744324,0.3476171195507049,0.3127492070198059,0.3619028329849243,0.2366171330213546,0.3903191089630127,0.2624639272689819,0.3691639900207519,,,,,,core_d100_n2048_noise01.csv,,"core_interaction, d=100, n=2048, noise=0.1",0.2871133089065552,0.3607950210571289,0.3213691413402557,0.4582138955593109,0.3203233480453491,0.2710152268409729,0.4098322987556457,0.3185201585292816,0.239952802658081,0.300514817237854,0.3374401330947876,0.2695438265800476,0.2367913424968719,0.3292869031429291,0.2409327626228332,0.2738809585571289,0.2842022180557251,0.288928210735321,0.3110661804676056,0.2087958455085754,0.357962429523468,0.3695150017738342,0.2881075441837311,0.2996600866317749,0.3046293556690216,0.2995484471321106,0.2960625290870666,0.3386682868003845,0.2417726218700409,0.3481031656265259,0.3258283734321594,0.4101137518882751,0.1559328436851501,0.3647390604019165,0.3042876720428467,0.1999990046024322,0.3734083771705627,0.2633079886436462,0.3358151912689209,0.4052920341491699,0.3167446851730346,0.1972681283950805,0.3193374872207641,0.1817743480205536,0.3008203208446502,0.3408456146717071,0.2786871790885925,0.3740026950836181,0.4142157733440399,0.3401252329349518,0.2986666560173034,0.2635554075241089,0.2309328317642212,0.2120596170425415,0.564610481262207,0.4010112583637237,0.4602090120315552,0.4242326617240906,0.3217584490776062,0.2637025713920593,0.276117205619812,0.3621938824653625,0.3727701306343078,0.2317662835121154,0.3556297421455383,0.2252931296825409,0.29194176197052,0.3042086064815521,0.3906764686107635,0.2079034745693206,0.2584210336208343,0.2734407782554626,0.3132898211479187,0.326434850692749,0.25081667304039,0.4015344083309173,0.3366134762763977,0.4456407427787781,0.2541774213314056,0.2366709560155868,,,,,,,,,
