function,screen_mode,seed,trial,status,error,screen_score_type,effective_dim,hidden,depth,activation,lr,weight_decay,dropout,best_val_mse,best_epoch,epochs_run,final_train_mse,final_val_mse
core_interaction,rf,1,0,ok,,rf,20,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.7038304805755615,1082,2083,0.33533886075019836,0.7738863229751587
core_interaction,rf,1,1,ok,,rf,20,128,2,silu,0.008117128927513166,0.0001,0.0,0.6985728144645691,29,1030,0.00031076750019565225,1.3724849224090576
core_interaction,rf,1,2,ok,,rf,20,512,6,gelu,0.0009604894511457761,1e-05,0.0,0.6635032296180725,50,1051,0.00018836699018720537,1.3067177534103394
core_interaction,rf,1,3,ok,,rf,20,1024,5,tanh,1.0225425503163421e-05,1e-05,0.0,0.9506654143333435,10,1011,5.895484355278313e-05,1.4918212890625
core_interaction,rf,1,4,ok,,rf,20,128,3,tanh,3.140268940406468e-05,1e-07,0.0,0.8209710717201233,1372,2373,0.04372331127524376,1.0503487586975098
core_interaction,rf,1,5,ok,,rf,20,1024,6,gelu,2.830944692704902e-05,1e-08,0.0,0.7241941690444946,170,1171,0.10998493432998657,0.9502574801445007
core_interaction,rf,1,6,ok,,rf,20,512,5,silu,1.8712640638526874e-05,1e-08,0.0,0.7217035293579102,518,1519,0.1668563336133957,0.8563690185546875
core_interaction,rf,1,7,ok,,rf,20,1024,5,softplus,0.00022928590814714453,0.0,0.0,0.7007895112037659,1940,2941,0.3619628846645355,0.7664070129394531
core_interaction,rf,1,8,ok,,rf,20,256,2,tanh,0.0003755208403572562,0.0001,0.0,0.8510050177574158,198,1199,4.098194040125236e-06,1.0553383827209473
core_interaction,rf,1,9,ok,,rf,20,512,4,silu,0.00041345427448015605,0.0001,0.0,0.6870670914649963,70,1071,0.024771960452198982,1.2561886310577393
core_interaction,rf,1,10,ok,,rf,20,256,4,gelu,0.012039446851942413,0.0001,0.0,0.7170128226280212,33,1034,3.185484231948976e-08,1.0221459865570068
core_interaction,rf,1,11,ok,,rf,20,512,5,softplus,1.7935728914056677e-05,1e-05,0.0,0.7503849864006042,4910,5000,0.4685802757740021,0.7511767148971558
core_interaction,rf,1,12,ok,,rf,20,128,5,gelu,0.0009084999863118563,1e-05,0.0,0.7551342248916626,52,1053,8.47606934257783e-05,1.3737090826034546
core_interaction,rf,1,13,ok,,rf,20,1024,3,softplus,0.023448355029273525,1e-07,0.0,0.9981805682182312,64,1065,1.0001423358917236,0.9997445344924927
core_interaction,rf,1,14,ok,,rf,20,256,5,softplus,0.0001291049776258526,1e-05,0.0,0.7192732691764832,1554,2555,0.5032647252082825,0.944749116897583
core_interaction,rf,1,15,ok,,rf,20,256,2,softplus,6.0149579125677274e-05,1e-06,0.0,0.7382208704948425,2988,3989,0.39479827880859375,0.7536370754241943
core_interaction,rf,1,16,ok,,rf,20,512,4,gelu,0.002897833487901463,1e-05,0.0,0.681169331073761,43,1044,8.44811264536947e-15,1.2859898805618286
core_interaction,rf,1,17,ok,,rf,20,512,4,tanh,0.00045269205869085034,1e-08,0.0,0.920231819152832,8,1009,3.7350557704485254e-06,1.1746855974197388
core_interaction,rf,1,18,ok,,rf,20,128,2,softplus,1.7545365179811645e-05,1e-05,0.0,0.9210813045501709,4999,5000,0.7932540774345398,0.9210813045501709
core_interaction,rf,1,19,ok,,rf,20,1024,3,silu,0.01081298768267244,0.0,0.0,0.7276613116264343,119,1120,0.005365895107388496,1.3260607719421387
core_interaction,rf,1,20,ok,,rf,20,128,6,softplus,0.00022481566094464128,0.0,0.0,0.7158957123756409,1051,2052,0.37128880620002747,0.7579806447029114
core_interaction,rf,1,21,ok,,rf,20,256,5,silu,1.6137626472393792e-05,0.0001,0.0,0.7351734638214111,1009,2010,0.25408118963241577,0.846592903137207
core_interaction,rf,1,22,ok,,rf,20,1024,6,tanh,2.161475420017075e-05,1e-07,0.0,0.9343199133872986,2,1003,1.726614573271945e-05,1.372362732887268
core_interaction,rf,1,23,ok,,rf,20,512,2,silu,0.00885963017780375,1e-05,0.0,0.7094970941543579,39,1040,4.717225308287221e-12,1.1834672689437866
core_interaction,rf,1,24,ok,,rf,20,512,4,softplus,0.0070954882191305605,1e-07,0.0,0.9981796741485596,240,1241,1.0002639293670654,0.9989950060844421
core_interaction,rf,1,25,ok,,rf,20,1024,5,gelu,2.2259297626868017e-05,1e-07,0.0,0.7149211764335632,230,1231,0.10481544584035873,0.9496561288833618
core_interaction,rf,1,26,ok,,rf,20,1024,4,silu,0.00021790350867931493,1e-06,0.0,0.6865231394767761,107,1108,0.07970664650201797,1.279133915901184
core_interaction,rf,1,27,ok,,rf,20,512,5,softplus,6.009769850551277e-05,1e-05,0.0,0.7170700430870056,3663,4664,0.4036150574684143,0.7349417209625244
core_interaction,rf,1,28,ok,,rf,20,1024,3,softplus,1.1634382205958762e-05,1e-08,0.0,0.8660098314285278,4999,5000,0.675774097442627,0.8660098314285278
core_interaction,rf,1,29,ok,,rf,20,128,4,softplus,0.00036004674007597873,1e-08,0.0,0.7130452990531921,729,1730,0.3723899722099304,0.7699569463729858
core_interaction,rf,1,30,ok,,rf,20,128,5,gelu,0.0001917127972907299,0.0,0.0,0.7250452637672424,165,1166,0.0004362130130175501,1.7604984045028687
core_interaction,rf,1,31,ok,,rf,20,1024,4,silu,0.0008105984825833901,1e-07,0.0,0.662026584148407,48,1049,0.00828765518963337,1.5700880289077759
core_interaction,oracle_support,1,0,ok,,forced_true_support_random_fill,20,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.8254832029342651,1240,2241,0.30569782853126526,0.9017636179924011
core_interaction,oracle_support,1,1,ok,,forced_true_support_random_fill,20,1024,4,softplus,0.0038895262510429906,0.0,0.0,1.0004292726516724,17,1018,1.0002189874649048,1.000514268875122
core_interaction,oracle_support,1,2,ok,,forced_true_support_random_fill,20,512,6,silu,0.009145108398603222,0.0,0.0,0.9211381077766418,215,1216,0.015628598630428314,1.600539207458496
core_interaction,oracle_support,1,3,ok,,forced_true_support_random_fill,20,128,5,softplus,1.2485116366202996e-05,1e-06,0.0,0.8846192955970764,3725,4726,0.5431990027427673,0.9026964902877808
core_interaction,oracle_support,1,4,ok,,forced_true_support_random_fill,20,512,4,gelu,0.00019316335653934516,1e-08,0.0,0.8289282321929932,62,1063,0.01066902931779623,1.5904179811477661
core_interaction,oracle_support,1,5,ok,,forced_true_support_random_fill,20,512,3,tanh,0.012790547809683316,0.0,0.0,1.1258647441864014,90,1091,0.011504903435707092,1.8708659410476685
core_interaction,oracle_support,1,6,ok,,forced_true_support_random_fill,20,128,5,silu,9.300303993718055e-05,1e-07,0.0,0.8114677667617798,353,1354,0.024545198306441307,1.8601181507110596
core_interaction,oracle_support,1,7,ok,,forced_true_support_random_fill,20,1024,3,gelu,0.0016346508087804166,1e-05,0.0,0.7274601459503174,29,1030,9.794685814365836e-15,1.409067988395691
core_interaction,oracle_support,1,8,ok,,forced_true_support_random_fill,20,512,4,tanh,0.00010371505368345683,1e-08,0.0,0.9197722673416138,16,1017,6.687258519377792e-06,1.4623538255691528
core_interaction,oracle_support,1,9,ok,,forced_true_support_random_fill,20,1024,5,softplus,0.008015554437351833,0.0,0.0,0.9992768168449402,3,1004,1.0009557008743286,1.0028141736984253
core_interaction,oracle_support,1,10,ok,,forced_true_support_random_fill,20,1024,6,softplus,0.0037006449578799146,1e-08,0.0,0.999782383441925,4998,5000,1.0001399517059326,0.999782383441925
core_interaction,oracle_support,1,11,ok,,forced_true_support_random_fill,20,1024,5,softplus,0.00014259000981952513,0.0001,0.0,0.786891758441925,3860,4861,0.38779228925704956,0.8828789591789246
core_interaction,oracle_support,1,12,ok,,forced_true_support_random_fill,20,512,5,tanh,9.953190536090858e-05,1e-08,0.0,0.9214141368865967,13,1014,1.970211997104343e-05,1.5250256061553955
core_interaction,oracle_support,1,13,ok,,forced_true_support_random_fill,20,1024,6,softplus,0.0003234776095415784,0.0001,0.0,0.7931996583938599,1397,2398,0.28970515727996826,0.908532440662384
core_interaction,oracle_support,1,14,ok,,forced_true_support_random_fill,20,128,5,tanh,1.3526472801495225e-05,1e-06,0.0,0.9014778733253479,1077,2078,0.09149941802024841,1.35708749294281
core_interaction,oracle_support,1,15,ok,,forced_true_support_random_fill,20,256,6,silu,0.002211891287473485,1e-06,0.0,0.7833213806152344,58,1059,0.0012528300285339355,1.653586506843567
core_interaction,oracle_support,1,16,ok,,forced_true_support_random_fill,20,256,5,gelu,0.0018468927042590514,1e-05,0.0,0.8020914196968079,38,1039,1.0728704182838555e-05,1.7018436193466187
core_interaction,oracle_support,1,17,ok,,forced_true_support_random_fill,20,512,2,softplus,3.21925307419705e-05,1e-07,0.0,0.9129108786582947,2771,3772,0.5310227870941162,0.9371212124824524
core_interaction,oracle_support,1,18,ok,,forced_true_support_random_fill,20,128,3,silu,0.002180474582948779,1e-05,0.0,0.8214412331581116,47,1048,0.011891571804881096,1.8581799268722534
core_interaction,oracle_support,1,19,ok,,forced_true_support_random_fill,20,128,4,softplus,0.00045364272233439334,1e-06,0.0,0.8336436152458191,1248,2249,0.2680346369743347,0.9519180059432983
core_interaction,oracle_support,1,20,ok,,forced_true_support_random_fill,20,1024,4,silu,5.1746585689030554e-05,1e-07,0.0,0.8095279335975647,144,1145,0.2723507583141327,1.0373094081878662
core_interaction,oracle_support,1,21,ok,,forced_true_support_random_fill,20,256,5,silu,0.014119399952982585,1e-07,0.0,0.7854312062263489,47,1048,2.0362543651231135e-08,1.3002715110778809
core_interaction,oracle_support,1,22,ok,,forced_true_support_random_fill,20,512,5,gelu,0.005560101423135816,1e-05,0.0,0.7780318856239319,53,1054,0.0008076276862993836,1.1903674602508545
core_interaction,oracle_support,1,23,ok,,forced_true_support_random_fill,20,256,2,tanh,0.0010632432947416857,1e-07,0.0,0.9195629358291626,78,1079,0.00017448638391215354,1.2956879138946533
core_interaction,oracle_support,1,24,ok,,forced_true_support_random_fill,20,512,6,tanh,1.097819139377405e-05,1e-08,0.0,0.9218465685844421,24,1025,0.0012470808578655124,1.721923589706421
core_interaction,oracle_support,1,25,ok,,forced_true_support_random_fill,20,256,4,gelu,1.666852024917918e-05,0.0001,0.0,0.8634375333786011,773,1774,0.25764769315719604,0.9291355013847351
core_interaction,oracle_support,1,26,ok,,forced_true_support_random_fill,20,128,3,silu,0.00012450627520871495,0.0,0.0,0.8185564279556274,413,1414,0.024540601298213005,1.551721453666687
core_interaction,oracle_support,1,27,ok,,forced_true_support_random_fill,20,1024,6,tanh,0.00010128709795464106,0.0,0.0,0.9084319472312927,68,1069,0.0013155646156519651,1.270497441291809
core_interaction,oracle_support,1,28,ok,,forced_true_support_random_fill,20,256,3,tanh,6.728908267285131e-05,1e-05,0.0,0.9235532283782959,14,1015,0.0005484131397679448,1.4023234844207764
core_interaction,oracle_support,1,29,ok,,forced_true_support_random_fill,20,128,3,silu,0.007816579817909695,1e-08,0.0,0.8025203943252563,10,1011,0.0058138626627624035,1.5331966876983643
