model,function,screen_mode,dimension,samples,noise,variable_method,interaction_method,hidden,depth,activation,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std
MLP,core_interaction,oracle_support,100,1024,0.0,grad,fd,128,4,silu,0.6204322079817454,0.11213713620547591,0.8409069975217184,0.08830550615712268,20.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.14433756729740646,0.9852430555555557,0.021209707852205946,0.8967105263157894,0.0990060541253039,1.0,0.0,0.7659300764401754,0.4922600958216715,0.2079817901055018,0.0392625435331817
MLP,core_interaction,rf,100,1024,0.0,grad,fd,512,3,silu,0.5805314381917318,0.06364930835981725,0.833771824836731,0.047917167790856835,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8428969383239746,0.2668703134465182,0.2311837524175644,0.054550731351935285
MLP,core_interaction_c5,oracle_support,100,1024,0.0,grad,fd,128,5,silu,0.11475565036137898,0.013354054356043667,0.18070736030737558,0.009592661515317893,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.692434867223104,0.17203506067492058,0.1358178754647573,0.008106572459333479
MLP,core_interaction_c5,rf,100,1024,0.0,grad,fd,512,5,silu,0.10799621790647507,0.010749081454919663,0.16875430444876352,0.010408958260822273,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7060464223225913,0.03752809004645808,0.12152265757322311,0.02886181400078286
MLP,correlated_proxy,oracle_support,100,1024,0.0,grad,fd,128,5,silu,0.5552845199902853,0.07850980484821674,0.7830630540847778,0.05719134377150781,20.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.14433756729740646,0.984375,0.020669932117692115,0.8689327485380117,0.11351016442559911,1.0,0.0,0.9448654452959696,0.2797156340615212,0.29129840930302936,0.10825817801586744
MLP,correlated_proxy,rf,100,1024,0.0,grad,fd,64,3,tanh,0.33143794536590576,0.4052754991883809,0.6179293294747671,0.33965018074125697,20.0,1.0,1.0,1.0,1.0,1.0,0.5833333333333334,0.14433756729740646,0.984375,0.004510548978043943,0.6740079365079364,0.05139884686260719,0.3333333333333333,0.5773502691896258,0.6135266174872717,0.46834437491121444,2.210744102795919,2.290407485187239
MLP,pairwise_interaction,oracle_support,100,1024,0.0,grad,fd,512,4,silu,0.7075299024581909,0.02779326249944642,0.8543632626533508,0.042522171479333064,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.42645202080408734,0.09140725623760608,0.1603144829471906,0.04858210833475234
MLP,pairwise_interaction,rf,100,1024,0.0,grad,fd,512,2,silu,0.6885182658831278,0.016280753598990574,0.8437864581743876,0.038451208695314675,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.43636810779571533,0.06160098198578815,0.14296888311704,0.010031279229844642
