model,function,screen_mode,dimension,samples,noise,variable_method,interaction_method,hidden,depth,activation,final_train_full,lbfgs_finetune_steps,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std
MLP,core_interaction,oracle_support,100,1024,0.0,grad,fd,128,4,silu,1,50,1.0201321668882694e-07,1.3435912768768639e-07,1.4818979501724243,0.07019789973216312,20.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.14433756729740646,0.998263888888889,0.0030070326520292502,0.9722222222222222,0.048112522432468864,1.0,0.0,1.2184000412623088,0.31541460991154696,0.6752606630325317,0.08240795430700493
MLP,core_interaction,rf,100,1024,0.0,grad,fd,512,3,silu,1,50,0.2898088792959849,0.025695953557453712,1.0172277092933655,0.04009520123439897,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.301211675008138,0.023095446490763717,0.3769058585166931,0.029120019568773324
MLP,core_interaction_c5,oracle_support,100,1024,0.0,grad,fd,128,5,silu,1,50,0.0005834874367186179,0.0002590436070499579,0.43062342206637066,0.01514276605186784,20.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.14433756729740646,0.9991319444444445,0.001503516326014581,0.9833333333333334,0.028867513459481322,1.0,0.0,2.8129170735677085,0.06573703195302832,0.29198746879895526,0.01824500197149465
MLP,core_interaction_c5,rf,100,1024,0.0,grad,fd,512,5,silu,1,50,0.012803204668064913,0.0008258051929131921,0.3851894239584605,0.021201841457743016,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7644261519114175,0.08681581613132061,0.2859951853752136,0.017600864508438563
MLP,correlated_proxy,oracle_support,100,1024,0.0,grad,fd,128,5,silu,1,50,4.283612431432715e-08,5.167443956584067e-08,1.2749284108479817,0.08326945563783025,20.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.14433756729740646,0.984375,0.022702598664274345,0.8958333333333334,0.10026007846263302,1.0,0.0,1.2283578316370647,0.13761262495260854,1.042670726776123,0.38247495899994177
MLP,correlated_proxy,rf,100,1024,0.0,grad,fd,64,3,tanh,1,50,1.8418435890528901e-06,2.5906053499068848e-06,0.6246737639109293,0.45005146139485036,20.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.14433756729740646,0.9913194444444445,0.006553675725061454,0.7875,0.17144200509534152,0.3333333333333333,0.5773502691896258,1.009030560652415,0.1760327633081084,3.629002332687378,2.5258648873719456
MLP,pairwise_interaction,oracle_support,100,1024,0.0,grad,fd,512,4,silu,1,50,0.09390939027070999,0.004834737532347977,1.7277700106302898,0.2274530086707809,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.2993044058481853,0.08921943471693186,0.4737323621908824,0.04019640789482003
MLP,pairwise_interaction,rf,100,1024,0.0,grad,fd,512,2,silu,1,50,0.2805590828259786,0.0031091447922625536,1.206352432568868,0.01643833260528568,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1589953104654949,0.0270012881947803,0.3651325802008311,0.02238179313066076
