function,seed,samples,test_samples,dimension,noise,width_hidden,grid,k,lamb,steps,pair_mode,train_mse,test_mse,candidate_pairs,true_pair,top_pair,top_pair_score,true_pair_score,max_false_pair_score,false_pair_score_p95,false_pair_score_p99,true_minus_max_false,true_pair_rank,true_pair_beats_candidates,endpoint_rank_worst_feature,endpoint_rank_worst_hybrid,runtime_sec
core_interaction_c025,0,640,2048,100,0.0,16,5,3,0.001,75,all,0.0001865672820713371,0.0007787246140651405,4950,"(2, 3)","(2, 3)",0.07448841352015734,0.07448841352015734,0.005106383003294468,1.8447637557983375e-05,0.0003685017116367805,0.06938203051686287,1,1,4,4,58.821248292922974
core_interaction_c025,1,640,2048,100,0.0,16,5,3,0.001,75,all,0.0003228241403121501,0.003831232665106654,4950,"(2, 3)","(2, 3)",0.06446522334590554,0.06446522334590554,0.0141930365934968,0.00012991921976208596,0.0013399144820868715,0.05027218675240874,1,1,4,4,61.128737449645996
core_interaction_c025,2,640,2048,100,0.0,16,5,3,0.001,75,all,0.00017138443945441395,0.0015810823533684015,4950,"(2, 3)","(2, 3)",0.06716802716255188,0.06716802716255188,0.0033788271248340607,3.854185342788694e-05,0.0005805955827236165,0.06378920003771782,1,1,4,4,60.71561622619629
core_interaction_c025,3,640,2048,100,0.0,16,5,3,0.001,75,all,0.0006484309560619295,0.026236284524202347,4950,"(2, 3)","(0, 1)",0.015250371303409338,1.0870397090911865e-05,0.015250371303409338,0.0004044689238071441,0.0022791524417698104,-0.015239500906318426,3659,0,93,90,61.47070646286011
core_interaction_c025,4,640,2048,100,0.0,16,5,3,0.001,75,all,0.0002159588475478813,0.0008388495771214366,4950,"(2, 3)","(2, 3)",0.0627897814847529,0.0627897814847529,0.005182265304028988,2.7828477323054985e-05,0.00038964048027991926,0.057607516180723906,1,1,4,4,61.709142446517944
core_interaction_c025,5,640,2048,100,0.0,16,5,3,0.001,75,all,0.00023320142645388842,0.0019193042535334826,4950,"(2, 3)","(2, 3)",0.10362754948437214,0.10362754948437214,0.008599035441875458,5.6040845811366365e-05,0.0005999773368239394,0.09502851404249668,1,1,4,4,61.735169410705566
core_interaction_c025,6,640,2048,100,0.0,16,5,3,0.001,75,all,0.0005777118494734168,0.031073927879333496,4950,"(2, 3)","(0, 1)",0.01303392555564642,7.592979818582535e-05,0.01303392555564642,0.0004436869174242013,0.0021273797005413966,-0.012957995757460594,1862,0,79,75,63.15471410751343
core_interaction_c025,7,640,2048,100,0.0,16,5,3,0.001,75,all,0.0003803249855991453,0.026304882019758224,4950,"(2, 3)","(0, 1)",0.020386401563882828,0.001715824007987976,0.020386401563882828,0.0006784483790397627,0.0029749901592731414,-0.01867057755589485,119,0,12,7,63.08091354370117
core_interaction_c025,8,640,2048,100,0.0,16,5,3,0.001,75,all,0.0002615279518067837,0.0016141574596986175,4950,"(2, 3)","(2, 3)",0.05801939591765404,0.05801939591765404,0.0030222833156585693,3.5102292895316674e-05,0.0005391395837068553,0.05499711260199547,1,1,4,4,61.8817412853241
core_interaction_c025,9,640,2048,100,0.0,16,5,3,0.001,75,all,0.0004203501157462597,0.02227126806974411,4950,"(2, 3)","(0, 1)",0.009999293135479093,0.000493424478918314,0.009999293135479093,0.0010019900742918252,0.0017413518205285042,-0.009505868656560779,729,0,53,69,62.97785973548889
core_interaction_c025,10,640,2048,100,0.0,16,5,3,0.001,75,all,0.00020917606889270246,0.0009284019470214844,4950,"(2, 3)","(2, 3)",0.060518085956573486,0.060518085956573486,0.0027032289654016495,1.830626279115672e-05,0.0003746261075139036,0.05781485699117184,1,1,4,4,64.57634711265564
core_interaction_c025,11,640,2048,100,0.0,16,5,3,0.001,75,all,0.0002260264300275594,0.0014861596282571554,4950,"(2, 3)","(2, 3)",0.06907637882977724,0.06907637882977724,0.007018373580649495,5.58501109480857e-05,0.0007606489863246657,0.062058005249127746,1,1,4,4,62.921202421188354
