function,interaction_strength,screen_mode,dimension,samples,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,num_runs
core_interaction_c025,0.25,exclude_interaction,50,1024,0.4334086075425148,0.1745277243998364,1.4119081884622573,0.6660131456956857,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,109.54556198120117,61.61498265356764,-109.54556198120117,61.61498265356764,0.0,10
core_interaction_c025,0.25,oracle_support,50,1024,0.00137605799245642,0.0034404209204965345,0.00153173928993049,0.0038196019987649208,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,0.0,1.0,0.0,1.0,0.0,0.7,0.48304589153964794,0.2516998965293169,0.08690405798168459,0.2630941346287727,0.1539277524408676,-0.011394238099455844,0.2218433369662581,0.7,10
core_interaction_c025,0.25,random,50,1024,0.4511376217007637,0.17273428261757856,1.358140803873539,0.6187794164003148,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,96.54074950218201,66.74361267109911,-96.54074950218201,66.74361267109911,0.0,10
core_interaction_c025,0.25,raw,50,1024,0.00183660185430195,0.0021941294518921556,0.00924240190506676,0.011698536067596646,50.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.4,0.4,0.8,0.25819888974716115,0.9059782608695652,0.13258221205411042,0.8380442612942612,0.21148574156466038,0.4,0.5163977794943222,0.1716750932158902,0.1410007158691768,0.3906945548951625,0.2674248056601452,-0.21901946167927236,0.39582450779068495,0.4,10
core_interaction_c025,0.25,rf,50,1024,0.01157239107415076,0.0004978041904677807,0.012676132842898319,0.0006580957528818475,4.0,0.0,0.525,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.525,0.07905694150420951,0.7519021739130436,0.04038778533367224,0.5567500000000001,0.05296815080782034,0.0,0.0,0.0,0.0,0.32752195224165914,0.1868570247659305,-0.32752195224165914,0.1868570247659305,0.0,10
core_interaction_c025,0.25,ss_kan_pair,50,1024,0.0034268325078301133,0.005115028925396757,0.004097488037950825,0.0061393566271738175,8.0,1.0,1.0,1.0,1.0,1.0,0.7,0.85,0.5,0.5,0.925,0.12076147288491199,0.9934782608695653,0.010500997642166216,0.9580357142857142,0.06865265732858888,0.5,0.5270462766947299,0.1998041547369212,0.13364589476993172,0.28789283633232116,0.2011236311878954,-0.08808868159539998,0.2935872177640804,0.5,10
core_interaction_c025,0.25,ss_kan_variable,50,1024,0.0034650990637601353,0.0051649858212302144,0.004092315092566423,0.006123106956444984,8.0,1.0,1.0,1.0,1.0,1.0,0.7,0.85,0.5,0.5,0.925,0.12076147288491199,0.9934782608695653,0.010500997642166216,0.9580357142857142,0.06865265732858888,0.5,0.5270462766947299,0.19813765399158,0.13349816516867027,0.2891998257488012,0.2202514501847191,-0.09106217175722123,0.30886730797488804,0.5,10
