model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std
KAN_tuned_fixed,core_interaction,oracle_support,100,1024,0.0,10,5,5,0.0022356972728751583,200,LBFGS,1,fd,0.0002734423226987322,5.710814670283538e-05,0.0004729773208964616,9.131577021095235e-05,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1979711055755615,0.049061978054642234,0.6731661756833395,0.3235762185356604
KAN_tuned_fixed,core_interaction,raw,100,1024,0.0,10,5,5,0.0022356972728751583,200,LBFGS,1,fd,0.000201007283370321,7.497069029867938e-05,0.9882856706778208,0.5489531280185854,100.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.14433756729740643,0.6588541666666666,0.0419100961964351,0.4223813087174466,0.09487254609175756,0.0,0.0,0.24969845016797385,0.15311007371814764,19.675310452779133,6.777896674966068
KAN_tuned_fixed,core_interaction,rf,100,1024,0.0,10,5,5,0.0022356972728751583,200,LBFGS,1,fd,0.000501047819852829,0.00019375363010492032,0.31459826504578814,0.2722817623213113,20.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.28867513459481287,0.9765625,0.021316022843417833,0.8108262108262109,0.16417729631445635,0.3333333333333333,0.5773502691896258,5.27512542406718,4.742675402995045,70.65155788262685,73.4449501413724
KAN_tuned_fixed,core_interaction_c5,oracle_support,100,1024,0.0,10,5,5,0.0022356972728751583,200,LBFGS,1,fd,0.00032889422436710447,0.00011318101050458948,0.0006396392515550057,0.0003039092361500051,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.8327884674072266,0.2959968226566238,1.4060440858205159,0.07905591659303383
KAN_tuned_fixed,core_interaction_c5,raw,100,1024,0.0,10,5,5,0.0022356972728751583,200,LBFGS,1,fd,0.00023207360451730588,8.122859182286428e-05,2.262004852294922,0.13689984474079403,100.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.6979166666666666,0.11933790872280835,0.32413701532646744,0.03027248067523706,0.0,0.0,1.4066789547602336,0.7241813752847163,10.4909454981486,4.342086068094303
KAN_tuned_fixed,core_interaction_c5,rf,100,1024,0.0,10,5,5,0.0022356972728751583,200,LBFGS,1,fd,0.0004467284306883812,0.00030879988678912234,0.0009712643028857807,0.0007501901792772435,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.5773502691896258,3.0403785705566406,0.13780193706414523,1.4810946385065715,1.6614201909474606
KAN_tuned_fixed,feynman_coulomb,oracle_support,100,1024,0.0,10,5,5,0.0022356972728751583,200,LBFGS,1,fd,0.003924617000545065,0.002805492012742246,0.3220720247675975,0.3103078404647797,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5555555555555555,0.3849001794597505,6.761843787299262,3.882708494546125,6.181846410036087,5.662887456945533
KAN_tuned_fixed,feynman_coulomb,raw,100,1024,0.0,10,5,5,0.0022356972728751583,200,LBFGS,1,fd,0.0002828037249855697,0.00014056538576524418,2.8165666262308755,0.22844794086784545,100.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.19245008972987526,0.4524627720504009,0.29555928380976204,0.09394972094502611,0.08691552315430497,0.0,0.0,1.484676173991627,0.8978553238096624,9.954034487406412,4.5126084850782116
KAN_tuned_fixed,feynman_coulomb,rf,100,1024,0.0,10,5,5,0.0022356972728751583,200,LBFGS,1,fd,0.003417827538214624,0.0014222583785537687,0.41622524956862134,0.5348029968029193,20.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.19245008972987526,0.9988545246277205,0.0019840215436069545,0.9722222222222222,0.04811252243246891,0.4444444444444444,0.5091750772173156,4.78753207789527,1.418547203888413,11.431562264760336,10.165308685196957
