model,explain_method,seed,function,samples,dimension,noise,variable,score,is_active
KAN,grad,0,core_interaction,1024,100,0.0,85,0.24573662877082825,0
KAN,grad,0,core_interaction,1024,100,0.0,86,0.375447154045105,0
KAN,grad,0,core_interaction,1024,100,0.0,87,0.47577768564224243,0
KAN,grad,0,core_interaction,1024,100,0.0,88,0.24307605624198914,0
KAN,grad,0,core_interaction,1024,100,0.0,89,0.2427767813205719,0
KAN,grad,0,core_interaction,1024,100,0.0,90,0.32925742864608765,0
KAN,grad,0,core_interaction,1024,100,0.0,91,0.38600224256515503,0
KAN,grad,0,core_interaction,1024,100,0.0,92,0.28151559829711914,0
KAN,grad,0,core_interaction,1024,100,0.0,93,0.2800384759902954,0
KAN,grad,0,core_interaction,1024,100,0.0,94,0.26133206486701965,0
KAN,grad,0,core_interaction,1024,100,0.0,95,0.23753198981285095,0
KAN,grad,0,core_interaction,1024,100,0.0,96,0.2630351781845093,0
KAN,grad,0,core_interaction,1024,100,0.0,97,0.22494283318519592,0
KAN,grad,0,core_interaction,1024,100,0.0,98,0.29831939935684204,0
KAN,grad,0,core_interaction,1024,100,0.0,99,0.3846590518951416,0
KAN,perm,0,core_interaction,1024,100,0.0,0,1.6359671354293823,1
KAN,perm,0,core_interaction,1024,100,0.0,1,0.37826403975486755,1
KAN,perm,0,core_interaction,1024,100,0.0,2,0.030222535133361816,1
KAN,perm,0,core_interaction,1024,100,0.0,3,0.0,1
KAN,perm,0,core_interaction,1024,100,0.0,4,0.0243388619273901,0
KAN,perm,0,core_interaction,1024,100,0.0,5,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,6,0.036001164466142654,0
KAN,perm,0,core_interaction,1024,100,0.0,7,0.012813289649784565,0
KAN,perm,0,core_interaction,1024,100,0.0,8,0.004916886333376169,0
KAN,perm,0,core_interaction,1024,100,0.0,9,0.0040793814696371555,0
KAN,perm,0,core_interaction,1024,100,0.0,10,0.012788474559783936,0
KAN,perm,0,core_interaction,1024,100,0.0,11,0.001230438589118421,0
KAN,perm,0,core_interaction,1024,100,0.0,12,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,13,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,14,0.04754219576716423,0
KAN,perm,0,core_interaction,1024,100,0.0,15,0.053245484828948975,0
KAN,perm,0,core_interaction,1024,100,0.0,16,0.0035933256149291992,0
KAN,perm,0,core_interaction,1024,100,0.0,17,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,18,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,19,0.008526523597538471,0
KAN,perm,0,core_interaction,1024,100,0.0,20,0.00816152524203062,0
KAN,perm,0,core_interaction,1024,100,0.0,21,0.04925284907221794,0
KAN,perm,0,core_interaction,1024,100,0.0,22,0.02270694635808468,0
KAN,perm,0,core_interaction,1024,100,0.0,23,0.01407794188708067,0
KAN,perm,0,core_interaction,1024,100,0.0,24,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,25,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,26,0.055110592395067215,0
KAN,perm,0,core_interaction,1024,100,0.0,27,0.008334477432072163,0
KAN,perm,0,core_interaction,1024,100,0.0,28,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,29,0.04232869669795036,0
KAN,perm,0,core_interaction,1024,100,0.0,30,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,31,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,32,0.02227143384516239,0
KAN,perm,0,core_interaction,1024,100,0.0,33,0.011682987213134766,0
KAN,perm,0,core_interaction,1024,100,0.0,34,0.044114869087934494,0
KAN,perm,0,core_interaction,1024,100,0.0,35,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,36,0.006373266223818064,0
KAN,perm,0,core_interaction,1024,100,0.0,37,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,38,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,39,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,40,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,41,0.01108743716031313,0
KAN,perm,0,core_interaction,1024,100,0.0,42,0.027798155322670937,0
KAN,perm,0,core_interaction,1024,100,0.0,43,0.01048539113253355,0
KAN,perm,0,core_interaction,1024,100,0.0,44,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,45,0.03046838380396366,0
KAN,perm,0,core_interaction,1024,100,0.0,46,0.04464536905288696,0
KAN,perm,0,core_interaction,1024,100,0.0,47,0.02381066419184208,0
KAN,perm,0,core_interaction,1024,100,0.0,48,0.03632374480366707,0
KAN,perm,0,core_interaction,1024,100,0.0,49,0.03283591940999031,0
KAN,perm,0,core_interaction,1024,100,0.0,50,0.04289718344807625,0
KAN,perm,0,core_interaction,1024,100,0.0,51,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,52,0.01026038359850645,0
KAN,perm,0,core_interaction,1024,100,0.0,53,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,54,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,55,2.0603338271030225e-05,0
KAN,perm,0,core_interaction,1024,100,0.0,56,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,57,0.01909315586090088,0
KAN,perm,0,core_interaction,1024,100,0.0,58,0.007737716194242239,0
KAN,perm,0,core_interaction,1024,100,0.0,59,0.03144417330622673,0
KAN,perm,0,core_interaction,1024,100,0.0,60,0.045215904712677,0
KAN,perm,0,core_interaction,1024,100,0.0,61,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,62,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,63,0.01716434955596924,0
KAN,perm,0,core_interaction,1024,100,0.0,64,0.02720940113067627,0
KAN,perm,0,core_interaction,1024,100,0.0,65,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,66,0.046082753688097,0
KAN,perm,0,core_interaction,1024,100,0.0,67,0.04433107376098633,0
KAN,perm,0,core_interaction,1024,100,0.0,68,0.09182646125555038,0
KAN,perm,0,core_interaction,1024,100,0.0,69,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,70,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,71,0.02408822439610958,0
KAN,perm,0,core_interaction,1024,100,0.0,72,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,73,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,74,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,75,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,76,0.006695310119539499,0
KAN,perm,0,core_interaction,1024,100,0.0,77,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,78,0.026802202686667442,0
KAN,perm,0,core_interaction,1024,100,0.0,79,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,80,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,81,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,82,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,83,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,84,0.027585744857788086,0
KAN,perm,0,core_interaction,1024,100,0.0,85,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,86,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,87,0.007768034934997559,0
KAN,perm,0,core_interaction,1024,100,0.0,88,0.013375699520111084,0
KAN,perm,0,core_interaction,1024,100,0.0,89,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,90,0.058446645736694336,0
KAN,perm,0,core_interaction,1024,100,0.0,91,0.004924973007291555,0
KAN,perm,0,core_interaction,1024,100,0.0,92,0.027870336547493935,0
KAN,perm,0,core_interaction,1024,100,0.0,93,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,94,0.007621904369443655,0
KAN,perm,0,core_interaction,1024,100,0.0,95,0.039141375571489334,0
KAN,perm,0,core_interaction,1024,100,0.0,96,0.09607279300689697,0
KAN,perm,0,core_interaction,1024,100,0.0,97,0.03254632279276848,0
KAN,perm,0,core_interaction,1024,100,0.0,98,0.0,0
KAN,perm,0,core_interaction,1024,100,0.0,99,0.0,0
KAN,grad,1,core_interaction,1024,100,0.0,0,3.8636302947998047,1
KAN,grad,1,core_interaction,1024,100,0.0,1,1.1971662044525146,1
KAN,grad,1,core_interaction,1024,100,0.0,2,0.3486577272415161,1
KAN,grad,1,core_interaction,1024,100,0.0,3,0.6337676644325256,1
KAN,grad,1,core_interaction,1024,100,0.0,4,0.4467408061027527,0
KAN,grad,1,core_interaction,1024,100,0.0,5,0.3403439521789551,0
KAN,grad,1,core_interaction,1024,100,0.0,6,0.22512781620025635,0
KAN,grad,1,core_interaction,1024,100,0.0,7,0.5707992315292358,0
KAN,grad,1,core_interaction,1024,100,0.0,8,0.3596445322036743,0
KAN,grad,1,core_interaction,1024,100,0.0,9,0.3691345155239105,0
KAN,grad,1,core_interaction,1024,100,0.0,10,0.41200995445251465,0
KAN,grad,1,core_interaction,1024,100,0.0,11,0.5519881248474121,0
KAN,grad,1,core_interaction,1024,100,0.0,12,0.9478811025619507,0
KAN,grad,1,core_interaction,1024,100,0.0,13,0.6629102230072021,0
KAN,grad,1,core_interaction,1024,100,0.0,14,0.5701830387115479,0
KAN,grad,1,core_interaction,1024,100,0.0,15,0.548029899597168,0
KAN,grad,1,core_interaction,1024,100,0.0,16,0.40831056237220764,0
KAN,grad,1,core_interaction,1024,100,0.0,17,0.45614057779312134,0
KAN,grad,1,core_interaction,1024,100,0.0,18,0.28427475690841675,0
KAN,grad,1,core_interaction,1024,100,0.0,19,0.6914558410644531,0
KAN,grad,1,core_interaction,1024,100,0.0,20,0.5657651424407959,0
KAN,grad,1,core_interaction,1024,100,0.0,21,0.9566978216171265,0
KAN,grad,1,core_interaction,1024,100,0.0,22,0.9110985994338989,0
KAN,grad,1,core_interaction,1024,100,0.0,23,0.3875334858894348,0
KAN,grad,1,core_interaction,1024,100,0.0,24,0.3761637508869171,0
KAN,grad,1,core_interaction,1024,100,0.0,25,0.5657024383544922,0
KAN,grad,1,core_interaction,1024,100,0.0,26,0.3235338628292084,0
KAN,grad,1,core_interaction,1024,100,0.0,27,0.5453381538391113,0
KAN,grad,1,core_interaction,1024,100,0.0,28,0.5253011584281921,0
KAN,grad,1,core_interaction,1024,100,0.0,29,0.7431425452232361,0
KAN,grad,1,core_interaction,1024,100,0.0,30,0.31695982813835144,0
KAN,grad,1,core_interaction,1024,100,0.0,31,0.7502565979957581,0
KAN,grad,1,core_interaction,1024,100,0.0,32,0.5420994758605957,0
KAN,grad,1,core_interaction,1024,100,0.0,33,0.7022133469581604,0
KAN,grad,1,core_interaction,1024,100,0.0,34,0.5842651128768921,0
KAN,grad,1,core_interaction,1024,100,0.0,35,1.0523805618286133,0
KAN,grad,1,core_interaction,1024,100,0.0,36,0.5706878900527954,0
KAN,grad,1,core_interaction,1024,100,0.0,37,0.8363184928894043,0
KAN,grad,1,core_interaction,1024,100,0.0,38,0.2518867552280426,0
KAN,grad,1,core_interaction,1024,100,0.0,39,0.4214619994163513,0
KAN,grad,1,core_interaction,1024,100,0.0,40,0.21174047887325287,0
KAN,grad,1,core_interaction,1024,100,0.0,41,0.7653694152832031,0
KAN,grad,1,core_interaction,1024,100,0.0,42,0.4360635280609131,0
KAN,grad,1,core_interaction,1024,100,0.0,43,0.6051502227783203,0
KAN,grad,1,core_interaction,1024,100,0.0,44,0.5434821248054504,0
KAN,grad,1,core_interaction,1024,100,0.0,45,0.5047052502632141,0
KAN,grad,1,core_interaction,1024,100,0.0,46,0.471126526594162,0
KAN,grad,1,core_interaction,1024,100,0.0,47,0.46438753604888916,0
KAN,grad,1,core_interaction,1024,100,0.0,48,0.5718054175376892,0
KAN,grad,1,core_interaction,1024,100,0.0,49,0.2905760407447815,0
KAN,grad,1,core_interaction,1024,100,0.0,50,0.3259490430355072,0
KAN,grad,1,core_interaction,1024,100,0.0,51,0.406852126121521,0
KAN,grad,1,core_interaction,1024,100,0.0,52,0.7994320392608643,0
