function,interaction_strength,screen_mode,n,d,top_m,test_mse_mean,variable_f1_mean,explain_interaction_endpoint_recall_mean,interaction_f1_mean,true_interaction_mean_score_margin_mean,support_contains_all_true_mean,support_contains_interaction_endpoints_mean,num_runs
core_interaction_c025,0.25,ss_kan_variable,1024,100,8,0.0035315619519678,0.925,0.85,0.5,-0.080993148474954,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_variable,1024,100,10,0.0042986296815797,0.875,0.75,0.3,-0.1373901512240991,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,512,50,4,0.0003312423927127,1.0,1.0,1.0,0.3879366051405668,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,512,50,5,0.000337734913046,1.0,1.0,0.9,0.2935773432254791,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,512,50,6,0.0003350082697579,1.0,1.0,0.9,0.2874788656830788,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,512,50,8,0.0002636594552313,1.0,1.0,1.0,0.3195628702640533,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,512,50,10,0.0003585487909731,1.0,1.0,0.9,0.2071774020791053,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,50,4,0.0004163931407674,1.0,1.0,1.0,0.3607086956501007,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,50,5,0.0004233017665683,1.0,1.0,0.9,0.2927913032472133,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,50,6,0.0003270056520705,1.0,1.0,1.0,0.3050958998501301,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,50,8,0.0002296802063938,1.0,1.0,1.0,0.4252808324992657,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,50,10,0.0005189017159864,1.0,1.0,1.0,0.390430519124493,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,512,100,4,0.0003052491258131,1.0,1.0,1.0,0.4216958649456501,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,512,100,5,0.000408133718156,1.0,1.0,0.8,0.3265208289027214,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,512,100,6,0.0003135602193651,1.0,1.0,0.9,0.3118531443178653,1.0,1.0,10
