model,function,screen_mode,seed,samples,test_samples,dimension,noise,top_m,selected_screen_features,screen_score_type,screen_scores,true_variables,true_interactions,num_true_variables,num_true_interactions,formula,grid,k,width_hidden,lamb,steps,opt,update_grid,grid_update_num,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,status,error,traceback,train_mse,test_mse,variable_method,interaction_method,importance_scores,selected_variables,variable_precision,variable_recall,variable_f1,variable_auroc,variable_auprc,explain_contains_all_interaction_endpoints,explain_interaction_endpoint_recall,selected_interactions,interaction_precision,interaction_recall,interaction_f1,selected_interaction_endpoint_recall,selected_interaction_contains_all_endpoints,true_interaction_best_rank,true_interaction_worst_rank,true_interaction_rank_mean,true_interaction_score_mean,max_nontrue_interaction_score,true_interaction_mean_score_margin,true_interaction_beats_all_false
KAN_tuned_fixed,core_interaction_c025,raw,0,2048,4096,100,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,100,1,1.0,1,1.0,1,ok,,,0.0058663589879870415,0.017275942489504814,grad,fd,"[5.159218788146973, 1.3006994724273682, 0.03978443145751953, 0.04396626725792885, 0.01249419990926981, 0.002418318297713995, 0.023763973265886307, 0.004324302542954683, 0.022646861150860786, 0.025316517800092697, 0.02971600368618965, 0.041094377636909485, 0.021837910637259483, 0.03873763605952263, 0.020448949187994003, 0.037249982357025146, 0.01775399222970009, 0.040248092263936996, 0.03194475173950195, 0.018120067194104195, 0.0278288833796978, 0.07198439538478851, 0.03957430645823479, 0.012794019654393196, 0.027927163988351822, 0.035379767417907715, 0.03098432347178459, 0.02961054816842079, 0.06375956535339355, 0.01987595297396183, 0.041939057409763336, 0.036314137279987335, 0.029672926291823387, 0.012993894517421722, 0.03214166685938835, 0.021402450278401375, 0.005805708467960358, 0.012408406473696232, 0.034287210553884506, 0.008579548448324203, 0.02000654675066471, 0.028020987287163734, 0.033465638756752014, 0.02249225601553917, 0.02014533244073391, 0.018761899322271347, 0.03571762144565582, 0.02816261537373066, 0.03741614148020744, 0.05063767731189728, 0.012037739157676697, 0.006158963777124882, 0.012629682198166847, 0.036756232380867004, 0.023191995918750763, 0.009968900121748447, 0.03368363529443741, 0.016536522656679153, 0.028779666870832443, 0.011726424098014832, 0.035523779690265656, 0.03184136748313904, 0.041150759905576706, 0.028656773269176483, 0.01625026948750019, 0.044607870280742645, 0.04606013745069504, 0.028533663600683212, 0.014275924302637577, 0.011667728424072266, 0.009172494523227215, 0.02320902608335018, 0.03450693190097809, 0.03359837457537651, 0.02071443758904934, 0.026479948312044144, 0.013186084106564522, 0.04016958177089691, 0.024206530302762985, 0.051678791642189026, 0.04149121046066284, 0.014661775901913643, 0.021401017904281616, 0.02270798571407795, 0.031612589955329895, 0.018137644976377487, 0.02524416707456112, 0.03663797676563263, 0.019736547023057938, 0.04543256014585495, 0.03539338335394859, 0.014883600175380707, 0.01106227096170187, 0.036530666053295135, 0.01177280955016613, 0.02711416408419609, 0.026911795139312744, 0.021975932642817497, 0.05066979303956032, 0.042314283549785614]","[0, 1, 21, 28]",0.5,0.5,0.5,0.9401041666666666,0.6208133971291866,0,0.0,"[(0, 1)]",0.0,0.0,0.0,0.0,0,1838.0,1838.0,1838.0,0.002480883151292801,0.2683560252189636,-0.2658751420676708,0
KAN_tuned_fixed,core_interaction_c025,raw,1,2048,4096,100,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,100,1,1.0,1,1.0,1,ok,,,0.006248231045901775,0.01709182932972908,grad,fd,"[5.20452880859375, 1.301284909248352, 0.04212735593318939, 0.025066273286938667, 0.04093540459871292, 0.019930478185415268, 0.05039840191602707, 0.0364999920129776, 0.03429356962442398, 0.022263983264565468, 0.02315794862806797, 0.033138688653707504, 0.0328899547457695, 0.05781420320272446, 0.04486044496297836, 0.02939489483833313, 0.04847067594528198, 0.032278839498758316, 0.044936634600162506, 0.028808562085032463, 0.013471603393554688, 0.02752949669957161, 0.007833377458155155, 0.04123736917972565, 0.041778549551963806, 0.026672853156924248, 0.03372855484485626, 0.02575058862566948, 0.037967562675476074, 0.06973952054977417, 0.02529647760093212, 0.047739602625370026, 0.03207150846719742, 0.026071928441524506, 0.02571486309170723, 0.019066747277975082, 0.020976297557353973, 0.03060734272003174, 0.03681359067559242, 0.04825432598590851, 0.03350371494889259, 0.03147754818201065, 0.028724506497383118, 0.01753420941531658, 0.04107197746634483, 0.03950931131839752, 0.023483898490667343, 0.05035087466239929, 0.024325769394636154, 0.022538384422659874, 0.040458157658576965, 0.014978112652897835, 0.03132779896259308, 0.012361444532871246, 0.014081574976444244, 0.006997931748628616, 0.050062812864780426, 0.011757707223296165, 0.04615427181124687, 0.0208091139793396, 0.044128406792879105, 0.03425830602645874, 0.01954600214958191, 0.04728300869464874, 0.019644293934106827, 0.042315877974033356, 0.02179960161447525, 0.03187364712357521, 0.039691369980573654, 0.03586670756340027, 0.013144759461283684, 0.028938181698322296, 0.0166037417948246, 0.02808966487646103, 0.03613477945327759, 0.048906125128269196, 0.026593893766403198, 0.015002063475549221, 0.024639014154672623, 0.03599065914750099, 0.020619221031665802, 0.03306914493441582, 0.018535491079092026, 0.014107441529631615, 0.01800314523279667, 0.040341347455978394, 0.04811280593276024, 0.034478217363357544, 0.01731816865503788, 0.018648503348231316, 0.032950304448604584, 0.01652427203953266, 0.03405348211526871, 0.036372050642967224, 0.023194286972284317, 0.03369889780879021, 0.03721104562282562, 0.046681664884090424, 0.0431673564016819, 0.027389265596866608]","[0, 1, 13, 29]",0.5,0.5,0.5,0.7864583333333334,0.5504201680672269,0,0.0,"[(0, 1)]",0.0,0.0,0.0,0.0,0,547.0,547.0,547.0,0.0035762786865234375,0.3744584023952484,-0.370882123708725,0
KAN_tuned_fixed,core_interaction_c025,raw,2,2048,4096,100,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,100,1,1.0,1,1.0,1,ok,,,0.00022837701544631273,0.0002820876252371818,grad,fd,"[5.249614715576172, 1.3004580736160278, 0.15036641061306, 0.15028773248195648, 0.0021302765235304832, 0.001236926531419158, 0.002140133175998926, 0.002238771878182888, 0.0009747538715600967, 0.0011684964410960674, 0.0007446001400239766, 0.005374561995267868, 0.0015524012269452214, 0.0012567066587507725, 0.001630328013561666, 0.0022048132959753275, 0.0006870573270134628, 0.003800450125709176, 0.007120602764189243, 0.003540224861353636, 0.001683714333921671, 0.0009817916434258223, 0.0015358026139438152, 0.0012282294919714332, 0.0012606990057975054, 0.0006043419125489891, 0.004143027123063803, 0.0019303462468087673, 0.0024772449396550655, 0.002538201631978154, 0.001652657287195325, 0.0027349870651960373, 0.002906468464061618, 0.0032401448115706444, 0.0014944791328161955, 0.0009776700753718615, 0.0012443141313269734, 0.0012461117003113031, 0.0015223425580188632, 0.0031277076341211796, 0.0025191998574882746, 0.0014388636918738484, 0.0017665012273937464, 0.0007114291656762362, 0.0018383754650130868, 0.0010979989310726523, 0.0011853069299831986, 0.0018452700460329652, 0.0009667517733760178, 0.001597683527506888, 0.0025549312122166157, 0.0009652834269218147, 0.0011811894364655018, 0.0014833470340818167, 0.0015368858585134149, 0.0012497871648520231, 0.0017224072944372892, 0.0012421028222888708, 0.0016713808290660381, 0.0010776466224342585, 0.002160067670047283, 0.002881595864892006, 0.001909227459691465, 0.0016053870785981417, 0.0010646716691553593, 0.002667094813659787, 0.0008199246367439628, 0.0009022430749610066, 0.000348044210113585, 0.0021555034909397364, 0.0012805650476366282, 0.0014306644443422556, 0.0027061733417212963, 0.0013018689351156354, 0.001127647701650858, 0.0021293251775205135, 0.0015153700951486826, 0.0012451405636966228, 0.003159957705065608, 0.0010468850377947092, 0.0019147840794175863, 0.002179335802793503, 0.0027353682089596987, 0.0022492476273328066, 0.002626286121085286, 0.0019740923307836056, 0.0004324647889006883, 0.0020794642623513937, 0.0019489668775349855, 0.0018009424675256014, 0.003090383717790246, 0.0029403134249150753, 0.001462750369682908, 0.0013296774122864008, 0.0026839086785912514, 0.0009410138009116054, 0.0021571784745901823, 0.0034064557403326035, 0.0029604462906718254, 0.002462760778144002]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,1,1.0,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.27926871180534363,0.12172967940568924,0.1575390323996544,1
KAN_tuned_fixed,core_interaction_c025,raw,3,2048,4096,100,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,100,1,1.0,1,1.0,1,ok,,,0.00018679154163692147,0.00019407269428484142,grad,fd,"[5.411332607269287, 1.2176687717437744, 0.15670859813690186, 0.15592548251152039, 0.0003540804609656334, 0.00027812333428300917, 0.0008660928579047322, 5.333786248229444e-05, 0.00032925931736826897, 0.000336317578330636, 0.0001287127670366317, 0.00020520338148344308, 0.00013162594405002892, 0.0008227428770624101, 0.0003437723789829761, 0.0007351839449256659, 0.00014686443319078535, 0.00043622477096505463, 0.00021824415307492018, 0.0003264048136770725, 0.0003960537724196911, 0.00019860954489558935, 0.0003361527342349291, 0.0012857957044616342, 0.000353899784386158, 0.0004138346412219107, 0.00018645625095814466, 0.00011253855336690322, 0.0001677803957136348, 0.0001636465749470517, 0.00029141484992578626, 0.002682301215827465, 0.000766514684073627, 0.000636650831438601, 0.0006980841280892491, 0.0005767480470240116, 0.00029799749609082937, 0.00020111374033149332, 0.00046329255565069616, 0.00011402981181163341, 0.0007291481597349048, 0.00016137928469106555, 0.0014145532622933388, 0.00029299157904461026, 0.0003194128512404859, 0.0001476348115829751, 0.00010972695599775761, 0.00041665678145363927, 0.0005240642931312323, 0.002661096164956689, 0.0005912621272727847, 0.000310051953420043, 0.0005053571658208966, 0.0005299898912198842, 0.0003116724838037044, 0.0006354159559123218, 0.00013939529890194535, 0.0002228602097602561, 0.00039221151382662356, 0.00027052051154896617, 0.0003789093461818993, 0.0003540559846442193, 0.0003557851887308061, 0.00017146358732134104, 8.777173206908628e-05, 0.00031275462242774665, 0.0002908812020905316, 0.0002348748384974897, 0.00020964458235539496, 0.0003724671551026404, 0.000605280976742506, 7.877401367295533e-05, 0.00022770858777221292, 0.00037347761099226773, 0.002172903623431921, 0.00032654250389896333, 0.0007602571859024465, 0.0003878618881572038, 0.00037845486076548696, 0.00021609777468256652, 0.0002385810948908329, 0.000904868240468204, 0.0002657127333804965, 0.00017786934040486813, 0.0001434753939975053, 0.0003864344907924533, 0.00035752501571550965, 0.0002839217195287347, 7.582231773994863e-05, 0.0003897038986906409, 0.0003968602977693081, 0.00015468671335838735, 0.00020613722153939307, 0.0014522835845127702, 0.00018066083430312574, 0.0006984875071793795, 0.00043614255264401436, 0.0004649590118788183, 0.0005938300164416432, 0.00012702643289230764]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,1,1.0,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.28335416316986084,0.15695172548294067,0.12640243768692017,1
KAN_tuned_fixed,core_interaction_c025,raw,4,2048,4096,100,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,100,1,1.0,1,1.0,1,ok,,,0.006568772718310356,0.019402286037802696,grad,fd,"[5.23313045501709, 1.268076777458191, 0.06380020827054977, 0.05070645734667778, 0.04247482866048813, 0.019834209233522415, 0.019597621634602547, 0.053604856133461, 0.04199018329381943, 0.019110728055238724, 0.02932814508676529, 0.027575340121984482, 0.03423650935292244, 0.03270602226257324, 0.034053318202495575, 0.02618083357810974, 0.03179599344730377, 0.013317047618329525, 0.019150596112012863, 0.04515206813812256, 0.04038713872432709, 0.04176389425992966, 0.02566460520029068, 0.022756380960345268, 0.02901269868016243, 0.03879751265048981, 0.035268645733594894, 0.03943870589137077, 0.022912178188562393, 0.014411326497793198, 0.030243057757616043, 0.026874549686908722, 0.05604250729084015, 0.03613799065351486, 0.02373003587126732, 0.02364336885511875, 0.023005668073892593, 0.032136499881744385, 0.0439983531832695, 0.04736485704779625, 0.05386514961719513, 0.03291448950767517, 0.04493138939142227, 0.04431277513504028, 0.026799120008945465, 0.03501856327056885, 0.0439097061753273, 0.04121771454811096, 0.041734471917152405, 0.038901422172784805, 0.051288142800331116, 0.030845526605844498, 0.046147413551807404, 0.02510691061615944, 0.016429485753178596, 0.03232201933860779, 0.03293231874704361, 0.041509587317705154, 0.02532227709889412, 0.03703725337982178, 0.0469205304980278, 0.024185720831155777, 0.03237682580947876, 0.031216640025377274, 0.02533484622836113, 0.028852954506874084, 0.033747389912605286, 0.03539000079035759, 0.03520085662603378, 0.03290322422981262, 0.028549648821353912, 0.020957356318831444, 0.04915858432650566, 0.01873687282204628, 0.014694535173475742, 0.03200960159301758, 0.0193784236907959, 0.01949731819331646, 0.02174520120024681, 0.0494544543325901, 0.04270939901471138, 0.057694315910339355, 0.022436175495386124, 0.026333756744861603, 0.010143335908651352, 0.05377033352851868, 0.05613967403769493, 0.043711379170417786, 0.06591057777404785, 0.06057329848408699, 0.03233540058135986, 0.028480492532253265, 0.02771405503153801, 0.03148995712399483, 0.025594437494874, 0.040007323026657104, 0.0461653396487236, 0.02933035045862198, 0.03778970614075661, 0.05989372730255127]","[0, 1, 2, 88]",0.75,0.75,0.75,0.9713541666666667,0.7589285714285714,0,0.5,"[(0, 1)]",0.0,0.0,0.0,0.0,0,668.0,668.0,668.0,0.0032264506444334984,0.571762204170227,-0.5685357535257936,0
KAN_tuned_fixed,core_interaction_c025,raw,5,2048,4096,100,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,100,1,1.0,1,1.0,1,ok,,,0.00038655800744891167,0.0004680260317400098,grad,fd,"[5.099738121032715, 1.3031666278839111, 0.1508270800113678, 0.14696796238422394, 0.0017716280417516828, 0.0021770817693322897, 0.0013224801514297724, 0.0028381627053022385, 0.0007161658722907305, 0.0014586786273866892, 0.000362803868483752, 0.002255628351122141, 0.002821278991177678, 0.004228127654641867, 0.001720839412882924, 0.0018487719353288412, 0.000844918133225292, 0.002090462716296315, 0.0002808920980896801, 0.0010057673789560795, 0.0002271334087708965, 0.002641262486577034, 0.0030067809857428074, 0.001084394520148635, 0.0014320939080789685, 0.005470079369843006, 0.00013275467790663242, 0.0028417264111340046, 0.004692700691521168, 0.0018042403971776366, 0.0029286136850714684, 0.002451052889227867, 0.0032100151292979717, 0.000454000080935657, 0.003455677069723606, 0.0005755742313340306, 0.001850123517215252, 0.0015829387120902538, 0.000506941694766283, 0.006816814187914133, 0.0030332771129906178, 0.001432505203410983, 0.0005399287911131978, 0.0014825431862846017, 0.0008094319491647184, 0.00367725919932127, 0.00039636343717575073, 0.00214254017919302, 0.0016545513644814491, 0.0008689818787388504, 0.0031751752831041813, 0.0022078221663832664, 0.0031812002416700125, 0.0001432267454219982, 0.0005592227098532021, 0.0001877668546512723, 0.00017511520127300173, 0.0005531739443540573, 0.002270567463710904, 0.0005893436027690768, 0.0008224064949899912, 0.0013933625305071473, 0.0013111729640513659, 0.0010638460516929626, 0.0009696818306110799, 0.0004071564180776477, 0.0032926732674241066, 0.00045092636719346046, 0.00131478370167315, 0.0007813022239133716, 0.001599012641236186, 0.0002528707846067846, 0.0010955058969557285, 0.0008847108692862093, 0.0005331618594937027, 0.001353999599814415, 0.0016315903048962355, 0.0008420917438343167, 0.0018706077244132757, 0.0010541095398366451, 0.0003871506778523326, 0.0037996135652065277, 0.0037655490450561047, 0.0023652866948395967, 0.002273266203701496, 0.00023382093058899045, 0.0004759311268571764, 0.0011349362321197987, 0.0006231041625142097, 0.0016437466256320477, 0.0017305633518844843, 0.003832980990409851, 0.0013814240228384733, 9.484306792728603e-05, 0.002588646486401558, 0.0028038371820002794, 0.0002795076579786837, 0.001518675358965993, 0.00040120643097907305, 0.0017099343240261078]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,1,1.0,"[(0, 1)]",0.0,0.0,0.0,0.0,0,2.0,2.0,2.0,0.2701697051525116,0.2750149071216583,-0.0048452019691467285,0
