setting,description,oracle_var_f1,oracle_var_auroc,oracle_var_auprc,oracle_int_f1,kan_test_mse,kan_var_f1,kan_var_auroc,kan_var_auprc,kan_int_f1,delta_x0,delta_x1,delta_x2,delta_x3,delta_x4,delta_x5,delta_pair_23,synergy_pair_23,delta_pair_04,synergy_pair_04,delta_pair_01,synergy_pair_01,failure_source
clean_core_d20,Clean low-dimensional core interaction,1.0,1.0,1.0,1.0,4.3238561283942543e-05,1.0,,,1.0,1.4110178575623042,0.2439774201023586,0.3063410248068976,0.3142239874311296,-3.3390021296024014e-07,1.3117642083670944e-08,0.3115261421310909,-0.3090388701069362,,,1.6334971612401812,-0.0214981164244818,"No failure: oracle, KAN explanation, and intervention agree."
highdim_core_d100,High-dimensional sparse core interaction,1.0,1.0,1.0,1.0,1.5478636622428894,0.425,0.7291666666666666,0.4788678121806115,0.0,0.7795625527699789,0.1085908412933349,0.0128216346104939,0.0002242724100748,-0.0272247791290283,-0.004353920618693,0.0162788232167561,0.0032329161961873,,,0.950525999069214,0.0623726050059,Model-learning/representation failure: KAN does not functionally rely on true interaction variables.
correlated_proxy_d100,High-dimensional correlated proxy,1.0,1.0,1.0,1.0,1.9410963296890258,0.325,0.6699218750000001,0.3327578038028918,,0.0971275568008422,0.0004846254984537,-0.0128185351689656,-0.0206271807352701,0.0408396323521932,-0.0006572008132934,-0.0014012654622395,0.0320444504419962,0.228047490119934,0.0900803009668986,0.0735392570495605,-0.0240729252497355,Model-learning/representation failure: KAN does not functionally rely on true interaction variables.
strong_interaction_c5_d100,High-dimensional strengthened interaction coefficient,1.0,1.0,1.0,1.0,2.837814712524414,0.35,0.7968749999999999,0.3794506771717631,0.0,,,,,,,,,,,,,Model-learning/representation failure: KAN does not functionally rely on true interaction variables.
