row_type,model,function,seed,samples,test_samples,dimension,noise,kan_width,kan_grid,kan_k,kan_steps,kan_lamb,target,variable,hidden,pair,baseline_mse,ablated_mse,delta_mse,synergy,is_true_active,is_true_interaction,formula,true_variables,true_interactions
feature_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,x0,0,,,2.1118412017822266,2.185215950012207,0.07337474822998047,,1,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,x1,1,,,2.1118412017822266,2.10280179977417,-0.00903940200805664,,1,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,x2,2,,,2.1118412017822266,2.1164026260375977,0.004561424255371094,,1,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,x3,3,,,2.1118412017822266,2.136479377746582,0.02463817596435547,,1,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,x4,4,,,2.1118412017822266,2.1845502853393555,0.0727090835571289,,0,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,x5,5,,,2.1118412017822266,2.1102776527404785,-0.0015635490417480469,,0,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,x33,33,,,2.1118412017822266,2.1044092178344727,-0.007431983947753906,,0,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,x73,73,,,2.1118412017822266,2.1121137142181396,0.00027251243591308594,,0,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,x95,95,,,2.1118412017822266,2.152050018310547,0.04020881652832031,,0,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
hidden_output_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,h0->out,,0,,2.1118412017822266,2.212944507598877,0.10110330581665039,,,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
