function,dimension,noise,row_type,target,variable,hidden,pair,is_true_active,is_true_interaction,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
correlated_proxy,100,0.05,feature_pair_path,"x0,x1",,,"(0, 1)",,0,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,2.0208797454833984,0.13453773032075253,1.927288293838501,2.1750574111938477,0.09187058607737224,0.03484398475023661,0.0632162094116211,0.13065791130065918,0.01689751942952474,0.02784805744271281,-0.0011191368103027344,0.048972368240356445
correlated_proxy,100,0.05,feature_pair_path,"x0,x4",,,"(0, 4)",,0,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,2.135347048441569,0.1376775489028144,2.005012035369873,2.2793478965759277,0.20633788903554282,0.03785071766476278,0.16750669479370117,0.243125319480896,0.04324305057525635,0.02893696645693783,0.021422863006591797,0.07606792449951172
correlated_proxy,100,0.05,feature_pair_path,"x1,x5",,,"(1, 5)",,0,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9103693564732869,0.1785921817274322,1.7553743124008179,2.1056699752807617,-0.018639802932739258,0.01962060866159319,-0.041256070137023926,-0.006171226501464844,0.01490469773610433,0.013518164996924683,0.004431724548339844,0.03016507625579834
correlated_proxy,100,0.05,feature_pair_path,"x2,x3",,,"(2, 3)",,1,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9047227303187053,0.2065629324105253,1.7615768909454346,2.1415233612060547,-0.024286429087320965,0.04947175977326201,-0.06748795509338379,0.029682159423828125,0.0008143583933512369,0.0014842223595434739,-0.00047588348388671875,0.002436399459838867
correlated_proxy,100,0.05,feature_path,x0,0,,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,2.0205650329589844,0.1453229784859293,1.9101980924606323,2.185215950012207,0.09155587355295818,0.020368463436236297,0.07337474822998047,0.11356770992279053,,,,
correlated_proxy,100,0.05,feature_path,x1,1,,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9124263525009155,0.17302413609122225,1.764748215675354,2.10280179977417,-0.016582806905110676,0.013250060593145306,-0.03188216686248779,-0.008826851844787598,,,,
correlated_proxy,100,0.05,feature_path,x2,2,,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.932262659072876,0.17064967152182836,1.7794418334960938,2.1164026260375977,0.003253499666849772,0.019820478399580038,-0.017188549041748047,0.02238762378692627,,,,
correlated_proxy,100,0.05,feature_path,x3,3,,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9006548722585042,0.20426002329263018,1.7792413234710693,2.136479377746582,-0.028354287147521973,0.059241132822634227,-0.09231197834014893,0.02463817596435547,,,,
correlated_proxy,100,0.05,feature_path,x33,33,,,0,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9213552077611287,0.16251987179368946,1.7940353155136108,2.1044092178344727,-0.007653951644897461,0.005173441043749854,-0.01293480396270752,-0.002595067024230957,,,,
correlated_proxy,100,0.05,feature_path,x4,4,,,0,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,2.0005481243133545,0.166814684234177,1.859205961227417,2.1845502853393555,0.07153896490732829,0.008439386515882453,0.0625755786895752,0.07933223247528076,,,,
