row_type,model,function,seed,samples,test_samples,dimension,noise,kan_width,kan_grid,kan_k,kan_steps,kan_lamb,target,variable,hidden,pair,baseline_mse,ablated_mse,delta_mse,synergy,is_true_active,is_true_interaction,formula,true_variables,true_interactions
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x0->h5,0,5,,3.930838647647761e-05,4.025656744488515e-05,9.481809684075415e-07,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x0->h6,0,6,,3.930838647647761e-05,0.12496159225702286,0.12492228387054638,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x0->h7,0,7,,3.930838647647761e-05,0.20174962282180786,0.20171031443533138,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x1->h0,1,0,,3.930838647647761e-05,3.929281228920445e-05,-1.5574187273159623e-08,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x1->h1,1,1,,3.930838647647761e-05,3.9109796489356086e-05,-1.9858998712152243e-07,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x1->h2,1,2,,3.930838647647761e-05,4.0069400711217895e-05,7.610142347402871e-07,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x1->h3,1,3,,3.930838647647761e-05,0.017292901873588562,0.017253593487112084,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x1->h4,1,4,,3.930838647647761e-05,3.958530578529462e-05,2.769193088170141e-07,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x1->h5,1,5,,3.930838647647761e-05,3.940259193768725e-05,9.420546120963991e-08,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x1->h6,1,6,,3.930838647647761e-05,4.001984416390769e-05,7.114576874300838e-07,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
