function,dimension,noise,row_type,target,variable,hidden,pair,is_true_active,is_true_interaction,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction,20,0.0,feature_pair_path,"x0,x1",,,"(0, 1)",,0,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,1.2935122052828472,0.4856074346693573,0.897040069103241,1.8351459503173828,1.293477411105414,0.48560029123450793,0.8970205453006201,1.8351066419309063,-0.6373072117906607,0.2424907988034658,-0.8194806451829209,-0.3620699652856274
core_interaction,20,0.0,feature_pair_path,"x2,x3",,,"(2, 3)",,1,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.586555411418279,0.34438152452483184,0.24645963311195374,0.9350683689117432,0.5865206172408458,0.3443781245745578,0.24642032472547726,0.935022818568541,-0.1532260825576183,0.4392026176138087,-0.6420017191594525,0.20830575871150359
core_interaction,20,0.0,feature_path,x0,0,,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,1.6531415383021038,0.4105861738679028,1.2284706830978394,2.048020124435425,1.6531067441246705,0.4105757158648236,1.2284511592952185,2.0479808160489483,,,,
core_interaction,20,0.0,feature_path,x1,1,,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.2777126729488373,0.12501932401961116,0.1492350995540619,0.3989599347114563,0.2776778787714041,0.12502873772966988,0.1491957911675854,0.3989404109088355,,,,
core_interaction,20,0.0,feature_path,x2,2,,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.3761117259661357,0.08258278076982216,0.28088003396987915,0.4279830753803253,0.3760769317887025,0.08256973471876515,0.2808605101672583,0.42794376699384884,,,,
core_interaction,20,0.0,feature_path,x3,3,,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.3637045621871948,0.08421973560522646,0.30733609199523926,0.4605175852775574,0.36366976800976164,0.08421707499638255,0.30729054165203706,0.4604782768910809,,,,
core_interaction,20,0.0,feature_path,x4,4,,,0,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,4.260048020417647e-05,2.0683540442066596e-05,1.959566907316912e-05,5.966101889498532e-05,7.806302771011056e-06,1.0963261608645491e-05,7.186645234469324e-08,2.035263241850771e-05,,,,
core_interaction,20,0.0,feature_path,x5,5,,,0,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.008086496784017072,0.013949174438391275,2.1924503016634844e-05,0.02419361099600792,0.008051702606583907,0.01393985502166338,2.400700395810418e-06,0.024148060652805725,,,,
core_interaction,20,0.0,hidden_output_path,h0->out,,0,,,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.10762613316668042,0.18633197787880404,4.004990478279069e-05,0.32278376817703247,0.10759133898924726,0.18634520231575286,7.415183063130826e-07,0.32276424437441165,,,,
core_interaction,20,0.0,hidden_output_path,h1->out,,1,,,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.14421606963818098,0.24969935993109962,1.9976670955657028e-05,0.4325440526008606,0.1441812754607478,0.2496900437425253,4.5286833483260125e-07,0.4324985022576584,,,,
core_interaction,20,0.0,hidden_output_path,h2->out,,2,,,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.525583312324064,0.910250576158206,4.729627107735723e-05,1.5766501426696777,0.5255485181466307,0.9102638007049867,1.7459278751630336e-06,1.576630618867057,,,,
core_interaction,20,0.0,hidden_output_path,h3->out,,3,,,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.9928891415244531,0.9065627991520125,2.198065703851171e-05,1.776580810546875,0.9928543473470199,0.9065512450286476,2.456854417687282e-06,1.7765415021603985,,,,
core_interaction,20,0.0,hidden_output_path,h4->out,,4,,,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,1.745475956624432,1.919475368537311,3.7517624150495976e-05,3.8011868000030518,1.7454411624469988,1.919466877687613,1.799382152967155e-05,3.8011474916165753,,,,
core_interaction,20,0.0,hidden_output_path,h5->out,,5,,,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.3674912671316027,0.3892793604429425,4.1490813600830734e-05,0.7754346132278442,0.36745647295416956,0.38927506102800286,2.1824271243531257e-06,0.775389062884642,,,,
core_interaction,20,0.0,hidden_output_path,h6->out,,6,,,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.04195319603483464,0.07219073200317598,5.627837890642695e-05,0.1253114938735962,0.04191840185740148,0.07218686303183629,1.0728035704232752e-05,0.1252721854871197,,,,
core_interaction,20,0.0,hidden_output_path,h7->out,,7,,,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.39400899518902105,0.33934422462108593,0.003080132883042097,0.6126136779785156,0.39397420101158787,0.33935284364734025,0.003034582539839903,0.6125743695920391,,,,
