function,seed,mc_rep,samples,test_samples,dimension,noise,update_grid,width_hidden,grid,lamb,steps,anova_points,anova_background,candidate_pairs,train_mse,test_mse,train_runtime_sec,score_runtime_sec,true_pair_score,max_false_pair_score,true_minus_max_false,true_pair_rank,true_pair_rank1,top_pair,top_pair_score
core_interaction_c025,0,0,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.24711990356445,0.0007079578936100006,0.018336331471800804,-0.017628373578190804,2745,0,"(0, 1)",0.018336331471800804
core_interaction_c025,0,1,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.30765461921692,0.0006462801247835159,0.02400892600417137,-0.023362645879387856,2806,0,"(0, 1)",0.02400892600417137
core_interaction_c025,0,2,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.1988685131073,0.0009133489802479744,0.020855053793638945,-0.01994170481339097,2271,0,"(0, 1)",0.020855053793638945
core_interaction_c025,0,3,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.25903010368347,0.0005165520124137402,0.015395752154290676,-0.014879200141876936,3169,0,"(0, 1)",0.015395752154290676
core_interaction_c025,0,4,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.18834662437439,0.0006114700809121132,0.02172075305134058,-0.021109282970428467,3032,0,"(0, 1)",0.02172075305134058
core_interaction_c025,0,5,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.173778772354126,0.0006191162392497063,0.01837336551398039,-0.017754249274730682,2982,0,"(0, 81)",0.01837336551398039
core_interaction_c025,0,6,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.267606019973755,0.0006666891276836395,0.02514328993856907,-0.02447660081088543,2823,0,"(0, 1)",0.02514328993856907
core_interaction_c025,0,7,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.19978404045105,0.0007582860998809338,0.015720444731414318,-0.014962158631533384,2601,0,"(0, 1)",0.015720444731414318
core_interaction_c025,0,8,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.23080539703369,0.0005195252597332001,0.027915217215195298,-0.027395691955462098,3249,0,"(0, 1)",0.027915217215195298
core_interaction_c025,0,9,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0004460779018700123,0.06710073351860046,16.420933723449707,42.239102840423584,0.0004761163145303726,0.016852840781211853,-0.01637672446668148,3127,0,"(0, 1)",0.016852840781211853
core_interaction_c025,1,0,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,41.95708703994751,0.015468362718820572,0.027355964295566082,-0.01188760157674551,2,0,"(0, 1)",0.027355964295566082
core_interaction_c025,1,1,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,42.025410652160645,0.013119556475430727,0.022182716988027096,-0.009063160512596369,5,0,"(0, 1)",0.022182716988027096
core_interaction_c025,1,2,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,41.97212791442871,0.011133985593914986,0.021817844361066818,-0.010683858767151833,8,0,"(0, 1)",0.021817844361066818
core_interaction_c025,1,3,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,41.939701318740845,0.014088625088334084,0.03038401808589697,-0.016295392997562885,3,0,"(0, 1)",0.03038401808589697
core_interaction_c025,1,4,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,41.98934841156006,0.01303123589605093,0.035571541637182236,-0.022540305741131306,7,0,"(0, 1)",0.035571541637182236
core_interaction_c025,1,5,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,42.05143642425537,0.015586324501782656,0.03861454734578729,-0.02302822284400463,3,0,"(0, 1)",0.03861454734578729
core_interaction_c025,1,6,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,41.98189663887024,0.016054466366767883,0.04516068659722805,-0.029106220230460167,10,0,"(0, 1)",0.04516068659722805
core_interaction_c025,1,7,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,42.002442359924316,0.0084521290846169,0.04523648228496313,-0.03678435320034623,37,0,"(0, 1)",0.04523648228496313
core_interaction_c025,1,8,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,42.02166700363159,0.010843159630894661,0.035912646912038326,-0.025069487281143665,14,0,"(0, 1)",0.035912646912038326
core_interaction_c025,1,9,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.00024949904764071107,0.06759096682071686,17.93106174468994,41.921247243881226,0.012894446030259132,0.04490128718316555,-0.03200684115290642,4,0,"(0, 1)",0.04490128718316555
core_interaction_c025,2,0,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0003659711219370365,0.06188694387674332,17.509299516677856,41.98575401306152,0.000498427078127861,0.02168466243892908,-0.02118623536080122,1990,0,"(0, 82)",0.02168466243892908
core_interaction_c025,2,1,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0003659711219370365,0.06188694387674332,17.509299516677856,41.96038746833801,0.0012104827910661697,0.015604531392455101,-0.014394048601388931,897,0,"(0, 38)",0.015604531392455101
core_interaction_c025,2,2,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0003659711219370365,0.06188694387674332,17.509299516677856,41.95774507522583,0.0006674481555819511,0.03820409858599305,-0.0375366504304111,1714,0,"(0, 1)",0.03820409858599305
core_interaction_c025,2,3,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0003659711219370365,0.06188694387674332,17.509299516677856,41.93089461326599,0.0004977434873580933,0.02710734773427248,-0.026609604246914387,2025,0,"(0, 1)",0.02710734773427248
core_interaction_c025,2,4,1024,2048,100,0.1,0,16,5,0.001,75,16,16,4950,0.0003659711219370365,0.06188694387674332,17.509299516677856,42.00946760177612,0.0002968171611428261,0.034969561733305454,-0.03467274457216263,2825,0,"(0, 1)",0.034969561733305454
