Using device=cuda
[RUN] function=core_interaction_c025 screen=raw seed=0
checkpoint directory created: ./model
saving model version 0.0

description:   0%|                                                           | 0/50 [00:00<?, ?it/s]
| train_loss: 2.11e-01 | test_loss: 1.18e+00 | reg: 7.90e+01 | :   0%|       | 0/50 [00:00<?, ?it/s]
| train_loss: 2.11e-01 | test_loss: 1.18e+00 | reg: 7.90e+01 | :   2%| | 1/50 [00:00<00:37,  1.31it/
| train_loss: 5.55e-02 | test_loss: 1.18e+00 | reg: 7.24e+01 | :   2%| | 1/50 [00:00<00:37,  1.31it/
| train_loss: 5.55e-02 | test_loss: 1.18e+00 | reg: 7.24e+01 | :   4%| | 2/50 [00:00<00:18,  2.60it/
| train_loss: 4.70e-02 | test_loss: 1.13e+00 | reg: 6.09e+01 | :   4%| | 2/50 [00:01<00:18,  2.60it/
| train_loss: 3.01e-02 | test_loss: 2.12e-01 | reg: 1.45e+01 | :  46%|▍| 23/50 [00:03<00:03,  8.43it
| train_loss: 2.93e-02 | test_loss: 2.14e-01 | reg: 1.41e+01 | :  46%|▍| 23/50 [00:03<00:03,  8.43it
| train_loss: 2.93e-02 | test_loss: 2.14e-01 | reg: 1.41e+01 | :  48%|▍| 24/50 [00:03<00:03,  8.50it
| train_loss: 2.74e-02 | test_loss: 2.15e-01 | reg: 1.37e+01 | :  48%|▍| 24/50 [00:03<00:03,  8.50it
| train_loss: 2.74e-02 | test_loss: 2.15e-01 | reg: 1.37e+01 | :  50%|▌| 25/50 [00:03<00:02,  8.44it
| train_loss: 2.58e-02 | test_loss: 2.18e-01 | reg: 1.33e+01 | :  50%|▌| 25/50 [00:03<00:02,  8.44it
| train_loss: 2.58e-02 | test_loss: 2.18e-01 | reg: 1.33e+01 | :  52%|▌| 26/50 [00:03<00:02,  8.51it
| train_loss: 2.53e-02 | test_loss: 2.19e-01 | reg: 1.28e+01 | :  52%|▌| 26/50 [00:03<00:02,  8.51it
| train_loss: 2.53e-02 | test_loss: 2.19e-01 | reg: 1.28e+01 | :  54%|▌| 27/50 [00:03<00:02,  8.56it
| train_loss: 2.51e-02 | test_loss: 2.18e-01 | reg: 1.24e+01 | :  54%|▌| 27/50 [00:04<00:02,  8.56it
| train_loss: 2.51e-02 | test_loss: 2.18e-01 | reg: 1.24e+01 | :  56%|▌| 28/50 [00:04<00:02,  8.60it
| train_loss: 2.49e-02 | test_loss: 2.15e-01 | reg: 1.20e+01 | :  56%|▌| 28/50 [00:04<00:02,  8.60it
| train_loss: 2.49e-02 | test_loss: 2.15e-01 | reg: 1.20e+01 | :  58%|▌| 29/50 [00:04<00:02,  8.61it
| train_loss: 2.56e-02 | test_loss: 2.12e-01 | reg: 1.15e+01 | :  58%|▌| 29/50 [00:04<00:02,  8.61it
| train_loss: 2.56e-02 | test_loss: 2.12e-01 | reg: 1.15e+01 | :  60%|▌| 30/50 [00:04<00:02,  8.62it
| train_loss: 2.60e-02 | test_loss: 2.10e-01 | reg: 1.11e+01 | :  60%|▌| 30/50 [00:04<00:02,  8.62it
| train_loss: 2.60e-02 | test_loss: 2.10e-01 | reg: 1.11e+01 | :  62%|▌| 31/50 [00:04<00:02,  8.64it
| train_loss: 2.59e-02 | test_loss: 2.09e-01 | reg: 1.09e+01 | :  62%|▌| 31/50 [00:04<00:02,  8.64it
| train_loss: 2.59e-02 | test_loss: 2.09e-01 | reg: 1.09e+01 | :  64%|▋| 32/50 [00:04<00:02,  8.54it
| train_loss: 2.61e-02 | test_loss: 2.07e-01 | reg: 1.05e+01 | :  64%|▋| 32/50 [00:04<00:02,  8.54it
| train_loss: 2.61e-02 | test_loss: 2.07e-01 | reg: 1.05e+01 | :  66%|▋| 33/50 [00:04<00:01,  8.58it
| train_loss: 2.52e-02 | test_loss: 2.07e-01 | reg: 1.03e+01 | :  66%|▋| 33/50 [00:04<00:01,  8.58it
| train_loss: 2.52e-02 | test_loss: 2.07e-01 | reg: 1.03e+01 | :  68%|▋| 34/50 [00:04<00:01,  8.60it
| train_loss: 2.50e-02 | test_loss: 2.07e-01 | reg: 1.01e+01 | :  68%|▋| 34/50 [00:04<00:01,  8.60it
| train_loss: 2.50e-02 | test_loss: 2.07e-01 | reg: 1.01e+01 | :  70%|▋| 35/50 [00:04<00:01,  8.63it
| train_loss: 2.55e-02 | test_loss: 2.06e-01 | reg: 9.92e+00 | :  70%|▋| 35/50 [00:04<00:01,  8.63it
| train_loss: 2.55e-02 | test_loss: 2.06e-01 | reg: 9.92e+00 | :  72%|▋| 36/50 [00:04<00:01,  8.64it
| train_loss: 2.57e-02 | test_loss: 2.05e-01 | reg: 9.77e+00 | :  72%|▋| 36/50 [00:05<00:01,  8.64it
| train_loss: 2.57e-02 | test_loss: 2.05e-01 | reg: 9.77e+00 | :  74%|▋| 37/50 [00:05<00:01,  8.65it
| train_loss: 2.59e-02 | test_loss: 2.04e-01 | reg: 9.61e+00 | :  74%|▋| 37/50 [00:05<00:01,  8.65it
| train_loss: 2.59e-02 | test_loss: 2.04e-01 | reg: 9.61e+00 | :  76%|▊| 38/50 [00:05<00:01,  8.65it
| train_loss: 2.59e-02 | test_loss: 2.06e-01 | reg: 9.46e+00 | :  76%|▊| 38/50 [00:05<00:01,  8.65it
| train_loss: 2.59e-02 | test_loss: 2.06e-01 | reg: 9.46e+00 | :  78%|▊| 39/50 [00:05<00:01,  8.66it
| train_loss: 2.60e-02 | test_loss: 2.07e-01 | reg: 9.33e+00 | :  78%|▊| 39/50 [00:05<00:01,  8.66it
| train_loss: 2.60e-02 | test_loss: 2.07e-01 | reg: 9.33e+00 | :  80%|▊| 40/50 [00:05<00:01,  8.67it
| train_loss: 2.61e-02 | test_loss: 2.08e-01 | reg: 9.21e+00 | :  80%|▊| 40/50 [00:05<00:01,  8.67it
| train_loss: 2.61e-02 | test_loss: 2.08e-01 | reg: 9.21e+00 | :  82%|▊| 41/50 [00:05<00:01,  8.68it
| train_loss: 2.62e-02 | test_loss: 2.09e-01 | reg: 9.15e+00 | :  82%|▊| 41/50 [00:05<00:01,  8.68it
| train_loss: 2.62e-02 | test_loss: 2.09e-01 | reg: 9.15e+00 | :  84%|▊| 42/50 [00:05<00:00,  8.68it
| train_loss: 2.63e-02 | test_loss: 2.09e-01 | reg: 9.04e+00 | :  84%|▊| 42/50 [00:05<00:00,  8.68it
| train_loss: 2.63e-02 | test_loss: 2.09e-01 | reg: 9.04e+00 | :  86%|▊| 43/50 [00:05<00:00,  8.67it
| train_loss: 2.65e-02 | test_loss: 2.10e-01 | reg: 8.94e+00 | :  86%|▊| 43/50 [00:05<00:00,  8.67it
| train_loss: 2.65e-02 | test_loss: 2.10e-01 | reg: 8.94e+00 | :  88%|▉| 44/50 [00:05<00:00,  8.67it
| train_loss: 2.64e-02 | test_loss: 2.10e-01 | reg: 8.86e+00 | :  88%|▉| 44/50 [00:05<00:00,  8.67it
| train_loss: 2.64e-02 | test_loss: 2.10e-01 | reg: 8.86e+00 | :  90%|▉| 45/50 [00:05<00:00,  8.46it
| train_loss: 2.63e-02 | test_loss: 2.10e-01 | reg: 8.82e+00 | :  90%|▉| 45/50 [00:06<00:00,  8.46it
| train_loss: 2.63e-02 | test_loss: 2.10e-01 | reg: 8.82e+00 | :  92%|▉| 46/50 [00:06<00:00,  8.52it
| train_loss: 2.63e-02 | test_loss: 2.10e-01 | reg: 8.77e+00 | :  92%|▉| 46/50 [00:06<00:00,  8.52it
| train_loss: 2.63e-02 | test_loss: 2.10e-01 | reg: 8.77e+00 | :  94%|▉| 47/50 [00:06<00:00,  8.57it
| train_loss: 2.66e-02 | test_loss: 2.11e-01 | reg: 8.69e+00 | :  94%|▉| 47/50 [00:06<00:00,  8.57it
| train_loss: 2.66e-02 | test_loss: 2.11e-01 | reg: 8.69e+00 | :  96%|▉| 48/50 [00:06<00:00,  8.59it
| train_loss: 2.69e-02 | test_loss: 2.12e-01 | reg: 8.61e+00 | :  96%|▉| 48/50 [00:06<00:00,  8.59it
| train_loss: 2.69e-02 | test_loss: 2.12e-01 | reg: 8.61e+00 | :  98%|▉| 49/50 [00:06<00:00,  8.62it
| train_loss: 2.68e-02 | test_loss: 2.13e-01 | reg: 8.55e+00 | :  98%|▉| 49/50 [00:06<00:00,  8.62it
| train_loss: 2.68e-02 | test_loss: 2.13e-01 | reg: 8.55e+00 | : 100%|█| 50/50 [00:06<00:00,  8.63it
| train_loss: 2.68e-02 | test_loss: 2.13e-01 | reg: 8.55e+00 | : 100%|█| 50/50 [00:06<00:00,  7.61it
saving model version 0.1
[RUN] function=core_interaction_c025 screen=raw seed=1
checkpoint directory created: ./model
saving model version 0.0

description:   0%|                                                           | 0/50 [00:00<?, ?it/s]
| train_loss: 1.75e-01 | test_loss: 4.65e-01 | reg: 5.80e+01 | :   0%|       | 0/50 [00:00<?, ?it/s]
| train_loss: 1.75e-01 | test_loss: 4.65e-01 | reg: 5.80e+01 | :   2%| | 1/50 [00:00<00:06,  7.12it/
| train_loss: 5.73e-02 | test_loss: 3.22e-01 | reg: 4.15e+01 | :   2%| | 1/50 [00:00<00:06,  7.12it/
| train_loss: 5.73e-02 | test_loss: 3.22e-01 | reg: 4.15e+01 | :   4%| | 2/50 [00:00<00:06,  7.17it/
| train_loss: 4.94e-02 | test_loss: 2.61e-01 | reg: 2.97e+01 | :   4%| | 2/50 [00:00<00:06,  7.17it/
| train_loss: 4.94e-02 | test_loss: 2.61e-01 | reg: 2.97e+01 | :   6%| | 3/50 [00:00<00:06,  7.42it/
| train_loss: 4.41e-02 | test_loss: 2.40e-01 | reg: 2.41e+01 | :   6%| | 3/50 [00:00<00:06,  7.42it/
| train_loss: 4.41e-02 | test_loss: 2.40e-01 | reg: 2.41e+01 | :   8%| | 4/50 [00:00<00:06,  7.58it/
| train_loss: 4.10e-02 | test_loss: 2.18e-01 | reg: 2.03e+01 | :   8%| | 4/50 [00:00<00:06,  7.58it/
| train_loss: 4.10e-02 | test_loss: 2.18e-01 | reg: 2.03e+01 | :  10%| | 5/50 [00:00<00:05,  7.64it/
| train_loss: 3.57e-02 | test_loss: 2.09e-01 | reg: 1.73e+01 | :  10%| | 5/50 [00:00<00:05,  7.64it/
| train_loss: 3.57e-02 | test_loss: 2.09e-01 | reg: 1.73e+01 | :  12%| | 6/50 [00:00<00:05,  7.69it/
| train_loss: 3.07e-02 | test_loss: 2.03e-01 | reg: 1.59e+01 | :  12%| | 6/50 [00:00<00:05,  7.69it/
| train_loss: 3.07e-02 | test_loss: 2.03e-01 | reg: 1.59e+01 | :  14%|▏| 7/50 [00:00<00:05,  7.79it/
| train_loss: 3.08e-02 | test_loss: 1.98e-01 | reg: 1.47e+01 | :  14%|▏| 7/50 [00:01<00:05,  7.79it/
| train_loss: 3.08e-02 | test_loss: 1.98e-01 | reg: 1.47e+01 | :  16%|▏| 8/50 [00:01<00:05,  7.71it/
| train_loss: 3.13e-02 | test_loss: 1.96e-01 | reg: 1.39e+01 | :  16%|▏| 8/50 [00:01<00:05,  7.71it/
| train_loss: 3.13e-02 | test_loss: 1.96e-01 | reg: 1.39e+01 | :  18%|▏| 9/50 [00:01<00:05,  7.69it/
| train_loss: 3.17e-02 | test_loss: 1.93e-01 | reg: 1.32e+01 | :  18%|▏| 9/50 [00:01<00:05,  7.69it/
| train_loss: 3.17e-02 | test_loss: 1.93e-01 | reg: 1.32e+01 | :  20%|▏| 10/50 [00:01<00:05,  7.84it
| train_loss: 3.23e-02 | test_loss: 1.93e-01 | reg: 1.26e+01 | :  20%|▏| 10/50 [00:01<00:05,  7.84it
| train_loss: 3.23e-02 | test_loss: 1.93e-01 | reg: 1.26e+01 | :  22%|▏| 11/50 [00:01<00:04,  7.98it
| train_loss: 3.13e-02 | test_loss: 1.92e-01 | reg: 1.22e+01 | :  22%|▏| 11/50 [00:01<00:04,  7.98it
| train_loss: 3.13e-02 | test_loss: 1.92e-01 | reg: 1.22e+01 | :  24%|▏| 12/50 [00:01<00:04,  8.09it
| train_loss: 2.93e-02 | test_loss: 1.91e-01 | reg: 1.19e+01 | :  24%|▏| 12/50 [00:01<00:04,  8.09it
| train_loss: 2.93e-02 | test_loss: 1.91e-01 | reg: 1.19e+01 | :  26%|▎| 13/50 [00:01<00:04,  8.11it
| train_loss: 2.90e-02 | test_loss: 1.90e-01 | reg: 1.17e+01 | :  26%|▎| 13/50 [00:01<00:04,  8.11it
| train_loss: 2.90e-02 | test_loss: 1.90e-01 | reg: 1.17e+01 | :  28%|▎| 14/50 [00:01<00:04,  8.10it
| train_loss: 2.80e-02 | test_loss: 1.89e-01 | reg: 1.15e+01 | :  28%|▎| 14/50 [00:01<00:04,  8.10it
| train_loss: 2.80e-02 | test_loss: 1.89e-01 | reg: 1.15e+01 | :  30%|▎| 15/50 [00:01<00:04,  8.15it
| train_loss: 2.74e-02 | test_loss: 1.88e-01 | reg: 1.14e+01 | :  30%|▎| 15/50 [00:02<00:04,  8.15it
| train_loss: 2.74e-02 | test_loss: 1.88e-01 | reg: 1.14e+01 | :  32%|▎| 16/50 [00:02<00:04,  7.60it
| train_loss: 2.69e-02 | test_loss: 1.88e-01 | reg: 1.13e+01 | :  32%|▎| 16/50 [00:02<00:04,  7.60it
| train_loss: 2.69e-02 | test_loss: 1.88e-01 | reg: 1.13e+01 | :  34%|▎| 17/50 [00:02<00:04,  7.82it
| train_loss: 2.69e-02 | test_loss: 1.87e-01 | reg: 1.12e+01 | :  34%|▎| 17/50 [00:02<00:04,  7.82it
| train_loss: 2.69e-02 | test_loss: 1.87e-01 | reg: 1.12e+01 | :  36%|▎| 18/50 [00:02<00:04,  7.96it
| train_loss: 2.68e-02 | test_loss: 1.87e-01 | reg: 1.11e+01 | :  36%|▎| 18/50 [00:02<00:04,  7.96it
| train_loss: 2.68e-02 | test_loss: 1.87e-01 | reg: 1.11e+01 | :  38%|▍| 19/50 [00:02<00:03,  7.80it
