function,interaction_strength,screen_mode,dimension,samples,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,num_runs,setting,top_m_run,model,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,true_interaction_best_rank_mean,true_interaction_best_rank_std,true_interaction_worst_rank_mean,true_interaction_worst_rank_std,true_interaction_rank_mean_mean,true_interaction_rank_mean_std
core_interaction_c025,0.25,raw,100,2048,0.0038197062618564,0.003306796089518,0.0108492436353116,0.0097291356576162,100.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.4,0.4,0.75,0.25,0.9395833333333334,0.0891028478294574,0.786032427324997,0.2092303323903553,0.4,0.5477225575051661,0.1143812974914908,0.152393031036641,0.2986516073346138,0.182094834959604,-0.1842703098431229,0.3172122441787014,0.4,5.0,raw,5,,,,,,,,,,,,,,,,
core_interaction_c025,0.25,ss_kan_variable,100,2048,0.000892325118184,0.0012705606394463,0.0009378609829582,0.0013366507650094,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5477225575051662,0.2806943356990814,0.0149812304601308,0.2950032971799373,0.2571988697757633,-0.0143089614808559,0.2462443808770121,0.6,5.0,ss_kan_variable:m=5,5,,,,,,,,,,,,,,,,
core_interaction_c025,0.25,ss_kan_pair,100,2048,0.0008905147202312,0.0012700982598211,0.00093476405018,0.0013402456290994,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.4,0.5477225575051661,0.2792385697364807,0.014631859006923,0.2906437687575817,0.2564110746423756,-0.0114051990211009,0.2458553766323995,0.4,5.0,ss_kan_pair:m=5,5,,,,,,,,,,,,,,,,
core_interaction_c025,0.25,ss_kan_variable,100,2048,0.0049423413351178,0.0065037609152349,0.0051282021508086,0.0067217258668956,6.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.5,0.4,0.9,0.1369306393762915,0.9984375,0.0023292374765622,0.9675,0.0496865172858794,0.4,0.5477225575051661,0.166195425344631,0.1503532688573716,0.284167805314064,0.2077196921561791,-0.1179723799694329,0.308539340301578,0.4,5.0,ss_kan_variable:m=6,6,,,,,,,,,,,,,,,,
core_interaction_c025,0.25,ss_kan_pair,100,2048,0.0049436966975918,0.0065055100597285,0.00513651589863,0.006728830529958,6.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.7,0.6,0.9,0.1369306393762915,0.9984375,0.0023292374765622,0.9675,0.0496865172858794,0.6,0.5477225575051662,0.1664855222683399,0.1506939096541635,0.2382893979549408,0.2261677417037119,-0.0718038756866008,0.3407153666504184,0.6,5.0,ss_kan_pair:m=6,6,,,,,,,,,,,,,,,,
core_interaction_c025,0.25,ss_kan_variable,100,2048,0.004491941089509,0.0058278201431225,0.00491065516253,0.0063953100395611,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.4,0.5477225575051661,0.1696393569931387,0.1528066818266946,0.2872726157307624,0.2034132273450966,-0.1176332587376236,0.3120194689303839,0.4,5.0,ss_kan_variable:m=8,8,,,,,,,,,,,,,,,,
core_interaction_c025,0.25,ss_kan_pair,100,2048,0.004490741007612,0.0058289333242055,0.0049091884458903,0.006396669524817,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.4,0.5477225575051661,0.1695494851097464,0.1527291278411541,0.2849680557847023,0.2047890321572412,-0.1154185706749558,0.3138148762923423,0.4,5.0,ss_kan_pair:m=8,8,,,,,,,,,,,,,,,,
core_interaction_c025,,oracle_support,100,2048,0.0002467207581503,0.0001261354339286,0.0002594058285467,0.0001299325219758,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5477225575051661,0.2787117838859558,0.0127688297183873,0.2837737608700991,0.2747820177947242,-0.0050619769841432,0.2636336703857194,0.6,,oracle,4,KAN_tuned_fixed,0.0,5.0,3.0,8.0,0.001,50.0,LBFGS,0.0,fd,1.4,0.5477225575051662,1.4,0.5477225575051662,1.4,0.5477225575051662
