function,dimension,noise,screen_method,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,setting_label
core_interaction,100,0.0,correlation,10,grad,0.0431575216352939,0.0044250307213295,1.105688174565633,0.0772540386743981,0.0,0.3333333333333333,0.0,0.25,0.0,0.6310763888888888,0.0714170254856958,0.2975,0.0303108891324553,0.0,0.0,core_d100
core_interaction,100,0.0,correlation,10,perm,0.0431575216352939,0.0044250307213295,1.105688174565633,0.0772540386743981,0.0,0.3333333333333333,0.0,0.25,0.0,0.6310763888888888,0.0714170254856958,0.2975,0.0303108891324553,0.0,0.0,core_d100
core_interaction,100,0.0,correlation,20,grad,0.0019052852876484,0.0006084545270999,2.0842230717341104,0.9661044429241912,0.0,0.4166666666666667,0.0,0.3333333333333333,0.1443375672974064,0.6453993055555555,0.0826010851761652,0.3733333333333333,0.1285820101465727,0.0,0.0,core_d100
core_interaction,100,0.0,correlation,20,perm,0.0019052852876484,0.0006084545270999,2.0842230717341104,0.9661044429241912,0.0,0.4166666666666667,0.0,0.3333333333333333,0.1443375672974064,0.6410590277777778,0.0799942749235467,0.3677777777777778,0.1323435484442472,0.0,0.0,core_d100
core_interaction,100,0.0,correlation,30,grad,1.2926630309569496e-05,7.996506977056272e-06,0.9696413278579712,0.1574009553219886,0.0,0.75,0.0,0.5833333333333334,0.1443375672974064,0.8250868055555557,0.0108420104138861,0.6183333333333333,0.0688446318410763,0.0,0.0,core_d100
core_interaction,100,0.0,correlation,30,perm,1.2926630309569496e-05,7.996506977056272e-06,0.9696413278579712,0.1574009553219886,0.0,0.75,0.0,0.5833333333333334,0.1443375672974064,0.8198784722222223,0.0182910655431471,0.6113888888888889,0.0764141372415495,0.0,0.0,core_d100
core_interaction,100,0.0,mutual_info,10,grad,0.0078353009714646,0.0135640958282322,0.2160393093207252,0.3741731756594162,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.2886751345948128,0.9526909722222224,0.0819416397677984,0.8783333333333333,0.2107328482542134,0.6666666666666666,0.5773502691896258,core_d100
core_interaction,100,0.0,mutual_info,10,perm,0.0078353009714646,0.0135640958282322,0.2160393093207252,0.3741731756594162,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.1443375672974064,0.955295138888889,0.0774310907897544,0.92,0.1385640646055101,0.6666666666666666,0.5773502691896258,core_d100
core_interaction,100,0.0,mutual_info,20,grad,0.0003340641202764,0.0005360756230896,0.3159713756297909,0.5471846818191188,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.2886751345948128,0.94921875,0.087955705071857,0.8866666666666667,0.1962990915244727,0.6666666666666666,0.5773502691896258,core_d100
core_interaction,100,0.0,mutual_info,20,perm,0.0003340641202764,0.0005360756230896,0.3159713756297909,0.5471846818191188,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.2886751345948128,0.94921875,0.087955705071857,0.8866666666666667,0.1962990915244727,0.6666666666666666,0.5773502691896258,core_d100
core_interaction,100,0.0,mutual_info,30,grad,1.610502264763151e-05,7.155378375412779e-06,8.969128490813698e-05,5.924069989358503e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_d100
core_interaction,100,0.0,mutual_info,30,perm,1.610502264763151e-05,7.155378375412779e-06,8.969128490813698e-05,5.924069989358503e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_d100
core_interaction,100,0.0,rf,10,grad,1.3931267252094887e-05,1.060524351407195e-05,3.190354952190925e-05,2.243934805592389e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_d100
core_interaction,100,0.0,rf,10,perm,1.3931267252094887e-05,1.060524351407195e-05,3.190354952190925e-05,2.243934805592389e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_d100
