wave,method,function,samples,dimension,top_m,screen_model_test_mse_mean,screen_model_test_mse_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,true_interaction_beats_all_false_std,num_runs,source_file
one_shot,single_edge_var,core_interaction_c025,1024,100,4,0.0050163802865426,0.0102610796503535,0.002537920512259,0.005230268657602,0.0027741363301174,0.0056983188399218,0.8,0.4472135954999579,0.9,0.2236067977499789,0.8,0.4472135954999579,0.8,0.4472135954999579,0.9,0.2236067977499789,0.9489583333333332,0.1141326363515518,0.904,0.2146625258399798,0.4,0.5477225575051661,41.0,88.32610033280083,-0.101601243019104,0.1883902195545128,0.4,0.5477225575051661,5,c025_n1024_d100_top4_summary.csv
one_shot,single_feature_edge_hybrid,core_interaction_c025,1024,100,4,0.0050163802865426,0.0102610796503535,0.0025346244801767,0.0052342680111741,0.0027715445321518,0.0057073072067972,0.8,0.4472135954999579,0.9,0.2236067977499789,0.8,0.4472135954999579,0.8,0.4472135954999579,0.9,0.2236067977499789,0.9489583333333332,0.1141326363515518,0.904,0.2146625258399798,0.4,0.5477225575051661,41.0,88.32610033280083,-0.1237493574619293,0.2076846785323515,0.4,0.5477225575051661,5,c025_n1024_d100_top4_summary.csv
one_shot,single_feature_var,core_interaction_c025,1024,100,4,0.0050163802865426,0.0102610796503535,0.0025445582577958,0.0052322885408787,0.0028532830183394,0.0058623192162634,0.8,0.4472135954999579,0.9,0.2236067977499789,0.8,0.4472135954999579,0.8,0.4472135954999579,0.9,0.2236067977499789,0.9489583333333332,0.1141326363515518,0.904,0.2146625258399798,0.4,0.5477225575051661,41.0,88.32610033280083,-0.2546844959259033,0.4616768733785531,0.4,0.5477225575051661,5,c025_n1024_d100_top4_summary.csv
one_shot,single_grad_var,core_interaction_c025,1024,100,4,0.0050163802865426,0.0102610796503535,0.0025196283968398,0.0052502083268949,0.0027275508415186,0.0056629765012574,0.8,0.4472135954999579,0.9,0.2236067977499789,0.8,0.4472135954999579,0.8,0.4472135954999579,0.9,0.2236067977499789,0.9489583333333332,0.1141326363515518,0.904,0.2146625258399798,0.6,0.5477225575051661,40.8,88.43754858655909,-0.1701753087341785,0.4940562243864659,0.6,0.5477225575051661,5,c025_n1024_d100_top4_summary.csv
one_shot,single_edge_var,core_interaction_c025,512,100,4,0.0367055967450141,0.0194783887085427,0.0097325159236788,0.000837564250196,0.013573739118874,0.0010327786967907,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,199.0,0.0,-0.8429087042808533,0.3297498387304923,0.0,0.0,5,c025_n512_d100_top4_summary.csv
one_shot,single_feature_edge_hybrid,core_interaction_c025,512,100,4,0.0367055967450141,0.0194783887085427,0.0098491299897432,0.0008516457664326,0.013442026078701,0.0009044232423872,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,199.0,0.0,-1.101570624113083,0.5300799115955604,0.0,0.0,5,c025_n512_d100_top4_summary.csv
one_shot,single_feature_var,core_interaction_c025,512,100,4,0.0367055967450141,0.0194783887085427,0.009885955043137,0.000805286151404,0.0133570868521928,0.0006544597346596,0.0,0.0,0.6,0.1369306393762915,0.0,0.0,0.2,0.2738612787525831,0.6,0.1369306393762915,0.7953125,0.069178500101564,0.591,0.0972207539571669,0.0,0.0,199.0,0.0,-0.8570776402950286,0.3578506918624111,0.0,0.0,5,c025_n512_d100_top4_summary.csv
one_shot,single_grad_var,core_interaction_c025,512,100,4,0.0367055967450141,0.0194783887085427,0.0097978495061397,0.0006451930916415,0.0134898163378238,0.0008735989021741,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,199.0,0.0,-0.6390027582645417,0.2550608292445133,0.0,0.0,5,c025_n512_d100_top4_summary.csv
one_shot,single_edge_var,core_interaction_c05,512,100,5,0.1215070992708206,0.0224499713740951,0.0139408140763407,0.0092185005613236,0.0755602732329862,0.0472890181417281,0.2,0.4472135954999579,0.65,0.2236067977499789,0.2,0.4472135954999579,0.3,0.4472135954999579,0.65,0.2236067977499789,0.8192708333333332,0.1151530580554154,0.6515000000000001,0.2094307761528853,0.2,0.4472135954999579,161.0,89.44271909999159,-5.671374523639679,3.464468654586353,0.2,0.4472135954999579,5,c05_n512_d100_top5_summary.csv
one_shot,single_feature_edge_hybrid,core_interaction_c05,512,100,5,0.1215070992708206,0.0224499713740951,0.0134710389684187,0.0122341950645745,0.0450324224657379,0.0409588924471969,0.4,0.5477225575051662,0.7,0.2738612787525831,0.4,0.5477225575051662,0.4,0.5477225575051662,0.7,0.2738612787525831,0.8453125,0.1412097218568006,0.712,0.2629068276024797,0.4,0.5477225575051662,121.0,109.54451150103324,-4.030563638359308,4.956074544840295,0.4,0.5477225575051662,5,c05_n512_d100_top5_summary.csv
