model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19,selected_interactions,true_interactions,interaction_precision,interaction_recall,interaction_f1
KAN,grad,0,compositional,1024,20,0.0,0.0006387237808667123,0.0001354826963506639,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0982918739318848,1.069553017616272,2.0389528274536133,0.008698887191712856,0.013940427452325821,0.013415474444627762,0.008408194407820702,0.022637249901890755,0.019318824633955956,0.017258893698453903,0.01736152544617653,0.03245309740304947,0.02240038849413395,0.012901176698505878,0.014782232232391834,0.009020710363984108,0.020549412816762924,0.01378652360290289,0.025491975247859955,0.014085212722420692,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
KAN,perm,0,compositional,1024,20,0.0,0.0006387237808667123,0.0001354826963506639,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1188288927078247,1.0994274616241455,0.9333812594413757,2.9184545837779297e-06,4.680167421611259e-06,1.2790163054887671e-05,1.1280295439064503e-05,1.8948689103126526e-05,0.0,0.0,1.1468655429780483e-05,4.048459231853485e-06,9.8653645181912e-06,0.0,3.9425599425158e-06,4.715305749414256e-06,8.508427526976448e-06,0.0,0.0,1.7732536434778012e-05,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
MLP,grad,0,compositional,1024,20,0.0,0.006225446704775095,0.0004941447987221181,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1046736240386963,1.0880801677703857,2.156780242919922,0.02192569524049759,0.02232445776462555,0.020610937848687172,0.022839922457933426,0.024805650115013123,0.01710592210292816,0.020446544513106346,0.020843055099248886,0.023039698600769043,0.021237950772047043,0.021666867658495903,0.020668093115091324,0.024086395278573036,0.021559111773967743,0.027615919709205627,0.02021769806742668,0.02882135845720768,,,,,
MLP,perm,0,compositional,1024,20,0.0,0.006225446704775095,0.0004941447987221181,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1179542541503906,1.0973960161209106,0.9287846684455872,0.0001230689958902076,0.00024250599381048232,0.0,0.0,0.0,0.0,0.0,3.085487333009951e-05,0.00017447552818339318,0.0,3.239372745156288e-05,4.689209163188934e-06,9.708650031825528e-05,0.0,0.0001283516176044941,0.0,6.717738142469898e-05,,,,,
KAN,grad,1,compositional,1024,20,0.0,0.001629299484193325,0.00015637748583685607,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1037722826004028,1.0137789249420166,2.0553507804870605,0.027552369982004166,0.03492629528045654,0.026766806840896606,0.016971465200185776,0.023115264251828194,0.017141345888376236,0.026293324306607246,0.017621539533138275,0.024203620851039886,0.028028525412082672,0.025111351162195206,0.025220565497875214,0.028823550790548325,0.02322620153427124,0.0202459879219532,0.022672204300761223,0.023834731429815292,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
KAN,perm,1,compositional,1024,20,0.0,0.001629299484193325,0.00015637748583685607,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),0.9837097525596619,0.9530253410339355,0.8548452258110046,0.0,1.854534821177367e-05,0.0,0.0,4.9381828830519225e-06,0.0,0.0,1.1166906915605068e-05,0.0,0.0,9.674113243818283e-07,3.0591112590627745e-05,0.0,2.3963822968653403e-05,0.0,2.5741057470440865e-05,0.0,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
MLP,grad,1,compositional,1024,20,0.0,0.006881069391965866,0.0005534086376428604,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1072369813919067,1.0279271602630615,2.094691276550293,0.025525391101837158,0.01909114420413971,0.030409105122089386,0.02577054873108864,0.027215588837862015,0.02904047630727291,0.028424236923456192,0.024971384555101395,0.023562012240290642,0.022856686264276505,0.026448287069797516,0.026283148676156998,0.024708401411771774,0.025935018435120583,0.021850118413567543,0.024838192388415337,0.019967203959822655,,,,,
MLP,perm,1,compositional,1024,20,0.0,0.006881069391965866,0.0005534086376428604,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),0.9882856011390686,0.9491682052612305,0.8464214205741882,0.00023054610937833786,6.352070340653881e-05,0.0,0.0001231295318575576,6.942063191672787e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00020544401195365936,5.2044324547750875e-05,7.741447916487232e-05,1.5575438737869263e-05,0.0003243330866098404,0.0,,,,,
KAN,grad,2,compositional,1024,20,0.0,0.0012398482067510486,0.00010791442764457315,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0808773040771484,0.9796993732452393,1.9657244682312012,0.024649575352668762,0.02076873369514942,0.03393072634935379,0.028012491762638092,0.02317846193909645,0.030242880806326866,0.025215765461325645,0.016806524246931076,0.022056154906749725,0.03442666679620743,0.013055970892310143,0.01998595893383026,0.018942764028906822,0.022223176434636116,0.023990878835320473,0.030999798327684402,0.028153732419013977,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
KAN,perm,2,compositional,1024,20,0.0,0.0012398482067510486,0.00010791442764457315,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0836563110351562,1.0051298141479492,0.8402208685874939,2.4815206415951252e-05,0.0,1.271914970857324e-05,0.0,0.0,5.120566584082553e-06,4.7225505113601685e-05,6.658025085926056e-06,1.218783017975511e-05,1.8989861928275786e-05,1.3176778338674922e-05,0.0,1.6286076061078347e-05,1.8293774701305665e-05,0.0,0.0,8.01725127530517e-06,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
MLP,grad,2,compositional,1024,20,0.0,0.0049318973906338215,0.00049892149399966,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.074051022529602,1.0052214860916138,2.039231538772583,0.019352158531546593,0.022838013246655464,0.02387840300798416,0.022531623020768166,0.02649381384253502,0.018175482749938965,0.017977213487029076,0.02084379270672798,0.023331744596362114,0.02078084833920002,0.022561123594641685,0.02115381695330143,0.026098795235157013,0.01688547432422638,0.024314720183610916,0.019785363227128983,0.02133638598024845,,,,,
MLP,perm,2,compositional,1024,20,0.0,0.0049318973906338215,0.00049892149399966,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0729628801345825,0.9965710639953613,0.8419987559318542,0.0001893867738544941,0.0,0.0,0.0,0.0,5.958462134003639e-05,5.840230733156204e-05,3.6014243960380554e-06,0.0,0.0,0.0,0.0,0.00012371984485071152,8.820587390800938e-05,0.0002793929015751928,7.628090679645538e-05,0.00011484557762742043,,,,,
KAN,grad,3,compositional,1024,20,0.0,0.0012165755033493042,9.253785538021475e-05,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0498026609420776,1.0488758087158203,2.1343233585357666,0.016874395310878754,0.021396279335021973,0.0217339638620615,0.022381577640771866,0.02063763700425625,0.024875037372112274,0.016650140285491943,0.02227257564663887,0.016193091869354248,0.017969707027077675,0.02918781340122223,0.018024127930402756,0.03933041915297508,0.01941944658756256,0.01933552324771881,0.01753225177526474,0.02564198151230812,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
KAN,perm,3,compositional,1024,20,0.0,0.0012165755033493042,9.253785538021475e-05,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1420263051986694,1.1565800905227661,0.9278524518013,1.4167007066134829e-05,3.2631680369377136e-05,0.0,2.0450524971238337e-05,5.933863576501608e-05,3.480763916741125e-05,1.7004049368551932e-05,0.0,0.0,2.666609361767769e-05,0.0,2.4623780063848244e-06,0.0,6.866020612505963e-06,2.247393967991229e-05,9.707252502266783e-06,0.0,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
MLP,grad,3,compositional,1024,20,0.0,0.007163453381508589,0.0004487643309403211,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0838172435760498,1.076058268547058,2.2409493923187256,0.021062906831502914,0.02135889232158661,0.020626487210392952,0.016292624175548553,0.01785319484770298,0.021114643663167953,0.022022318094968796,0.019255800172686577,0.020037800073623657,0.0192552637308836,0.025883780792355537,0.023733681067824364,0.02538726106286049,0.02185859903693199,0.021658338606357574,0.024339372292160988,0.018855996429920197,,,,,
MLP,perm,3,compositional,1024,20,0.0,0.007163453381508589,0.0004487643309403211,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1457281112670898,1.1537113189697266,0.931629478931427,0.00011919780081370845,0.0,0.0,0.0001014022491290234,0.0,0.0,0.0,3.417767584323883e-05,0.0,0.0,0.0,0.0,0.0,2.0432440578588285e-05,5.578932541538961e-05,0.0,0.0,,,,,
KAN,grad,4,compositional,1024,20,0.0,0.0005224966444075108,6.301044777501374e-05,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1230905055999756,1.033085823059082,2.124389171600342,0.01675429381430149,0.021770302206277847,0.014153784140944481,0.01251237839460373,0.014655208215117455,0.016664564609527588,0.023387329652905464,0.012447210028767586,0.017758343368768692,0.011047102510929108,0.010393369942903519,0.013045686297118664,0.015364686027169228,0.015027495101094246,0.015348309651017189,0.014725632034242153,0.02014794573187828,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
KAN,perm,4,compositional,1024,20,0.0,0.0005224966444075108,6.301044777501374e-05,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1346298456192017,1.1449241638183594,0.9255406856536865,0.0,1.636109664104879e-05,0.0,0.0,2.0159417545073666e-05,0.0,7.15750502422452e-07,7.298949640244246e-07,0.0,9.188962394546252e-06,0.0,4.606020866049221e-06,1.0209031643171329e-05,2.713903086259961e-06,0.0,0.0,4.1645157580205705e-06,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0
MLP,grad,4,compositional,1024,20,0.0,0.006577085703611374,0.00046193835441954434,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1351922750473022,1.0518677234649658,2.1943843364715576,0.02834353782236576,0.025867357850074768,0.02221558429300785,0.023097896948456764,0.024543536826968193,0.023518666625022888,0.02363886684179306,0.023715727031230927,0.02355663850903511,0.023541588336229324,0.02211783640086651,0.025026744231581688,0.026461491361260414,0.028209038078784943,0.022979432716965675,0.027072619646787643,0.020554253831505775,,,,,
MLP,perm,4,compositional,1024,20,0.0,0.006577085703611374,0.00046193835441954434,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1253294944763184,1.1425315141677856,0.9257030487060547,0.0,0.0,0.0,0.0,0.0,3.0392935514100827e-05,0.0,0.0,0.0,1.3056832358415704e-05,0.0,0.00010908162221312523,0.0,0.0,0.0,0.0,0.0,,,,,
