model,explain_method,seed,function,samples,dimension,noise,variable,score,is_active
KAN,grad,0,correlated_proxy,512,100,0.05,83,0.5409402847290039,0
KAN,grad,0,correlated_proxy,512,100,0.05,84,0.479289174079895,0
KAN,grad,0,correlated_proxy,512,100,0.05,85,0.3211682438850403,0
KAN,grad,0,correlated_proxy,512,100,0.05,86,0.3790814280509949,0
KAN,grad,0,correlated_proxy,512,100,0.05,87,0.48410674929618835,0
KAN,grad,0,correlated_proxy,512,100,0.05,88,0.40234845876693726,0
KAN,grad,0,correlated_proxy,512,100,0.05,89,0.32256823778152466,0
KAN,grad,0,correlated_proxy,512,100,0.05,90,0.2282683402299881,0
KAN,grad,0,correlated_proxy,512,100,0.05,91,0.3690672814846039,0
KAN,grad,0,correlated_proxy,512,100,0.05,92,0.20244506001472473,0
KAN,grad,0,correlated_proxy,512,100,0.05,93,0.3885955214500427,0
KAN,grad,0,correlated_proxy,512,100,0.05,94,0.14031490683555603,0
KAN,grad,0,correlated_proxy,512,100,0.05,95,0.3249642252922058,0
KAN,grad,0,correlated_proxy,512,100,0.05,96,0.60788494348526,0
KAN,grad,0,correlated_proxy,512,100,0.05,97,0.5270439386367798,0
KAN,grad,0,correlated_proxy,512,100,0.05,98,0.25500744581222534,0
KAN,grad,0,correlated_proxy,512,100,0.05,99,0.39392274618148804,0
KAN,perm,0,correlated_proxy,512,100,0.05,0,0.06804895401000977,1
KAN,perm,0,correlated_proxy,512,100,0.05,1,0.0,1
KAN,perm,0,correlated_proxy,512,100,0.05,2,0.0,1
KAN,perm,0,correlated_proxy,512,100,0.05,3,0.017751535400748253,1
KAN,perm,0,correlated_proxy,512,100,0.05,4,0.06688594818115234,0
KAN,perm,0,correlated_proxy,512,100,0.05,5,0.004626035690307617,0
KAN,perm,0,correlated_proxy,512,100,0.05,6,0.010272026062011719,0
KAN,perm,0,correlated_proxy,512,100,0.05,7,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,8,0.0033544700127094984,0
KAN,perm,0,correlated_proxy,512,100,0.05,9,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,10,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,11,0.003315528156235814,0
KAN,perm,0,correlated_proxy,512,100,0.05,12,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,13,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,14,0.007794538978487253,0
KAN,perm,0,correlated_proxy,512,100,0.05,15,0.037419240921735764,0
KAN,perm,0,correlated_proxy,512,100,0.05,16,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,17,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,18,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,19,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,20,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,21,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,22,0.016956090927124023,0
KAN,perm,0,correlated_proxy,512,100,0.05,23,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,24,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,25,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,26,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,27,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,28,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,29,0.0038733482360839844,0
KAN,perm,0,correlated_proxy,512,100,0.05,30,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,31,0.0,0
KAN,perm,0,correlated_proxy,512,100,0.05,32,0.04523420333862305,0
KAN,perm,0,correlated_proxy,512,100,0.05,33,0.0551704578101635,0
