model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19
KAN,grad,0,core_interaction,256,20,0.0,1.108494758605957,9.900755770786418e-10,"[0, 1, 5, 18]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,3.624879121780396,1.1129519939422607,0.7062361240386963,0.777114748954773,0.5516319274902344,1.142913579940796,0.4056895971298218,0.6063908338546753,0.6227474808692932,0.6143630146980286,0.7648475170135498,0.7264971137046814,0.558722972869873,0.4828908145427704,0.5003312826156616,0.9255341291427612,0.6030465364456177,0.6922929883003235,1.0516235828399658,0.8419253826141357
KAN,perm,0,core_interaction,256,20,0.0,1.108494758605957,9.900755770786418e-10,"[0, 1, 2, 11]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,1.1263176202774048,0.162760928273201,0.0433766841888427,0.0083973007276654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03428316116333,0.0,0.0057843127287924,0.0063707032240927,0.0041833720169961,0.0,0.0271367635577917,0.0,0.0
MLP,grad,0,core_interaction,256,20,0.0,3.417968511581421,8.916204023989849e-06,"[1, 3, 7, 10]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,0.8401100635528564,1.2566200494766235,0.8815845847129822,0.91068834066391,0.7109137773513794,0.6538518071174622,0.601798415184021,1.00016987323761,0.8736847639083862,0.8506083488464355,1.006316304206848,0.6170973777770996,0.7491713166236877,0.6007547378540039,0.7796428799629211,0.7693418264389038,0.5726146697998047,0.709296703338623,0.6757054328918457,0.8627997636795044
MLP,perm,0,core_interaction,256,20,0.0,3.417968511581421,8.916204023989849e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.2623287737369537,0.1683684140443802,0.3063600063323974,0.4347854554653168,0.1095724105834961,0.0215087737888097,0.0228919181972742,0.0,0.0335168838500976,0.0,0.0738877430558204,0.050994873046875,0.0880040302872657,0.0280563831329345,0.0,0.0113413333892822,0.056238729506731,0.0,0.051586627960205,0.0158576965332031
KAN,grad,1,core_interaction,256,20,0.0,0.9577378034591676,3.846230625659253e-12,"[0, 1, 3, 13]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,2.820441246032715,1.0759572982788086,0.6763067245483398,0.776617169380188,0.480278730392456,0.6055145263671875,0.676175057888031,0.5803120136260986,0.5391812920570374,0.3341898322105407,0.7608173489570618,0.6809457540512085,0.5686995983123779,0.8655301332473755,0.7473305463790894,0.7080183029174805,0.45762500166893,0.5392182469367981,0.4324536919593811,0.5070518255233765
KAN,perm,1,core_interaction,256,20,0.0,0.9577378034591676,3.846230625659253e-12,"[0, 1, 3, 6]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,0.9115269780158995,0.1161674037575721,0.0,0.0318503193557262,0.0121609373018145,0.0,0.0516312904655933,0.0220791492611169,0.0,0.0,0.0,0.0212489757686853,0.007348199840635,0.0182253718376159,0.0217553582042455,0.0260252151638269,0.0,0.0,0.0,0.0080045461654663
MLP,grad,1,core_interaction,256,20,0.0,3.4092397689819336,3.5774392017629e-06,"[1, 2, 10, 15]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,0.8498759865760803,0.9771456718444824,0.8613265156745911,0.7055069208145142,0.6443752646446228,0.6988796591758728,0.824073076248169,0.8127811551094055,0.5943700075149536,0.6503995656967163,0.93281352519989,0.4695342183113098,0.6618497967720032,0.8005297183990479,0.5336216688156128,0.9121772050857544,0.827323317527771,0.80766761302948,0.7642998695373535,0.8301147818565369
MLP,perm,1,core_interaction,256,20,0.0,3.4092397689819336,3.5774392017629e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.3345228731632232,0.2062505930662155,0.190533235669136,0.1474194526672363,0.0,0.0,0.0486652851104736,0.0,0.0,0.0,0.0509634017944335,0.0840307846665382,0.0177314281463623,0.0489577464759349,0.0079909963533282,0.0,0.0,0.0,0.0639408454298973,0.0
KAN,grad,2,core_interaction,256,20,0.0,0.9124374389648438,1.9020477901032784e-11,"[0, 1, 10, 18]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,3.894824504852295,1.2337102890014648,0.8213231563568115,0.8798920512199402,0.6784007549285889,0.5433787107467651,0.6263936758041382,0.8498635292053223,0.710681676864624,0.8196853399276733,0.9598815441131592,0.6891125440597534,0.7360875606536865,0.4551417231559753,0.7917512655258179,0.3996153473854065,0.9416678547859192,0.7333918213844299,0.9965842962265016,0.7320868372917175
KAN,perm,2,core_interaction,256,20,0.0,0.9124374389648438,1.9020477901032784e-11,"[0, 1, 10, 16]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,1.22944438457489,0.1399325579404831,0.0287028159946203,0.0561672039330005,0.0,0.0087228016927838,0.0,0.0691334828734397,0.0,0.0414770431816577,0.0736144185066223,0.0,0.033690970391035,0.0,0.0031501650810241,0.0,0.1127897128462791,0.0,0.0,0.0
