model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19,score_x20,score_x21,score_x22,score_x23,score_x24,score_x25,score_x26,score_x27,score_x28,score_x29,score_x30,score_x31,score_x32,score_x33,score_x34,score_x35,score_x36,score_x37,score_x38,score_x39,score_x40,score_x41,score_x42,score_x43,score_x44,score_x45,score_x46,score_x47,score_x48,score_x49,score_x50,score_x51,score_x52,score_x53,score_x54,score_x55,score_x56,score_x57,score_x58,score_x59,score_x60,score_x61,score_x62,score_x63,score_x64,score_x65,score_x66,score_x67,score_x68,score_x69,score_x70,score_x71,score_x72,score_x73,score_x74,score_x75,score_x76,score_x77,score_x78,score_x79,score_x80,score_x81,score_x82,score_x83,score_x84,score_x85,score_x86,score_x87,score_x88,score_x89,score_x90,score_x91,score_x92,score_x93,score_x94,score_x95,score_x96,score_x97,score_x98,score_x99
KAN,grad,0,core_interaction,1024,100,0.0,2.56419038772583,5.310657691381948e-09,"[0, 1, 91, 97]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,2.1402764320373535,0.9494112730026245,0.5445825457572937,0.395940363407135,0.5644904971122742,0.5543378591537476,0.7494858503341675,0.729516863822937,0.37017935514450073,0.5213977098464966,0.5941487550735474,0.6657651662826538,0.3184056282043457,0.4014081656932831,0.4895031452178955,0.5514282584190369,0.6035785675048828,0.8064227104187012,0.5602000951766968,0.6563408970832825,0.3512410819530487,0.4289000928401947,0.7845538258552551,0.7552124261856079,0.7577739357948303,0.6093345284461975,0.5475707054138184,0.3157117962837219,0.6858512163162231,0.7901695966720581,0.6766538619995117,0.565180778503418,0.7112021446228027,0.32978782057762146,0.6381576061248779,0.6600257158279419,0.5657947659492493,0.41408807039260864,0.3906204104423523,0.42256176471710205,0.6702208518981934,0.5514441728591919,0.6411073207855225,0.6807341575622559,0.6954909563064575,0.43783000111579895,0.5940533876419067,0.4563066363334656,0.3573799133300781,0.768618643283844,0.4877411723136902,0.5695360898971558,0.6783357858657837,0.38940316438674927,0.6102180480957031,0.45257866382598877,0.5551939010620117,0.5253614783287048,0.6070606708526611,0.6032730340957642,0.680632472038269,0.7018755674362183,0.5070873498916626,0.6862426996231079,0.7592841386795044,0.45402806997299194,0.6881154775619507,0.5063058733940125,0.4733961224555969,0.4176487624645233,0.6365246772766113,0.5194823741912842,0.629335880279541,0.5335120558738708,0.4395366311073303,0.4762527346611023,0.434940367937088,0.8199459314346313,0.5053459405899048,0.7200902700424194,0.6876305341720581,0.5127230882644653,0.5182297229766846,0.540742039680481,0.32489651441574097,0.6509077548980713,0.71402907371521,0.6414452791213989,0.8054078817367554,0.3479486107826233,0.5376108884811401,0.9639610052108765,0.6242873668670654,0.5902559161186218,0.40701401233673096,0.35700902342796326,0.666079044342041,0.9490997791290283,0.8050569891929626,0.6427769660949707
KAN,perm,0,core_interaction,1024,100,0.0,2.56419038772583,5.310657691381948e-09,"[0, 71, 79, 85]","[0, 1, 2, 3]",0.25,0.25,0.25,sin(2*pi*x0) + x1^2 + x2*x3,0.37538862228393555,0.07666858285665512,0.05307928845286369,0.0,0.0,0.05332779884338379,0.0025238196831196547,0.021432003006339073,0.004777113441377878,0.0,0.010617256164550781,0.0,0.021868785843253136,0.0,0.0,0.07937439531087875,0.018979310989379883,0.0,0.058034975081682205,0.061566274613142014,0.0845387801527977,0.0,0.0,0.0783843994140625,0.0,0.0,0.02405325509607792,0.05350804328918457,0.017544904723763466,0.0,0.06498408317565918,0.06270424276590347,0.11865600198507309,0.0,0.007639328483492136,0.039459388703107834,0.09716518968343735,0.0,0.024766286835074425,0.02349344827234745,0.013556082732975483,0.0,0.07144967466592789,0.1161867007613182,0.04469688609242439,0.03499118611216545,0.05037689208984375,0.02529986761510372,0.0,0.0005834102630615234,0.04108492657542229,0.038868505507707596,0.049031812697649,0.06374907493591309,0.0,0.0,0.0,0.02729233168065548,0.042993783950805664,0.08722249418497086,0.0,0.026593288406729698,0.023116907104849815,0.04192320629954338,0.0,0.08416406065225601,0.0357009582221508,0.015558402054011822,0.0,0.042920589447021484,0.04818439483642578,0.13519184291362762,0.0,0.0,0.020328044891357422,0.02661752700805664,0.0,0.06878455728292465,0.0,0.14360801875591278,0.03010161779820919,0.0,0.00612632418051362,0.0,0.0,0.11970726400613785,0.0645449161529541,0.0,0.0,0.053083259612321854,0.0057881674729287624,0.06451702117919922,0.025904417037963867,0.0,0.021251758560538292,0.0007197856903076172,0.06487417221069336,0.08291681855916977,0.04724820330739021,0.05915315821766853
KAN,grad,1,core_interaction,1024,100,0.0,0.867470383644104,5.912875744584767e-10,"[0, 1, 5, 92]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,3.8211894035339355,1.194615364074707,0.35762226581573486,0.297527015209198,0.19182883203029633,0.5997081398963928,0.21454308927059174,0.20983275771141052,0.16507232189178467,0.32533591985702515,0.3243621587753296,0.2647019028663635,0.3048577308654785,0.23002612590789795,0.1901337206363678,0.2786175310611725,0.32791250944137573,0.2608778774738312,0.43306994438171387,0.19519519805908203,0.44279414415359497,0.2708168625831604,0.4566197991371155,0.22681736946105957,0.3476349711418152,0.2808239758014679,0.4354388117790222,0.30883634090423584,0.46084681153297424,0.31709152460098267,0.3082612454891205,0.2834252119064331,0.4596906900405884,0.19162756204605103,0.2803444266319275,0.30893152952194214,0.22997532784938812,0.25326007604599,0.3669978082180023,0.3553370237350464,0.32801759243011475,0.2704886198043823,0.3329049348831177,0.2904928922653198,0.36257022619247437,0.45357745885849,0.19830548763275146,0.35427525639533997,0.40424269437789917,0.27978581190109253,0.2699449360370636,0.18426944315433502,0.2699280083179474,0.3981478810310364,0.23887379467487335,0.19487950205802917,0.36030250787734985,0.31448692083358765,0.3389604687690735,0.37747693061828613,0.19991575181484222,0.3567624092102051,0.44995060563087463,0.43291646242141724,0.3074114918708801,0.42889127135276794,0.18434837460517883,0.46976903080940247,0.1482110619544983,0.33544909954071045,0.23051467537879944,0.39179956912994385,0.2674448788166046,0.41887110471725464,0.3818470239639282,0.4418160915374756,0.2599697709083557,0.19003888964653015,0.2829236388206482,0.37450554966926575,0.34863513708114624,0.1976170688867569,0.16717448830604553,0.2374613881111145,0.17949539422988892,0.23444271087646484,0.25336748361587524,0.4868175983428955,0.36998242139816284,0.28030866384506226,0.26989760994911194,0.2973555326461792,0.4879690408706665,0.24366745352745056,0.33641892671585083,0.33669716119766235,0.31286826729774475,0.3915110230445862,0.40372323989868164,0.2758600115776062
KAN,perm,1,core_interaction,1024,100,0.0,0.867470383644104,5.912875744584767e-10,"[0, 1, 2, 40]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,1.2397871017456055,0.1382024735212326,0.0339481420814991,0.014524976722896099,0.01094067096710205,0.0008725921506993473,0.031294822692871094,0.0038011472206562757,0.0,0.0,0.0072199502028524876,0.000998417497612536,0.0058243670500814915,0.01622593402862549,0.0,0.0,0.003921349998563528,0.007577955722808838,0.009275992400944233,0.0026444196701049805,0.030135611072182655,0.005694190505892038,0.014191269874572754,0.0,0.0,0.00931511353701353,0.0,0.004808545112609863,0.0,0.022562503814697266,0.013461132533848286,0.0,0.0,0.0008524656295776367,0.008222798816859722,0.013154168613255024,0.008536934852600098,0.010802149772644043,0.011998494155704975,0.0,0.04551166296005249,0.009642581455409527,0.0018116632709279656,0.0,0.0185761246830225,0.0,0.012305776588618755,0.007972975261509418,0.0,0.011505663394927979,0.0,0.0,0.0,0.0,0.0065117874182760715,0.010719120502471924,0.0,0.0,0.00012610356498043984,0.0,0.0,0.0,0.015084266662597656,0.0,0.00041190782212652266,0.0,0.0034396250266581774,0.0,0.0,0.0,0.0,0.021182358264923096,0.0,0.02345397137105465,0.0,0.0,0.008531908504664898,0.01520448923110962,0.0,0.0,0.0030520956497639418,0.0,0.0,0.0,0.003958940505981445,0.02980363368988037,0.0036519367713481188,0.008430659770965576,0.02443472482264042,0.01680888794362545,0.0010799765586853027,0.01912722922861576,0.0,0.024445056915283203,0.011414269916713238,0.0,0.0,0.01698746345937252,0.021203994750976562,0.0016564130783081055
KAN,grad,2,core_interaction,1024,100,0.0,1.139539122581482,1.2303079388598093e-10,"[0, 1, 20, 35]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,2.906785488128662,0.6467767357826233,0.3611798882484436,0.4123269319534302,0.38901767134666443,0.41898682713508606,0.44860225915908813,0.3626849055290222,0.2758840322494507,0.2244146168231964,0.22287911176681519,0.33149075508117676,0.2940143346786499,0.383942186832428,0.3824757933616638,0.17936162650585175,0.4247865080833435,0.28145602345466614,0.1986912190914154,0.37399476766586304,0.6063359379768372,0.3769497275352478,0.1944267898797989,0.32533735036849976,0.2528655529022217,0.4415184557437897,0.3862447142601013,0.4387703537940979,0.4263811707496643,0.2737397849559784,0.3112955689430237,0.4429824948310852,0.5166552662849426,0.47385120391845703,0.2598731517791748,0.571422815322876,0.2707670032978058,0.457839697599411,0.29126763343811035,0.26699700951576233,0.46005064249038696,0.2208680808544159,0.37847036123275757,0.39618244767189026,0.4137507677078247,0.31118571758270264,0.25841549038887024,0.23587621748447418,0.31431126594543457,0.32124751806259155,0.3209623396396637,0.34595155715942383,0.2745959758758545,0.3445047438144684,0.3836718201637268,0.2658568024635315,0.24252265691757202,0.2860674262046814,0.12053088843822479,0.24031952023506165,0.43723154067993164,0.26615041494369507,0.229779452085495,0.26910674571990967,0.29979848861694336,0.3372498154640198,0.3318555951118469,0.29986926913261414,0.29384246468544006,0.2962731719017029,0.38850048184394836,0.44308292865753174,0.3569087088108063,0.34063905477523804,0.2464110106229782,0.3590739071369171,0.35597631335258484,0.3117191791534424,0.17505225539207458,0.2801068425178528,0.23452582955360413,0.37053874135017395,0.31253233551979065,0.14642366766929626,0.32058215141296387,0.3256874680519104,0.2412305772304535,0.2321934551000595,0.4023013114929199,0.36275333166122437,0.31455734372138977,0.27835506200790405,0.31148767471313477,0.2639075517654419,0.30356329679489136,0.32916155457496643,0.3587987422943115,0.3686780333518982,0.35792672634124756,0.3170408010482788
KAN,perm,2,core_interaction,1024,100,0.0,1.139539122581482,1.2303079388598093e-10,"[0, 1, 20, 40]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,1.1161670684814453,0.17983479797840118,0.01737753488123417,0.00941340159624815,0.0,0.0,0.01955612562596798,0.0,0.0,0.0,0.02189580537378788,0.014069993980228901,0.01881488226354122,0.025860151275992393,0.0,0.0,0.018688002601265907,0.021337350830435753,0.0,0.011692206375300884,0.07748198509216309,0.015886226668953896,0.02420286275446415,0.0,0.0,0.008009473793208599,0.005888978485018015,0.010161995887756348,0.0,0.0,0.010419607162475586,0.04373610019683838,0.014814536087214947,0.004600206855684519,0.0,0.0,0.008576949127018452,0.03359329700469971,0.0,0.015733718872070312,0.06783326715230942,0.0,0.0,0.022515615448355675,0.025912920013070107,0.0,0.010975400917232037,0.0,0.023226380348205566,0.008889198303222656,0.00023806095123291016,0.0030734140891581774,0.0,0.005202293395996094,0.0,0.0,0.0,0.01509078312665224,0.0,0.002776026725769043,0.03850023075938225,0.003239750862121582,0.007912675850093365,0.0,0.05039644241333008,0.0,0.006104966159909964,0.006046374794095755,0.0023495357017964125,0.0,0.042918842285871506,0.0,0.0,0.020427227020263672,0.0,0.0,0.010696053504943848,0.0,0.0,0.02417576313018799,0.0,0.0184553861618042,0.0,0.0,0.0,0.02362215518951416,0.013048608787357807,0.0,0.039426762610673904,0.021542629227042198,0.0,0.01870715618133545,0.03263763710856438,0.012432873249053955,0.0,0.036875169724226,0.0,0.020270586013793945,0.0,0.0
KAN,grad,3,core_interaction,1024,100,0.0,2.018810749053955,3.915192170467208e-09,"[0, 1, 72, 95]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,2.6106319427490234,0.7808554172515869,0.6052460074424744,0.3204113245010376,0.39223912358283997,0.24220244586467743,0.6284990310668945,0.5737909078598022,0.45000767707824707,0.5473110675811768,0.3014945089817047,0.49169227480888367,0.3524143397808075,0.35889676213264465,0.582162618637085,0.2748463749885559,0.38774609565734863,0.7677522301673889,0.33954012393951416,0.5977746248245239,0.43369990587234497,0.4481610357761383,0.28074491024017334,0.48461782932281494,0.38542866706848145,0.5596765279769897,0.4267722964286804,0.46972644329071045,0.4823823571205139,0.47608354687690735,0.618470311164856,0.5075067281723022,0.452861487865448,0.4345540702342987,0.3981632590293884,0.36914384365081787,0.34568366408348083,0.4915372133255005,0.30786243081092834,0.6246243119239807,0.31246376037597656,0.40313825011253357,0.4923854470252991,0.3298461437225342,0.5355640649795532,0.7680965662002563,0.428926944732666,0.34853750467300415,0.5487169623374939,0.3193199634552002,0.646384060382843,0.3640056848526001,0.4825058579444885,0.2502647340297699,0.3096674680709839,0.4081593453884125,0.4878833293914795,0.5410010814666748,0.4718512296676636,0.34784507751464844,0.22752639651298523,0.4219752550125122,0.3191000819206238,0.37861472368240356,0.42276743054389954,0.5072169899940491,0.42045336961746216,0.39227306842803955,0.45008280873298645,0.21578815579414368,0.35842639207839966,0.41418224573135376,0.7944132089614868,0.3666592240333557,0.6355912685394287,0.4926546514034271,0.41541069746017456,0.3365432322025299,0.5029664635658264,0.5321139097213745,0.4295681416988373,0.4926653504371643,0.46728092432022095,0.5726196765899658,0.3604050874710083,0.4889088273048401,0.4378093183040619,0.6909485459327698,0.3989901840686798,0.5768800973892212,0.31168192625045776,0.3547467589378357,0.46166712045669556,0.3698729872703552,0.453731894493103,0.8083906173706055,0.6054750680923462,0.5813095569610596,0.6251001954078674,0.2960379719734192
KAN,perm,3,core_interaction,1024,100,0.0,2.018810749053955,3.915192170467208e-09,"[0, 14, 23, 46]","[0, 1, 2, 3]",0.25,0.25,0.25,sin(2*pi*x0) + x1^2 + x2*x3,0.5945689082145691,0.07792631536722183,0.0,0.006575664039701223,0.018404722213745117,0.013497273437678814,0.0,0.019767681136727333,0.0,0.0,0.0058000884018838406,0.0,0.0,0.01576153375208378,0.09925508499145508,0.0594332218170166,0.0,0.014210700988769531,0.02792525291442871,0.08384457975625992,0.0,0.06694141775369644,0.04807853698730469,0.08908096700906754,0.0,0.0486098937690258,0.032028038054704666,0.04389961436390877,0.02100793458521366,0.0,0.0,0.029865026473999023,0.0,0.04725678637623787,0.015619675628840923,0.0,0.057551782578229904,0.05645751953125,0.03801099583506584,0.0,0.0,0.0,0.0,0.02471844293177128,0.0,0.0,0.08990637212991714,0.00845662783831358,0.07544422149658203,0.034711677581071854,0.0,0.0051835379563272,0.0,0.0,0.0,0.00501251220703125,0.048369962722063065,0.0,0.0,0.0,0.017437061294913292,0.0,0.0,0.0,0.05061674118041992,0.0,0.003709952114149928,0.0005117257242091,0.0,0.010493357665836811,0.0,0.0017902851104736328,0.0,0.0,0.0,0.010112921707332134,0.0,0.041519325226545334,0.0,0.05183466151356697,0.0189030971378088,0.08783578872680664,0.02490266226232052,0.0,0.0,0.03665415570139885,0.0,0.0,0.0,0.0,0.014879862777888775,0.0,0.0,0.0,0.020323196426033974,0.0,0.0,0.0,0.044950325042009354,0.01801443099975586
KAN,grad,4,core_interaction,1024,100,0.0,1.3232369422912598,1.5006964559916014e-09,"[0, 1, 18, 27]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,3.578583240509033,1.0664737224578857,0.31365644931793213,0.30589839816093445,0.4633322060108185,0.4316437244415283,0.25898462533950806,0.312102735042572,0.39428484439849854,0.21855837106704712,0.2646639943122864,0.33225974440574646,0.33346617221832275,0.2563767731189728,0.3076397180557251,0.3550748825073242,0.47805139422416687,0.27149301767349243,0.6794815063476562,0.41311022639274597,0.44786518812179565,0.3054704964160919,0.3678376078605652,0.21917657554149628,0.19116663932800293,0.29876255989074707,0.36665165424346924,0.7522501945495605,0.15023331344127655,0.3385106325149536,0.2833206057548523,0.353674978017807,0.3360373377799988,0.2856829762458801,0.2580412030220032,0.4095551073551178,0.33206766843795776,0.19588416814804077,0.2824639678001404,0.20165927708148956,0.33971545100212097,0.47349169850349426,0.33058562874794006,0.43692025542259216,0.3543718159198761,0.24578189849853516,0.33921587467193604,0.3683193027973175,0.4849228858947754,0.23564544320106506,0.4704240560531616,0.4624975025653839,0.10802338272333145,0.27641910314559937,0.6040080189704895,0.2863384485244751,0.23900383710861206,0.23133918642997742,0.31301623582839966,0.5538341999053955,0.22404642403125763,0.33282333612442017,0.39873573184013367,0.34127068519592285,0.2916868329048157,0.3759702146053314,0.30701321363449097,0.2996406555175781,0.48304179310798645,0.5411194562911987,0.5010026097297668,0.5096195936203003,0.3956003785133362,0.19242534041404724,0.28437018394470215,0.4236958920955658,0.2838326394557953,0.39802980422973633,0.34636348485946655,0.25321075320243835,0.2252877652645111,0.2117881178855896,0.22561967372894287,0.2856234014034271,0.5213428735733032,0.351540744304657,0.3977876901626587,0.22584319114685059,0.2567008435726166,0.6086698770523071,0.3129829168319702,0.2670406103134155,0.38545942306518555,0.3851519227027893,0.26133158802986145,0.2052178680896759,0.2854103147983551,0.3100934326648712,0.4664768874645233,0.38811832666397095
KAN,perm,4,core_interaction,1024,100,0.0,1.3232369422912598,1.5006964559916014e-09,"[0, 1, 18, 71]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,0.7808756232261658,0.21499884128570557,0.020113229751586914,0.0,0.0,0.0,0.0,0.0,0.004786571022123098,0.0,0.04854393005371094,0.0,0.0,0.0038841168861836195,0.035317618399858475,0.0,0.0,0.033497173339128494,0.18447832763195038,0.0,0.0,0.04458371922373772,0.048453330993652344,0.001742243766784668,0.03790108487010002,0.050326425582170486,0.011570652015507221,0.0,0.0,0.0,0.011759002692997456,0.08755680173635483,0.05380268767476082,0.0,0.0,0.01759326457977295,0.0,0.022188464179635048,0.0,0.0,0.0,0.0,0.0,0.0,0.009844024665653706,0.0,0.05166562274098396,0.0,0.0,0.02282329462468624,0.0,0.11257282644510269,0.0,0.008988261222839355,0.0,0.023047247901558876,0.014831979759037495,0.012030203826725483,0.0,0.0,0.0,0.0,0.05591273307800293,0.01872011087834835,0.0,0.005657394882291555,0.02267698384821415,0.0,0.03572900965809822,0.0,0.01446517277508974,0.11830119043588638,0.012438257224857807,0.017007827758789062,0.0,0.0,0.013748924247920513,0.019288619980216026,0.0,0.029490789398550987,0.019227782264351845,0.008806109428405762,0.011917988769710064,0.001547098159790039,0.0,0.05611066147685051,0.0230534877628088,0.0,0.02869737148284912,0.0,0.0,0.05072808265686035,0.09110498428344727,0.005163709167391062,0.04881207272410393,0.0,0.03884601593017578,0.045337677001953125,0.07767776399850845,0.0
