source_file,setting,explain_method,variable,is_true_active,selection_count,num_runs,selection_frequency
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,0,True,5,5,1.0
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,1,True,5,5,1.0
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,18,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,21,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,27,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,28,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,45,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,57,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,71,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,91,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,97,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,98,False,1,5,0.2
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,2,True,0,5,0.0
core_d100_noise01_seeds.csv,core_d100_noise01_seeds,grad,3,True,0,5,0.0
