function,samples,dimension,seed,trees,top_m,selected_features,true_variables,true_interactions,top12,endpoint_scores,max_noise_score,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,endpoint_best_rank,endpoint_worst_rank,endpoint_mean_rank
core_interaction_c025,512,100,105,500,5,"[0, 1, 26, 81, 83]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 81, 83, 26, 27, 17, 85, 73, 70, 19, 2]","{2: 0.0013073265113843478, 3: 0.0007425973999035748}",0.0038017018365468893,5,0,0.5,0,0.0,0,12.0,73.0,42.5
core_interaction_c025,512,100,105,500,6,"[0, 1, 26, 27, 81, 83]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 81, 83, 26, 27, 17, 85, 73, 70, 19, 2]","{2: 0.0013073265113843478, 3: 0.0007425973999035748}",0.0038017018365468893,6,0,0.5,0,0.0,0,12.0,73.0,42.5
core_interaction_c025,512,100,106,500,4,"[0, 1, 33, 55]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 33, 55, 99, 32, 21, 67, 30, 75, 69, 86]","{2: 0.0006650849018647699, 3: 0.0010861271357739885}",0.001993285416111193,4,0,0.5,0,0.0,0,21.0,77.0,49.0
core_interaction_c025,512,100,106,500,5,"[0, 1, 33, 55, 99]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 33, 55, 99, 32, 21, 67, 30, 75, 69, 86]","{2: 0.0006650849018647699, 3: 0.0010861271357739885}",0.001993285416111193,5,0,0.5,0,0.0,0,21.0,77.0,49.0
core_interaction_c025,512,100,106,500,6,"[0, 1, 32, 33, 55, 99]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 33, 55, 99, 32, 21, 67, 30, 75, 69, 86]","{2: 0.0006650849018647699, 3: 0.0010861271357739885}",0.001993285416111193,6,0,0.5,0,0.0,0,21.0,77.0,49.0
core_interaction_c025,512,100,107,500,4,"[0, 1, 13, 18]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 18, 13, 93, 54, 35, 5, 16, 80, 2, 84]","{2: 0.0011230746796840065, 3: 0.0009189793068169009}",0.001944983371353024,4,0,0.5,0,0.0,0,11.0,28.0,19.5
core_interaction_c025,512,100,107,500,5,"[0, 1, 13, 18, 93]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 18, 13, 93, 54, 35, 5, 16, 80, 2, 84]","{2: 0.0011230746796840065, 3: 0.0009189793068169009}",0.001944983371353024,5,0,0.5,0,0.0,0,11.0,28.0,19.5
core_interaction_c025,512,100,107,500,6,"[0, 1, 13, 18, 54, 93]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 18, 13, 93, 54, 35, 5, 16, 80, 2, 84]","{2: 0.0011230746796840065, 3: 0.0009189793068169009}",0.001944983371353024,6,0,0.5,0,0.0,0,11.0,28.0,19.5
core_interaction_c025,512,100,108,500,4,"[0, 1, 28, 99]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 28, 99, 57, 48, 46, 75, 40, 98, 61, 90]","{2: 0.00112510523203017, 3: 0.0011761489588377155}",0.0024605671581398344,4,0,0.5,0,0.0,0,15.0,19.0,17.0
core_interaction_c025,512,100,108,500,5,"[0, 1, 28, 57, 99]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 28, 99, 57, 48, 46, 75, 40, 98, 61, 90]","{2: 0.00112510523203017, 3: 0.0011761489588377155}",0.0024605671581398344,5,0,0.5,0,0.0,0,15.0,19.0,17.0
core_interaction_c025,512,100,108,500,6,"[0, 1, 28, 48, 57, 99]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 28, 99, 57, 48, 46, 75, 40, 98, 61, 90]","{2: 0.00112510523203017, 3: 0.0011761489588377155}",0.0024605671581398344,6,0,0.5,0,0.0,0,15.0,19.0,17.0
core_interaction_c025,512,100,109,500,4,"[0, 1, 83, 95]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 83, 95, 77, 81, 53, 40, 71, 48, 39, 63]","{2: 0.0011160207983620576, 3: 0.0007445864414640408}",0.0028606358695321436,4,0,0.5,0,0.0,0,16.0,60.0,38.0
core_interaction_c025,512,100,109,500,5,"[0, 1, 77, 83, 95]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 83, 95, 77, 81, 53, 40, 71, 48, 39, 63]","{2: 0.0011160207983620576, 3: 0.0007445864414640408}",0.0028606358695321436,5,0,0.5,0,0.0,0,16.0,60.0,38.0
core_interaction_c025,512,100,109,500,6,"[0, 1, 77, 81, 83, 95]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 83, 95, 77, 81, 53, 40, 71, 48, 39, 63]","{2: 0.0011160207983620576, 3: 0.0007445864414640408}",0.0028606358695321436,6,0,0.5,0,0.0,0,16.0,60.0,38.0
