source_file,function,explain_method,aggregation,threshold,num_runs,single_seed_mean_f1,single_seed_std_f1,single_seed_mean_auroc,single_seed_mean_auprc,stable_precision,stable_recall,stable_f1,stable_auroc,stable_auprc,stable_selected,stable_num_selected
core_d100_noise00_interactions.csv,core_interaction,grad,selection_frequency_threshold,0.2,5,0.45,0.11180339887498948,0.7020833333333333,0.480403485141391,0.15384615384615385,0.5,0.23529411764705882,,,"[0, 1, 17, 20, 27, 32, 35, 45, 72, 89, 91, 95, 97]",13.0
core_d100_noise00_interactions.csv,core_interaction,grad,selection_frequency_threshold,0.4,5,0.45,0.11180339887498948,0.7020833333333333,0.480403485141391,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_interactions.csv,core_interaction,grad,selection_frequency_threshold,0.6,5,0.45,0.11180339887498948,0.7020833333333333,0.480403485141391,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_interactions.csv,core_interaction,grad,selection_frequency_threshold,0.8,5,0.45,0.11180339887498948,0.7020833333333333,0.480403485141391,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_interactions.csv,core_interaction,grad,mean_importance_topk,,5,0.45,0.11180339887498948,0.7020833333333333,0.480403485141391,0.5,0.5,0.5,0.6510416666666666,0.527958152958153,"[0, 1, 17, 44]",
core_d100_noise00_interactions.csv,core_interaction,perm,selection_frequency_topk,,5,0.4,0.13693063937629152,0.75625,0.47733213921983186,0.5,0.5,0.5,0.71875,0.52,"[0, 1, 10, 14]",
core_d100_noise00_interactions.csv,core_interaction,perm,selection_frequency_threshold,0.2,5,0.4,0.13693063937629152,0.75625,0.47733213921983186,0.14285714285714285,0.5,0.22222222222222224,,,"[0, 1, 10, 14, 18, 32, 48, 51, 56, 71, 77, 79, 88, 92]",14.0
core_d100_noise00_interactions.csv,core_interaction,perm,selection_frequency_threshold,0.4,5,0.4,0.13693063937629152,0.75625,0.47733213921983186,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_interactions.csv,core_interaction,perm,selection_frequency_threshold,0.6,5,0.4,0.13693063937629152,0.75625,0.47733213921983186,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_interactions.csv,core_interaction,perm,selection_frequency_threshold,0.8,5,0.4,0.13693063937629152,0.75625,0.47733213921983186,1.0,0.25,0.4,,,[0],1.0
core_d100_noise00_interactions.csv,core_interaction,perm,mean_importance_topk,,5,0.4,0.13693063937629152,0.75625,0.47733213921983186,0.5,0.5,0.5,0.75,0.573489010989011,"[0, 1, 32, 79]",
core_d100_noise00_lamb0.0001.csv,core_interaction,grad,selection_frequency_topk,,5,0.45,0.11180339887498948,,,0.5,0.5,0.5,0.7213541666666666,0.52,"[0, 1, 5, 17]",
core_d100_noise00_lamb0.0001.csv,core_interaction,grad,selection_frequency_threshold,0.2,5,0.45,0.11180339887498948,,,0.15384615384615385,0.5,0.23529411764705882,,,"[0, 1, 5, 17, 18, 20, 27, 35, 45, 72, 87, 91, 97]",13.0
core_d100_noise00_lamb0.0001.csv,core_interaction,grad,selection_frequency_threshold,0.4,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.0001.csv,core_interaction,grad,selection_frequency_threshold,0.6,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.0001.csv,core_interaction,grad,selection_frequency_threshold,0.8,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.0001.csv,core_interaction,perm,selection_frequency_topk,,5,0.5,0.0,,,0.5,0.5,0.5,0.7239583333333334,0.52,"[0, 1, 18, 31]",
core_d100_noise00_lamb0.0001.csv,core_interaction,perm,selection_frequency_threshold,0.2,5,0.5,0.0,,,0.16666666666666666,0.5,0.25,,,"[0, 1, 18, 31, 40, 48, 55, 64, 71, 79, 80, 98]",12.0
core_d100_noise00_lamb0.0001.csv,core_interaction,perm,selection_frequency_threshold,0.4,5,0.5,0.0,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.0001.csv,core_interaction,perm,selection_frequency_threshold,0.6,5,0.5,0.0,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.0001.csv,core_interaction,perm,selection_frequency_threshold,0.8,5,0.5,0.0,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.001.csv,core_interaction,grad,selection_frequency_topk,,5,0.4,0.13693063937629152,,,0.5,0.5,0.5,0.71875,0.52,"[0, 1, 7, 17]",
core_d100_noise00_lamb0.001.csv,core_interaction,grad,selection_frequency_threshold,0.2,5,0.4,0.13693063937629152,,,0.14285714285714285,0.5,0.22222222222222224,,,"[0, 1, 7, 17, 18, 20, 27, 32, 35, 49, 72, 87, 91, 97]",14.0
core_d100_noise00_lamb0.001.csv,core_interaction,grad,selection_frequency_threshold,0.4,5,0.4,0.13693063937629152,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.001.csv,core_interaction,grad,selection_frequency_threshold,0.6,5,0.4,0.13693063937629152,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.001.csv,core_interaction,grad,selection_frequency_threshold,0.8,5,0.4,0.13693063937629152,,,1.0,0.25,0.4,,,[0],1.0
core_d100_noise00_lamb0.001.csv,core_interaction,perm,selection_frequency_topk,,5,0.45,0.11180339887498948,,,0.75,0.75,0.75,0.8476562500000001,0.5676923076923077,"[0, 1, 2, 79]",
core_d100_noise00_lamb0.001.csv,core_interaction,perm,selection_frequency_threshold,0.2,5,0.45,0.11180339887498948,,,0.23076923076923078,0.75,0.3529411764705882,,,"[0, 1, 2, 18, 20, 27, 32, 34, 35, 71, 79, 95, 98]",13.0
core_d100_noise00_lamb0.001.csv,core_interaction,perm,selection_frequency_threshold,0.4,5,0.45,0.11180339887498948,,,0.6666666666666666,0.5,0.5714285714285715,,,"[0, 1, 79]",3.0
core_d100_noise00_lamb0.001.csv,core_interaction,perm,selection_frequency_threshold,0.6,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.001.csv,core_interaction,perm,selection_frequency_threshold,0.8,5,0.45,0.11180339887498948,,,1.0,0.25,0.4,,,[0],1.0
core_d100_noise00_lamb0.01.csv,core_interaction,grad,selection_frequency_topk,,5,0.5,0.0,,,0.5,0.5,0.5,0.7239583333333334,0.52,"[0, 1, 17, 18]",
core_d100_noise00_lamb0.01.csv,core_interaction,grad,selection_frequency_threshold,0.2,5,0.5,0.0,,,0.16666666666666666,0.5,0.25,,,"[0, 1, 17, 18, 20, 27, 32, 35, 87, 91, 95, 97]",12.0
core_d100_noise00_lamb0.01.csv,core_interaction,grad,selection_frequency_threshold,0.4,5,0.5,0.0,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.01.csv,core_interaction,grad,selection_frequency_threshold,0.6,5,0.5,0.0,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.01.csv,core_interaction,grad,selection_frequency_threshold,0.8,5,0.5,0.0,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.01.csv,core_interaction,perm,selection_frequency_topk,,5,0.35,0.13693063937629152,,,0.5,0.5,0.5,0.7161458333333334,0.52,"[0, 1, 18, 51]",
core_d100_noise00_lamb0.01.csv,core_interaction,perm,selection_frequency_threshold,0.2,5,0.35,0.13693063937629152,,,0.13333333333333333,0.5,0.2105263157894737,,,"[0, 1, 18, 32, 37, 40, 43, 48, 51, 56, 71, 79, 85, 97, 98]",15.0
core_d100_noise00_lamb0.01.csv,core_interaction,perm,selection_frequency_threshold,0.4,5,0.35,0.13693063937629152,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.01.csv,core_interaction,perm,selection_frequency_threshold,0.6,5,0.35,0.13693063937629152,,,1.0,0.25,0.4,,,[0],1.0
core_d100_noise00_lamb0.01.csv,core_interaction,perm,selection_frequency_threshold,0.8,5,0.35,0.13693063937629152,,,1.0,0.25,0.4,,,[0],1.0
core_d100_noise00_lamb0.05.csv,core_interaction,grad,selection_frequency_topk,,5,0.45,0.11180339887498948,,,0.5,0.5,0.5,0.7213541666666666,0.52,"[0, 1, 17, 20]",
