model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_best_rank_mean,true_interaction_best_rank_std,true_interaction_worst_rank_mean,true_interaction_worst_rank_std,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,n,metric
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,2048,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0002467207581503,0.0001261354339286,0.0002594058285467,0.0001299325219758,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5477225575051661,1.4,0.5477225575051662,1.4,0.5477225575051662,1.4,0.5477225575051662,0.2787117838859558,0.0127688297183873,0.2837737608700991,0.2747820177947242,-0.0050619769841432,0.2636336703857194,0.6,2048,fd
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,2048,0.0,5,3,8,0.001,50,LBFGS,0,hessian,0.0002449474006425,9.623546036630115e-05,0.0002575853315647,9.773111328330524e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5477225575051661,1.4,0.5477225575051662,1.4,0.5477225575051662,1.4,0.5477225575051662,0.291178148984909,0.01417970920434,0.2567832171916961,0.2566522471499993,0.0343949317932128,0.2461519071258983,0.6,2048,hessian
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,4096,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0002900874125771,7.212840621601975e-05,0.0003052906773518,7.72913973364197e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5477225575051661,1.4,0.5477225575051662,1.4,0.5477225575051662,1.4,0.5477225575051662,0.2770081639289856,0.0078750885534289,0.3196743667125702,0.2530876278365384,-0.0426662027835845,0.2486815862817271,0.6,4096,fd
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,4096,0.0,5,3,8,0.001,50,LBFGS,0,hessian,0.0002849415788659,7.350024536006604e-05,0.0002981493948027,7.882246150359966e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5477225575051661,1.4,0.5477225575051662,1.4,0.5477225575051662,1.4,0.5477225575051662,0.2769727706909179,0.0226612495998341,0.294726014137268,0.2401447565566211,-0.01775324344635,0.2262833968346701,0.6,4096,hessian
