function,dimension,noise,samples,screen_mode,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,num_runs,num_failed
core_interaction,100,0.0,256,exclude_interaction,20,grad,4.016210107538054e-12,5.5189833920796304e-12,2.663480202356974,0.4302267612980884,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.0,0.04,0.0,0.0,0.0,3,0
core_interaction,100,0.0,256,oracle_support,20,grad,4.1690626464685004e-13,2.6136313112408856e-13,1.576125164826711,0.7454058121655218,1.0,1.0,1.0,0.5,0.25,0.9609375,0.04067838372868058,0.6514861500155619,0.22794654932505104,0.0,0.0,3,0
core_interaction,100,0.0,256,random,20,grad,3.3552078577854063e-12,2.040651290108068e-12,3.4417367776234946,0.5136908589312019,0.0,0.08333333333333333,0.0,0.0,0.0,0.4388020833333333,0.07442405813772525,0.04424242424242423,0.007348094335140675,0.0,0.0,3,0
core_interaction,100,0.0,256,raw,100,grad,1.5124556200740673e-08,2.6196012693460698e-08,1.850578745206197,0.09789850640908647,1.0,1.0,1.0,0.3333333333333333,0.14433756729740643,0.623263888888889,0.19048430410391742,0.2992324652368435,0.13128824675218784,0.0,0.0,3,0
core_interaction,100,0.0,256,rf,20,grad,3.277985341209692e-13,1.3600514289691134e-13,1.3055745561917622,0.43801295609295243,1.0,1.0,1.0,0.5,0.0,0.9600694444444443,0.028803229206661538,0.6886535917785918,0.09647821242997974,0.0,0.0,3,0
core_interaction,100,0.0,512,exclude_interaction,20,grad,2.1818433055635172e-08,1.9716368620442003e-08,3.993773937225342,0.39900762253527045,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.0,0.04,0.0,0.0,0.0,3,0
core_interaction,100,0.0,512,oracle_support,20,grad,1.1657320817444934e-06,1.3835778102939528e-06,0.17700765033562973,0.28348148086337344,1.0,1.0,1.0,0.9166666666666666,0.14433756729740643,0.9930555555555557,0.01202813060811708,0.9444444444444443,0.09622504486493767,0.6666666666666666,0.5773502691896258,3,0
core_interaction,100,0.0,512,random,20,grad,1.2681435438792002e-08,1.2334007683506719e-08,3.8427340189615884,0.41637360743731316,0.0,0.08333333333333333,0.0,0.08333333333333333,0.14433756729740646,0.44487847222222215,0.08494867241982774,0.057499999999999996,0.030310889132455353,0.0,0.0,3,0
core_interaction,100,0.0,512,raw,100,grad,2.421692403900555e-12,1.5827208440138272e-12,2.135113000869751,0.31333872638765037,1.0,1.0,1.0,0.4166666666666667,0.14433756729740646,0.6961805555555555,0.09469766019318968,0.46078853883947785,0.1261770215396118,0.0,0.0,3,0
core_interaction,100,0.0,512,rf,20,grad,7.573475826472276e-07,1.2986016589626523e-06,0.2516014923652013,0.34091986597480867,1.0,1.0,1.0,0.8333333333333334,0.2886751345948129,0.9965277777777778,0.00601406530405858,0.9388888888888888,0.1058475493514314,0.3333333333333333,0.5773502691896258,3,0
core_interaction,100,0.0,1024,exclude_interaction,20,grad,0.0049073088448494335,0.0010226801164469027,6.1270419756571455,1.3550521770093866,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.0,0.04,0.0,0.0,0.0,3,0
core_interaction,100,0.0,1024,oracle_support,20,grad,1.1866746111384904e-05,4.442638108986301e-06,4.262838532061627e-05,2.8312595502153854e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
core_interaction,100,0.0,1024,random,20,grad,0.005436348728835533,0.0008509686682590118,6.042064348856608,1.0720572657878367,0.0,0.08333333333333333,0.0,0.0,0.0,0.44140625,0.07893460711576919,0.04708333333333333,0.01226869322027955,0.0,0.0,3,0
core_interaction,100,0.0,1024,raw,100,grad,1.1196696810452285e-09,1.319215026432008e-09,1.5941776037216187,0.7635654700874775,1.0,1.0,1.0,0.5,0.0,0.7213541666666666,0.15137803780555853,0.5046640524403182,0.09769197885815596,0.0,0.0,3,0
core_interaction,100,0.0,1024,rf,20,grad,1.1546771020221058e-05,9.011325144573169e-06,5.1275003443151945e-05,4.0420997617121036e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
core_interaction,100,0.0,2048,exclude_interaction,20,grad,0.15785820285479224,0.014654485870407933,3.923673470815023,0.3929537868938184,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.0,0.04,0.0,0.0,0.0,3,0
core_interaction,100,0.0,2048,oracle_support,20,grad,3.0269508746035474e-05,2.2738756368126814e-05,4.324674652404307e-05,3.155376798395386e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
core_interaction,100,0.0,2048,random,20,grad,0.16440043846766153,0.016383797168307485,3.807026465733846,0.242933670905318,0.0,0.08333333333333333,0.0,0.0,0.0,0.4422743055555555,0.08043812344178379,0.048571428571428564,0.014846149779161799,0.0,0.0,3,0
