model,function,interaction_strength,screen_mode,seed,samples,test_samples,dimension,noise,effective_dim,selected_screen_features,screen_score_type,true_variables,true_interactions,num_true_variables,num_true_interactions,formula,grid,k,width_hidden,lamb,steps,opt,update_grid,grid_update_num,interaction_method,selected_interactions,interaction_f1,status,error,train_mse,test_mse,importance_scores,selected_variables,variable_precision,variable_recall,variable_f1,variable_auroc,variable_auprc,explain_contains_all_interaction_endpoints,explain_interaction_endpoint_recall
KAN_raw_variable_pool,core_interaction_c025,0.25,raw,0,4096,4096,100,0.0,100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,not_computed,[],,ok,,0.009041920304298401,0.01334892027080059,"[5.055023670196533, 1.2517402172088623, 0.01974250189960003, 0.02365924045443535, 0.010511026717722416, 0.02878139354288578, 0.03234444558620453, 0.012475420720875263, 0.023846495896577835, 0.012106741778552532, 0.014405399560928345, 0.01758081465959549, 0.00966230034828186, 0.034925274550914764, 0.02047138288617134, 0.02211882174015045, 0.0049056559801101685, 0.0055245282128453255, 0.010449497029185295, 0.014954846352338791, 0.03393944352865219, 0.026819685474038124, 0.017939968034625053, 0.02918367087841034, 0.008329196833074093, 0.013258777558803558, 0.02547963336110115, 0.01282050646841526, 0.01605616882443428, 0.008273899555206299, 0.02222173847258091, 0.02459438517689705, 0.0043979850597679615, 0.019805749878287315, 0.01415166724473238, 0.01076851598918438, 0.01828065887093544, 0.016248496249318123, 0.015427963808178902, 0.015047834254801273, 0.016515567898750305, 0.01081760786473751, 0.0202939510345459, 0.023699626326560974, 0.014413436874747276, 0.01637452468276024, 0.010524031706154346, 0.003995887935161591, 0.010018909350037575, 0.017832355573773384, 0.014842970296740532, 0.014557790011167526, 0.013776758685708046, 0.026415370404720306, 0.012041103094816208, 0.018095575273036957, 0.013970066793262959, 0.010429016314446926, 0.007822152227163315, 0.0088011110201478, 0.02319958806037903, 0.015848152339458466, 0.02611062116920948, 0.02577512338757515, 0.01817314699292183, 0.04827635735273361, 0.007707089185714722, 0.009865397587418556, 0.011939093470573425, 0.009758232161402702, 0.016868015751242638, 0.019012857228517532, 0.017363429069519043, 0.012583700008690357, 0.016239790245890617, 0.025717437267303467, 0.023427404463291168, 0.01902572065591812, 0.015017779543995857, 0.025034984573721886, 0.02449582889676094, 0.009973484091460705, 0.01715029403567314, 0.029865223914384842, 0.012479197233915329, 0.02124357968568802, 0.01753239519894123, 0.02464255690574646, 0.018462853506207466, 0.013896718621253967, 0.02296876721084118, 0.005634097382426262, 0.01440790481865406, 0.027693383395671844, 0.01401626318693161, 0.022953547537326813, 0.004172416869550943, 0.018790215253829956, 0.03238391876220703, 0.02250625193119049]","[0, 1, 13, 65]",0.5,0.5,0.5,0.8619791666666667,0.5590277777777778,0,0.0
KAN_raw_variable_pool,core_interaction_c025,0.25,raw,1,4096,4096,100,0.0,100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,not_computed,[],,ok,,0.009779877960681915,0.013490403071045876,"[5.450742721557617, 1.2643728256225586, 0.014281099662184715, 0.02777061238884926, 0.006252576597034931, 0.01633971929550171, 0.01696646586060524, 0.02447575330734253, 0.008413748815655708, 0.011917613446712494, 0.011571293696761131, 0.018859457224607468, 0.017269372940063477, 0.01279754564166069, 0.009938178583979607, 0.011763806454837322, 0.02291131764650345, 0.017760396003723145, 0.020137950778007507, 0.00819646567106247, 0.0054402584210038185, 0.00962500274181366, 0.009324409067630768, 0.006136796902865171, 0.0035158994141966105, 0.02952149324119091, 0.00590619258582592, 0.01808788999915123, 0.01365218497812748, 0.009190753102302551, 0.016635611653327942, 0.006930946372449398, 0.004784043878316879, 0.004196241032332182, 0.017015861347317696, 0.019483424723148346, 0.014088369905948639, 0.023507367819547653, 0.01517464965581894, 0.014471596106886864, 0.006795370485633612, 0.011497552506625652, 0.0037941199261695147, 0.01103254221379757, 0.00931426603347063, 0.021028660237789154, 0.01484273374080658, 0.026008721441030502, 0.012434196658432484, 0.012382414191961288, 0.011590274050831795, 0.005117001943290234, 0.0166311077773571, 0.008206888101994991, 0.0031966802198439837, 0.010722439736127853, 0.022529860958456993, 0.0036676842719316483, 0.030902614817023277, 0.0091409832239151, 0.013843469321727753, 0.012727780267596245, 0.002720668911933899, 0.01959424838423729, 0.00656095240265131, 0.015905173495411873, 0.002045120345428586, 0.021110590547323227, 0.01764621213078499, 0.027272626757621765, 0.010687808506190777, 0.01348074059933424, 0.0020818165503442287, 0.016253747045993805, 0.013627558946609497, 0.001826796680688858, 0.005227203480899334, 0.021369006484746933, 0.007234463468194008, 0.025950847193598747, 0.017422974109649658, 0.018176209181547165, 0.006033596582710743, 0.008813789114356041, 0.00992391724139452, 0.014261896722018719, 0.0054452186450362206, 0.0250487569719553, 0.011017018929123878, 0.012274717912077904, 0.01573309674859047, 0.010964609682559967, 0.00856778584420681, 0.01640690490603447, 0.005805476568639278, 0.011541089043021202, 0.0079725943505764, 0.024026842787861824, 0.011392895132303238, 0.01705402135848999]","[0, 1, 25, 58]",0.5,0.5,0.5,0.8984375,0.674390243902439,0,0.0
KAN_raw_variable_pool,core_interaction_c025,0.25,raw,2,4096,4096,100,0.0,100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,not_computed,[],,ok,,0.00019543091184459627,0.00022538594203069806,"[5.129733085632324, 1.3784679174423218, 0.14700382947921753, 0.14504368603229523, 0.0013079313794150949, 0.0003006660263054073, 0.001194929238408804, 0.0013247885508462787, 0.0001876737514976412, 0.0005053123459219933, 0.0004863842041231692, 0.002155833411961794, 0.0008106903405860066, 0.0005798727506771684, 0.0004406731459312141, 0.0013521609362214804, 0.001125142676755786, 0.0005598601419478655, 0.00044253282248973846, 0.0018512685783207417, 0.0013522669905796647, 0.0011804483365267515, 0.0005125314346514642, 0.00039101336733438075, 0.0009652196313254535, 0.0005557765834964812, 0.0007097312482073903, 0.0018571147229522467, 0.0008187667699530721, 0.002121696015819907, 0.0010599453235045075, 0.000817640102468431, 0.0021692581940442324, 0.00042421070975251496, 0.0012944226618856192, 0.0006059231236577034, 0.000770490150898695, 0.0011982563883066177, 0.00040996441384777427, 0.001717203762382269, 0.0016551006119698286, 0.0007678607944399118, 0.0006515783607028425, 0.0003309567691758275, 0.0009727769065648317, 0.000636338023468852, 0.0007549544097855687, 0.0015986829530447721, 0.0007483097724616528, 0.0009176059393212199, 0.002605294808745384, 0.0011246232315897942, 0.0010052757570520043, 0.0005340188508853316, 0.0014528136234730482, 0.0003880170115735382, 0.0009166213567368686, 0.00046112772542983294, 0.0006263235118240118, 0.0016377156134694815, 0.001923376927152276, 0.001585683785378933, 0.0015206497628241777, 0.000992574729025364, 0.0011165672913193703, 0.0010490022832527757, 0.0004920685314573348, 0.0005421510431915522, 0.0006560818292200565, 0.0012992190895602107, 0.0012438816484063864, 0.0017263831105083227, 0.0002490174665581435, 0.0006555600557476282, 0.0012474809773266315, 0.00110394018702209, 0.0010398474987596273, 0.0006844635354354978, 0.001837714109569788, 0.0008167958585545421, 0.0017163734883069992, 0.001136724604293704, 0.0007746065384708345, 0.0011420899536460638, 0.0013253865763545036, 0.0011252416297793388, 0.00023856855113990605, 0.0007871582638472319, 0.0011818764032796025, 0.0005991386715322733, 0.0013643745332956314, 0.0009245721157640219, 0.0004535224288702011, 0.0004177291120868176, 0.001369723118841648, 0.00022270766203291714, 0.0010486685205250978, 0.00209290930069983, 0.0028587104752659798, 0.001746142515912652]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,1,1.0
KAN_raw_variable_pool,core_interaction_c025,0.25,raw,3,4096,4096,100,0.0,100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,not_computed,[],,ok,,0.008683605119585991,0.01400284469127655,"[4.930043697357178, 1.3504996299743652, 0.02659761533141136, 0.01637204736471176, 0.018467489629983902, 0.015136819332838058, 0.018782000988721848, 0.024544237181544304, 0.02660871297121048, 0.018760986626148224, 0.020864829421043396, 0.02086213231086731, 0.025063296779990196, 0.009988142177462578, 0.018039904534816742, 0.011434929445385933, 0.02136465720832348, 0.016621846705675125, 0.018595367670059204, 0.011131716892123222, 0.025874577462673187, 0.012430116534233093, 0.018860746175050735, 0.020153548568487167, 0.03989191725850105, 0.018902689218521118, 0.0234612375497818, 0.019635753706097603, 0.016413934528827667, 0.006128294393420219, 0.014529628679156303, 0.006372593343257904, 0.021765969693660736, 0.007539782673120499, 0.02028425969183445, 0.010766895487904549, 0.02112492360174656, 0.015184960328042507, 0.02354496531188488, 0.005270856432616711, 0.008184647187590599, 0.025223758071660995, 0.0185055173933506, 0.01467131171375513, 0.02640441805124283, 0.024427037686109543, 0.024530066177248955, 0.01409127376973629, 0.008935637772083282, 0.02610217034816742, 0.016086064279079437, 0.01688237115740776, 0.014123823493719101, 0.030742177739739418, 0.017946694046258926, 0.03229318559169769, 0.012855352833867073, 0.02389107085764408, 0.01808195933699608, 0.017226560041308403, 0.005135773681104183, 0.02021992951631546, 0.027843303978443146, 0.010873910039663315, 0.012795500457286835, 0.008072137832641602, 0.026740776374936104, 0.020121652632951736, 0.02206338942050934, 0.01670547015964985, 0.029263585805892944, 0.008499089628458023, 0.03362957388162613, 0.027149248868227005, 0.024089546874165535, 0.013390159234404564, 0.01268962025642395, 0.027401749044656754, 0.01743050292134285, 0.026672720909118652, 0.0184745155274868, 0.02524949610233307, 0.01370350830256939, 0.01856110244989395, 0.022692222148180008, 0.013740846887230873, 0.029433488845825195, 0.02033175528049469, 0.020076759159564972, 0.022087419405579567, 0.01838109642267227, 0.021157007664442062, 0.02229137532413006, 0.020026717334985733, 0.01349208690226078, 0.015697065740823746, 0.03216482698917389, 0.011701652780175209, 0.02786192297935486, 0.012021979317069054]","[0, 1, 24, 72]",0.5,0.5,0.5,0.796875,0.5588235294117647,0,0.0
KAN_raw_variable_pool,core_interaction_c025,0.25,raw,4,4096,4096,100,0.0,100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",none,"[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.25*x2*x3,5,3,8,0.001,50,LBFGS,0,10,not_computed,[],,ok,,0.009680885821580887,0.013519578613340855,"[5.146073341369629, 1.302988052368164, 0.021273132413625717, 0.011372212320566177, 0.025840679183602333, 0.010292732156813145, 0.014758100733160973, 0.02527811750769615, 0.0156068941578269, 0.014569858089089394, 0.005858168471604586, 0.01367214135825634, 0.013969789259135723, 0.011222872883081436, 0.011314263567328453, 0.027877984568476677, 0.022744296118617058, 0.012973939999938011, 0.02870793640613556, 0.009199092164635658, 0.014660485088825226, 0.0305782537907362, 0.014101466163992882, 0.016286438331007957, 0.012486771680414677, 0.0128303412348032, 0.007267427630722523, 0.020368337631225586, 0.007662921212613583, 0.009257892146706581, 0.009361827746033669, 0.004989246837794781, 0.023407457396388054, 0.012803236953914165, 0.008131026290357113, 0.017438312992453575, 0.012364908121526241, 0.00942259468138218, 0.023247044533491135, 0.016379836946725845, 0.025867443531751633, 0.013425499200820923, 0.027691427618265152, 0.024301188066601753, 0.020787816494703293, 0.012096510268747807, 0.0142397191375494, 0.013609137386083603, 0.01734021306037903, 0.03197085112333298, 0.018275979906320572, 0.019014529883861542, 0.023553093895316124, 0.002750892424955964, 0.0201633982360363, 0.02165181003510952, 0.0038867038674652576, 0.0177161805331707, 0.0117656160145998, 0.01776709035038948, 0.02549424022436142, 0.009541332721710205, 0.015371724031865597, 0.02262025512754917, 0.013874262571334839, 0.01560543105006218, 0.018100211396813393, 0.02035747468471527, 0.007266709581017494, 0.014075138606131077, 0.013918566517531872, 0.002428655046969652, 0.014524559490382671, 0.01760823093354702, 0.006698293145745993, 0.011259610764682293, 0.02339659258723259, 0.010873639024794102, 0.015847964212298393, 0.019312603399157524, 0.010055458173155785, 0.03151240944862366, 0.00921438354998827, 0.011213414371013641, 0.011360038071870804, 0.01461966335773468, 0.021820733323693275, 0.014895531348884106, 0.0215500146150589, 0.02667151764035225, 0.021114155650138855, 0.017318356782197952, 0.00867187138646841, 0.009310786612331867, 0.009169336408376694, 0.026889529079198837, 0.01646101102232933, 0.012514347210526466, 0.02820545993745327, 0.024593958631157875]","[0, 1, 49, 81]",0.5,0.5,0.5,0.7578125,0.541476407914764,0,0.0
