function,samples,dimension,trees,top_m,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,endpoint_best_rank_mean,endpoint_best_rank_std,endpoint_worst_rank_mean,endpoint_worst_rank_std,endpoint_mean_rank_mean,endpoint_mean_rank_std,max_noise_score_mean,max_noise_score_std,num_runs
core_interaction_c025,128,30,10,4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7.7781745930520225,25.5,4.949747468305833,19.5,1.4142135623730951,0.026594041989397944,0.009198003364266178,2
core_interaction_c025,128,30,10,5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7.7781745930520225,25.5,4.949747468305833,19.5,1.4142135623730951,0.026594041989397944,0.009198003364266178,2
