function,dimension,noise,screen_method,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std
correlated_proxy,100,0.05,correlation,10,grad,0.0007273445759589473,0.0001612285422081365,1.6000112692515056,0.5220296173006578,0.0,0.25,0.0,0.25,0.0,0.58984375,0.0,0.28,0.0,0.0,0.0
correlated_proxy,100,0.05,correlation,10,perm,0.0007273445759589473,0.0001612285422081365,1.6000112692515056,0.5220296173006578,0.0,0.25,0.0,0.25,0.0,0.588107638888889,0.001503516326014621,0.19666666666666668,0.07216878364870323,0.0,0.0
correlated_proxy,100,0.05,correlation,20,grad,2.614112635986506e-07,3.7486148771343193e-07,0.930439829826355,0.3792727550342437,0.0,0.5,0.0,0.3333333333333333,0.14433756729740643,0.6848958333333334,0.1315877454169787,0.39103174603174606,0.1424642082857277,0.0,0.0
correlated_proxy,100,0.05,correlation,20,perm,2.614112635986506e-07,3.7486148771343193e-07,0.930439829826355,0.3792727550342437,0.0,0.5,0.0,0.3333333333333333,0.14433756729740643,0.6866319444444443,0.13172510666310006,0.40055555555555555,0.13838687049690054,0.0,0.0
correlated_proxy,100,0.05,correlation,30,grad,1.1153621637394195e-09,1.2081896735036245e-09,0.8899913827578226,0.4274572097699772,0.0,0.5833333333333334,0.0,0.4166666666666667,0.14433756729740643,0.7035590277777778,0.16881616286974657,0.4089285714285715,0.12752400734363545,0.0,0.0
correlated_proxy,100,0.05,correlation,30,perm,1.1153621637394195e-09,1.2081896735036245e-09,0.8899913827578226,0.4274572097699772,0.0,0.5833333333333334,0.0,0.4166666666666667,0.14433756729740643,0.7000868055555557,0.16742449237834992,0.35892857142857143,0.18330755075354999,0.0,0.0
correlated_proxy,100,0.05,mutual_info,10,grad,0.001258581372288366,0.0006325582333568291,1.1669819355010986,0.25841261191852016,0.0,0.6666666666666666,0.0,0.5,0.0,0.8098958333333334,0.07218052891424585,0.5202777777777777,0.08354175325570466,0.0,0.0
correlated_proxy,100,0.05,mutual_info,10,perm,0.001258581372288366,0.0006325582333568291,1.1669819355010986,0.25841261191852016,0.0,0.6666666666666666,0.0,0.5,0.0,0.8072916666666666,0.07227442232488498,0.47236111111111106,0.14823049649985187,0.0,0.0
correlated_proxy,100,0.05,mutual_info,20,grad,1.5205074023564673e-06,2.600866872932511e-06,0.36284451310833293,0.5235174199807601,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.28867513459481287,0.9379340277777777,0.10750141731004755,0.82359477124183,0.30554281892996077,0.0,0.0
correlated_proxy,100,0.05,mutual_info,20,perm,1.5205074023564673e-06,2.600866872932511e-06,0.36284451310833293,0.5235174199807601,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.28867513459481287,0.9370659722222222,0.10900493363606216,0.8227777777777777,0.30695789311915106,0.0,0.0
correlated_proxy,100,0.05,mutual_info,30,grad,2.6644595418900963e-09,1.9443045872515964e-09,0.6674273709456126,0.29102035824738814,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.14433756729740643,0.89453125,0.11607545279768458,0.5225869086213913,0.14320769216161006,0.0,0.0
correlated_proxy,100,0.05,mutual_info,30,perm,2.6644595418900963e-09,1.9443045872515964e-09,0.6674273709456126,0.29102035824738814,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.2886751345948129,0.89453125,0.1198553386038364,0.5482828282828283,0.23376652445401733,0.0,0.0
correlated_proxy,100,0.05,rf,10,grad,0.000598796468693763,0.00014352537670594197,0.014707152421275774,0.005222830658990576,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896258
correlated_proxy,100,0.05,rf,10,perm,0.000598796468693763,0.00014352537670594197,0.014707152421275774,0.005222830658990576,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896258
correlated_proxy,100,0.05,rf,20,grad,4.137482401134207e-07,6.601020809465668e-07,0.3101130500435829,0.3212385337548925,1.0,1.0,1.0,0.5833333333333334,0.38188130791298663,0.9583333333333334,0.04947916666666665,0.6721629673932306,0.30568112808414216,0.3333333333333333,0.5773502691896258
correlated_proxy,100,0.05,rf,20,perm,4.137482401134207e-07,6.601020809465668e-07,0.3101130500435829,0.3212385337548925,1.0,1.0,1.0,0.75,0.4330127018922193,0.9678819444444445,0.05563010406254205,0.7980324074074074,0.349818131852742,0.3333333333333333,0.5773502691896258
correlated_proxy,100,0.05,rf,30,grad,8.809381002450323e-11,2.068987820204998e-11,0.7859992186228434,0.1649794863959839,1.0,1.0,1.0,0.3333333333333333,0.14433756729740643,0.927951388888889,0.02275233059389088,0.46665940268881445,0.08312061927152595,0.0,0.0
correlated_proxy,100,0.05,rf,30,perm,8.809381002450323e-11,2.068987820204998e-11,0.7859992186228434,0.1649794863959839,1.0,1.0,1.0,0.3333333333333333,0.14433756729740643,0.9348958333333334,0.03415332564740627,0.5068914482707586,0.12393740257839107,0.0,0.0
