function,dimension,noise,screen_method,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std
core_interaction_c5,100,0.0,correlation,10,grad,0.07081772231807311,0.05443471187873149,2.413326397538185,2.05226467615727,0.0,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.14433756729740643,0.7738715277777778,0.0796970026559942,0.5722222222222223,0.16787340909590623,0.3333333333333333,0.5773502691896258
core_interaction_c5,100,0.0,correlation,10,perm,0.07081772231807311,0.05443471187873149,2.413326397538185,2.05226467615727,0.0,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.14433756729740643,0.7712673611111112,0.08194163976779847,0.5166666666666667,0.2107328482542134,0.3333333333333333,0.5773502691896258
core_interaction_c5,100,0.0,correlation,20,grad,0.0029918551445007324,0.002109982969417319,3.640859285990397,3.034308062260243,0.0,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.2886751345948129,0.7443576388888888,0.09411399726190259,0.48518518518518516,0.23903182631559663,0.0,0.0
core_interaction_c5,100,0.0,correlation,20,perm,0.0029918551445007324,0.002109982969417319,3.640859285990397,3.034308062260243,0.0,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.2886751345948129,0.7408854166666666,0.09701176222267385,0.43214285714285716,0.28861650991569826,0.0,0.0
core_interaction_c5,100,0.0,correlation,30,grad,8.097947875285172e-05,0.00012495544647241953,2.7891875306765237,2.4378662313437927,0.0,0.6666666666666666,0.3333333333333333,0.5,0.25,0.7734375,0.10612578267853646,0.5411111111111111,0.22435297916287908,0.3333333333333333,0.5773502691896258
core_interaction_c5,100,0.0,correlation,30,perm,8.097947875285172e-05,0.00012495544647241953,2.7891875306765237,2.4378662313437927,0.0,0.6666666666666666,0.3333333333333333,0.5,0.25,0.7734375,0.08735610998812245,0.5320923520923521,0.19824155441888364,0.3333333333333333,0.5773502691896258
core_interaction_c5,100,0.0,mutual_info,10,grad,0.008595058384040991,0.0009970405873592442,0.06808733691771825,0.003363392039420934,0.0,0.75,1.0,0.75,0.0,0.8658854166666666,0.0,0.7600000000000001,0.0,0.0,0.0
core_interaction_c5,100,0.0,mutual_info,10,perm,0.008595058384040991,0.0009970405873592442,0.06808733691771825,0.003363392039420934,0.0,0.75,1.0,0.75,0.0,0.8658854166666666,0.0,0.7600000000000001,0.0,0.0,0.0
core_interaction_c5,100,0.0,mutual_info,20,grad,0.0019741461146622896,0.000318010009392391,0.11534299701452255,0.012478724392565171,0.0,0.75,1.0,0.75,0.0,0.8528645833333334,0.0,0.7600000000000001,0.0,1.0,0.0
core_interaction_c5,100,0.0,mutual_info,20,perm,0.0019741461146622896,0.000318010009392391,0.11534299701452255,0.012478724392565171,0.0,0.75,1.0,0.75,0.0,0.8528645833333334,0.0,0.7600000000000001,0.0,1.0,0.0
core_interaction_c5,100,0.0,mutual_info,30,grad,0.0010754539689514786,0.001352958393653051,0.08112000611921151,0.0686667239932469,0.3333333333333333,0.8333333333333334,1.0,0.8333333333333334,0.14433756729740646,0.8932291666666666,0.092466254049901,0.84,0.13856406460551018,1.0,0.0
core_interaction_c5,100,0.0,mutual_info,30,perm,0.0010754539689514786,0.001352958393653051,0.08112000611921151,0.0686667239932469,0.3333333333333333,0.8333333333333334,1.0,0.8333333333333334,0.14433756729740646,0.8932291666666666,0.092466254049901,0.84,0.13856406460551018,1.0,0.0
core_interaction_c5,100,0.0,rf,10,grad,0.00020461501117097214,0.000256125434155718,0.0004128557920921594,0.0005113885132083622,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,rf,10,perm,0.00020461501117097214,0.000256125434155718,0.0004128557920921594,0.0005113885132083622,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,rf,20,grad,0.0001356932225462515,0.00017843900384895635,0.0004569759330479428,0.0006216366730338952,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,rf,20,perm,0.0001356932225462515,0.00017843900384895635,0.0004569759330479428,0.0006216366730338952,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,rf,30,grad,0.00022641638664329852,0.000201426187580779,1.2477107141166925,2.159202459129392,1.0,1.0,1.0,0.8333333333333334,0.28867513459481287,0.9782986111111112,0.037587908150366243,0.8823809523809524,0.2037221664140537,0.6666666666666666,0.5773502691896258
core_interaction_c5,100,0.0,rf,30,perm,0.00022641638664329852,0.000201426187580779,1.2477107141166925,2.159202459129392,1.0,1.0,1.0,0.8333333333333334,0.28867513459481287,0.9835069444444445,0.028566810194278338,0.8916666666666666,0.18763883748662835,0.6666666666666666,0.5773502691896258
