function,dimension,noise,screen_method,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std
core_interaction,100,0.0,correlation,10,grad,0.04315752163529396,0.004425030721329575,1.105688174565633,0.0772540386743981,0.0,0.3333333333333333,0.0,0.25,0.0,0.6310763888888888,0.07141702548569588,0.29750000000000004,0.030310889132455353,0.0,0.0
core_interaction,100,0.0,correlation,10,perm,0.04315752163529396,0.004425030721329575,1.105688174565633,0.0772540386743981,0.0,0.3333333333333333,0.0,0.25,0.0,0.6310763888888888,0.07141702548569588,0.29750000000000004,0.030310889132455353,0.0,0.0
core_interaction,100,0.0,correlation,20,grad,0.0019052852876484394,0.0006084545270999527,2.0842230717341104,0.9661044429241911,0.0,0.4166666666666667,0.0,0.3333333333333333,0.14433756729740646,0.6453993055555555,0.08260108517616521,0.37333333333333335,0.12858201014657272,0.0,0.0
core_interaction,100,0.0,correlation,20,perm,0.0019052852876484394,0.0006084545270999527,2.0842230717341104,0.9661044429241911,0.0,0.4166666666666667,0.0,0.3333333333333333,0.14433756729740646,0.6410590277777778,0.07999427492354673,0.3677777777777778,0.13234354844424723,0.0,0.0
core_interaction,100,0.0,correlation,30,grad,1.2926630309569495e-05,7.996506977056272e-06,0.9696413278579712,0.15740095532198864,0.0,0.75,0.0,0.5833333333333334,0.14433756729740643,0.8250868055555557,0.010842010413886114,0.6183333333333333,0.0688446318410763,0.0,0.0
core_interaction,100,0.0,correlation,30,perm,1.2926630309569495e-05,7.996506977056272e-06,0.9696413278579712,0.15740095532198864,0.0,0.75,0.0,0.5833333333333334,0.14433756729740643,0.8198784722222223,0.018291065543147113,0.6113888888888889,0.07641413724154957,0.0,0.0
core_interaction,100,0.0,mutual_info,10,grad,0.007835300971464676,0.01356409582823223,0.2160393093207252,0.37417317565941627,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.28867513459481287,0.9526909722222223,0.08194163976779842,0.8783333333333333,0.2107328482542134,0.6666666666666666,0.5773502691896258
core_interaction,100,0.0,mutual_info,10,perm,0.007835300971464676,0.01356409582823223,0.2160393093207252,0.37417317565941627,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.14433756729740646,0.955295138888889,0.07743109078975445,0.9199999999999999,0.13856406460551018,0.6666666666666666,0.5773502691896258
core_interaction,100,0.0,mutual_info,20,grad,0.00033406412027640425,0.0005360756230896112,0.3159713756297909,0.5471846818191188,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.28867513459481287,0.94921875,0.08795570507185707,0.8866666666666667,0.1962990915244727,0.6666666666666666,0.5773502691896258
core_interaction,100,0.0,mutual_info,20,perm,0.00033406412027640425,0.0005360756230896112,0.3159713756297909,0.5471846818191188,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.28867513459481287,0.94921875,0.08795570507185707,0.8866666666666667,0.1962990915244727,0.6666666666666666,0.5773502691896258
core_interaction,100,0.0,mutual_info,30,grad,1.610502264763151e-05,7.155378375412779e-06,8.969128490813698e-05,5.924069989358503e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,mutual_info,30,perm,1.610502264763151e-05,7.155378375412779e-06,8.969128490813698e-05,5.924069989358503e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,rf,10,grad,1.3931267252094889e-05,1.060524351407195e-05,3.190354952190925e-05,2.243934805592389e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,rf,10,perm,1.3931267252094889e-05,1.060524351407195e-05,3.190354952190925e-05,2.243934805592389e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,rf,20,grad,1.513939294757923e-05,1.1739579480242886e-05,5.418937901898365e-05,4.454794857667537e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,rf,20,perm,1.513939294757923e-05,1.1739579480242886e-05,5.418937901898365e-05,4.454794857667537e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,rf,30,grad,1.9845206528164756e-05,1.3204752639893183e-05,0.27276469189867686,0.472263627800556,1.0,1.0,1.0,0.8333333333333334,0.2886751345948129,0.9826388888888888,0.030070326520293015,0.8768939393939394,0.21322595168935043,0.6666666666666666,0.5773502691896258
core_interaction,100,0.0,rf,30,perm,1.9845206528164756e-05,1.3204752639893183e-05,0.27276469189867686,0.472263627800556,1.0,1.0,1.0,0.8333333333333334,0.2886751345948129,0.984375,0.027063293868263706,0.8819444444444443,0.20447822033799248,0.6666666666666666,0.5773502691896258
