function,samples,dimension,workflow,threshold,runs,mean_full_mse,median_full_mse,mean_pruned_mse,median_pruned_mse,median_support_size,mean_support_size,contains_all_true_vars,endpoint_contains,mean_endpoint_recall,symbolic_formula_ok,errors
core_interaction_c025,1024,100,prune,0.01,30,0.00491996347263921,0.0003198200574843213,0.7670150306696694,0.6743462085723877,100.0,100.0,30,30,1.0,30,0
core_interaction_c025,1024,100,prune,0.03,30,0.00491996347263921,0.0003198200574843213,0.8118399949744344,0.6743462085723877,100.0,100.0,30,30,1.0,30,0
core_interaction_c025,1024,100,prune,0.05,30,0.00491996347263921,0.0003198200574843213,0.8443555575485031,0.6756913959980011,100.0,100.0,30,30,1.0,30,0
core_interaction_c025,1024,100,prune,0.1,30,0.00491996347263921,0.0003198200574843213,1.1982906862472495,0.520255833864212,100.0,100.0,30,30,1.0,30,0
core_interaction_c025,1024,100,prune_input,0.01,30,0.00491996347263921,0.0003198200574843213,0.03260637773976972,0.027028001844882965,4.0,12.533333333333333,28,28,0.95,30,0
core_interaction_c025,1024,100,prune_input,0.03,30,0.00491996347263921,0.0003198200574843213,0.7908756013649205,0.6674809157848358,4.0,3.7333333333333334,25,25,0.85,30,0
core_interaction_c025,1024,100,prune_input,0.05,30,0.00491996347263921,0.0003198200574843213,0.7852640783724686,0.6674809157848358,4.0,3.6666666666666665,25,25,0.8333333333333334,30,0
core_interaction_c025,1024,100,prune_input,0.1,30,0.00491996347263921,0.0003198200574843213,0.797481357647727,0.6674809157848358,4.0,3.6,24,24,0.8,30,0
