row_type,model,function,seed,samples,test_samples,dimension,noise,kan_width,kan_grid,kan_k,kan_steps,kan_lamb,intervention_method,variable,pair,baseline_mse,ablated_mse,delta_mse,synergy,is_true_active,true_variables,true_interactions,formula,is_true_interaction
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,0,,2.075822353363037,2.131986618041992,0.05616426467895508,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,1,,2.075822353363037,2.0715079307556152,-0.004314422607421875,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,2,,2.075822353363037,2.0690126419067383,-0.006809711456298828,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,3,,2.075822353363037,2.0957038402557373,0.019881486892700195,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,4,,2.075822353363037,2.142104387283325,0.06628203392028809,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,5,,2.075822353363037,2.082313060760498,0.0064907073974609375,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,33,,2.075822353363037,2.0874197483062744,0.011597394943237305,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,73,,2.075822353363037,2.1019673347473145,0.026144981384277344,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,95,,2.075822353363037,2.0922789573669434,0.01645660400390625,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,0,,2.075822353363037,2.2156941890716553,0.13987183570861816,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,1,,2.075822353363037,2.0655856132507324,-0.010236740112304688,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,2,,2.075822353363037,2.0789432525634766,0.003120899200439453,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,3,,2.075822353363037,2.071939706802368,-0.0038826465606689453,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,4,,2.075822353363037,2.153200626373291,0.0773782730102539,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,5,,2.075822353363037,2.10060977935791,0.024787425994873047,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,33,,2.075822353363037,2.0965025424957275,0.02068018913269043,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,73,,2.075822353363037,2.067605972290039,-0.008216381072998047,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,95,,2.075822353363037,2.1154677867889404,0.03964543342590332,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
pair,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,,"(2, 3)",2.075822353363037,2.090320110321045,0.014497756958007812,0.0014259815216064453,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,1.0
pair,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,,"(0, 4)",2.075822353363037,2.24647855758667,0.1706562042236328,0.04820990562438965,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.0
pair,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,,"(1, 5)",2.075822353363037,2.079838275909424,0.004015922546386719,0.0018396377563476562,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.0
pair,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,zero,,"(0, 1)",2.075822353363037,2.1223273277282715,0.046504974365234375,-0.005344867706298828,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.0
pair,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,,"(2, 3)",2.075822353363037,2.0889296531677246,0.0131072998046875,0.013869047164916992,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,1.0
pair,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,,"(0, 4)",2.075822353363037,2.2850582599639893,0.20923590660095215,-0.008014202117919922,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.0
pair,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,,"(1, 5)",2.075822353363037,2.067258834838867,-0.008563518524169922,-0.02311420440673828,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.0
pair,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,permute,,"(0, 1)",2.075822353363037,2.105128765106201,0.029306411743164062,-0.10032868385314941,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.0
single_variable,KAN,correlated_proxy,1,512,2048,100,0.05,8,5,3,50,0.0,zero,0,,1.8545145988464355,1.9466955661773682,0.09218096733093262,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,1,512,2048,100,0.05,8,5,3,50,0.0,zero,1,,1.8545145988464355,1.8427679538726807,-0.011746644973754883,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,1,512,2048,100,0.05,8,5,3,50,0.0,zero,2,,1.8545145988464355,1.8347172737121582,-0.019797325134277344,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,1,512,2048,100,0.05,8,5,3,50,0.0,zero,3,,1.8545145988464355,1.8376116752624512,-0.016902923583984375,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,1,512,2048,100,0.05,8,5,3,50,0.0,zero,4,,1.8545145988464355,1.8676154613494873,0.013100862503051758,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
single_variable,KAN,correlated_proxy,1,512,2048,100,0.05,8,5,3,50,0.0,zero,5,,1.8545145988464355,1.8354851007461548,-0.01902949810028076,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,
