function,dimension,noise,row_type,intervention_method,variable,pair,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction,20,0.0,pair,permute,,"(0, 1)",3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,1.633530894915263,0.06358291839568425,1.561477541923523,1.681765079498291,1.6334971612401812,0.06360435440330184,1.5614225588833506,1.6817595460743178,-0.02149811642448185,0.019959920798856817,-0.04064524398199865,-0.0008142390579450876
core_interaction,20,0.0,pair,permute,,"(2, 3)",3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.31155987580617267,0.030130597500103305,0.2804577946662903,0.34061455726623535,0.3115261421310909,0.030139181046416552,0.2804028116261179,0.3405738727051357,-0.30903887010693626,0.005776155104692134,-0.31496564534609206,-0.3034261487518961
core_interaction,20,0.0,pair,zero,,"(0, 1)",3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.9729760487874349,0.03865339988716645,0.9349794387817383,1.0122543573379517,0.9729423151123532,0.038659852702269126,0.9349244557415659,1.012213672776852,-0.008381150733233275,0.017351015690415188,-0.02547575024073012,0.009215389112796402
core_interaction,20,0.0,pair,zero,,"(2, 3)",3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.15206021070480347,0.008146630230751857,0.14324039220809937,0.15930308401584625,0.15202647702972172,0.008157804427387953,0.143185409167927,0.15926239945474663,-0.15195694324453748,0.008082683107725459,-0.1590626344877819,-0.14316371307722875
core_interaction,20,0.0,single_variable,permute,0,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,1.411051591237386,0.042962476579539,1.3614921569824219,1.4377473592758179,1.4110178575623042,0.04298008084915181,1.3614371739422495,1.4377066747147182,,,,
core_interaction,20,0.0,single_variable,permute,1,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.2440111537774404,0.00415553354807837,0.2406856119632721,0.2486695945262909,0.24397742010235865,0.004180957581828125,0.24063062892309972,0.24866406110231765,,,,
core_interaction,20,0.0,single_variable,permute,2,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.30637475848197937,0.021397923583205046,0.29061785340309143,0.33073535561561584,0.3063410248068976,0.021396136367186548,0.29056287036291906,0.3306946710545162,,,,
core_interaction,20,0.0,single_variable,permute,3,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.31425772110621136,0.01912433404610275,0.29332107305526733,0.3308073878288269,0.3142239874311296,0.019147373242498437,0.29326609001509496,0.33080185440485366,,,,
core_interaction,20,0.0,single_variable,permute,4,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,3.339977486878828e-05,2.5185884345954837e-05,5.445787337521324e-06,5.432368925539777e-05,-3.3390021296024014e-07,2.93968120095131e-07,-6.593509169761091e-07,-8.763663572608493e-08,,,,
core_interaction,20,0.0,single_variable,permute,5,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,3.3746792723832186e-05,2.5354436589867847e-05,5.524741027329583e-06,5.460202373797074e-05,1.3117642083670944e-08,4.054741551617796e-07,-3.8101643440313637e-07,4.2905230657197535e-07,,,,
core_interaction,20,0.0,single_variable,zero,0,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.7042332291603088,0.02618104517985682,0.6745564341545105,0.7240629196166992,0.7041994954852271,0.026195767677558192,0.6745014511143381,0.7240222350555996,,,,
core_interaction,20,0.0,single_variable,zero,1,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.2771577040354411,0.0070533114037627555,0.26936107873916626,0.2830953001976013,0.27712397036035935,0.007076018827789509,0.2693060956989939,0.28308976677362807,,,,
core_interaction,20,0.0,single_variable,zero,2,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.1520281434059143,0.008064435841429822,0.14327862858772278,0.15916326642036438,0.15199440973083256,0.008075743028042648,0.1432236455475504,0.15912258185926476,,,,
core_interaction,20,0.0,single_variable,zero,3,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,0.1520227442185084,0.008153238481093996,0.1431804597377777,0.1592431366443634,0.15198901054342664,0.008164520062530801,0.14312547669760534,0.15920245208326378,,,,
core_interaction,20,0.0,single_variable,zero,4,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,3.4173661939955004e-05,2.5762182781880192e-05,5.402460374170914e-06,5.510552364285104e-05,4.399868582064907e-07,7.79789414075496e-07,-1.3096359907649457e-07,1.3284407032188028e-06,,,,
core_interaction,20,0.0,single_variable,zero,5,,3.3733675081748515e-05,2.5447047920836575e-05,5.533423973247409e-06,5.4983040172373876e-05,3.318103244964732e-05,2.5087856268557312e-05,5.265869731374551e-06,5.3843708883505315e-05,-5.526426321011968e-07,5.081543520422174e-07,-1.1393312888685614e-06,-2.5104236556217074e-07,,,,
