function,dimension,noise,row_type,intervention_method,variable,pair,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
correlated_proxy,100,0.05,pair,permute,,"(0, 1)",1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,2.0270813703536987,0.09598674196699904,1.919904112815857,2.105128765106201,0.07353925704956055,0.04882058214649379,0.029306411743164062,0.1259218454360962,-0.024072925249735515,0.06626272852177306,-0.10032868385314941,0.019490361213684082
correlated_proxy,100,0.05,pair,permute,,"(0, 4)",1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,2.1815896034240723,0.1041922509647615,2.076688528060913,2.2850582599639893,0.22804749011993408,0.022335294350613853,0.20923590660095215,0.25273263454437256,0.0900803009668986,0.10096465707210552,-0.008014202117919922,0.19368910789489746
correlated_proxy,100,0.05,pair,permute,,"(1, 5)",1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9459861119588215,0.11633883631060929,1.8353055715560913,2.067258834838867,-0.007556001345316569,0.012188056792057207,-0.01920902729034424,0.005104541778564453,-0.007383426030476888,0.018309236083268,-0.02311420440673828,0.012714505195617676
correlated_proxy,100,0.05,pair,permute,,"(2, 3)",1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9521408478418987,0.13086224491953113,1.8281447887420654,2.0889296531677246,-0.0014012654622395833,0.02171794023590209,-0.026369810104370117,0.0131072998046875,0.032044450441996254,0.01880179501366828,0.013869047164916992,0.05141556262969971
correlated_proxy,100,0.05,pair,zero,,"(0, 1)",1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,2.061587333679199,0.05352118770380388,2.0213427543640137,2.1223273277282715,0.10804522037506104,0.06020896156776971,0.046504974365234375,0.16682815551757812,0.026989976565043133,0.051512579825958034,-0.005344867706298828,0.08639383316040039
correlated_proxy,100,0.05,pair,zero,,"(0, 4)",1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,2.1334384282430015,0.11986195163171043,2.0077567100524902,2.24647855758667,0.17989631493886313,0.03228179078330735,0.1532421112060547,0.21579062938690186,0.04504652818044027,0.005264429279443311,0.03896939754486084,0.04820990562438965
correlated_proxy,100,0.05,pair,zero,,"(1, 5)",1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.970176378885905,0.11231219668820693,1.8553893566131592,2.079838275909424,0.016634265581766765,0.02462607445797841,0.0008747577667236328,0.04501211643218994,0.01541141668955485,0.015083611637124513,0.0018396377563476562,0.03165090084075928
correlated_proxy,100,0.05,pair,zero,,"(2, 3)",1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9177432854970295,0.1496483620072964,1.823867917060852,2.090320110321045,-0.03579882780710856,0.05306059174901412,-0.09124755859375,0.014497756958007812,0.003346125284830729,0.0024121598524020384,0.0014259815216064453,0.006053566932678223
correlated_proxy,100,0.05,single_variable,permute,0,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,2.0506696701049805,0.1596072892016949,1.8970963954925537,2.2156941890716553,0.09712755680084229,0.04970708344805846,0.042581796646118164,0.13987183570861816,,,,
correlated_proxy,100,0.05,single_variable,permute,1,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.954026738802592,0.10472553219590786,1.8578319549560547,2.0655856132507324,0.00048462549845377606,0.009622957067133592,-0.010236740112304688,0.008373260498046875,,,,
correlated_proxy,100,0.05,single_variable,permute,2,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9407235781351726,0.13180630465105683,1.8164377212524414,2.0789432525634766,-0.012818535168965658,0.02212342059250478,-0.03807687759399414,0.003120899200439453,,,,
