function,dimension,noise,row_type,intervention_method,variable,pair,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction,100,0.0,pair,permute,,"(0, 1)",1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,2.502237876256307,0.4890709546688253,2.0797667503356934,3.038017749786377,0.9505259990692139,0.43731890774808685,0.44649648666381836,1.2292524576187134,0.06237260500590006,0.10758250420266462,-0.06015312671661377,0.14137184619903564
core_interaction,100,0.0,pair,permute,,"(0, 79)",1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,2.29392417271932,0.42596565985703605,1.9829864501953125,2.7794461250305176,0.7422122955322266,0.4837242422771613,0.18792486190795898,1.079048752784729,-0.016045371691385906,0.0313717539167842,-0.04668474197387695,0.016010761260986328
core_interaction,100,0.0,pair,permute,,"(0, 91)",1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,2.317935069402059,0.36954572462837215,2.085960865020752,2.744091510772705,0.7662231922149658,0.5424967065895229,0.15257024765014648,1.1820231676101685,-0.023838400840759277,0.05815963085178633,-0.0763850212097168,0.03865206241607666
core_interaction,100,0.0,pair,permute,,"(2, 3)",1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,1.5679907004038494,0.9081171321675188,0.9131875038146973,2.6046886444091797,0.016278823216756184,0.008997695586954065,0.00924980640411377,0.02641928195953369,0.0032329161961873374,0.03994462804262074,-0.04285073280334473,0.027946949005126953
core_interaction,100,0.0,pair,zero,,"(0, 1)",1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,2.098146994908651,0.5871300946519823,1.7299771308898926,2.775243043899536,0.5464351177215576,0.3291250883710216,0.18372178077697754,0.8260394334793091,0.017857591311136883,0.02728832126045803,-0.011753559112548828,0.04199254512786865
core_interaction,100,0.0,pair,zero,,"(0, 79)",1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,1.9644722143809001,0.6066099591077269,1.5451152324676514,2.660031795501709,0.41276033719380695,0.30339704780022975,0.06851053237915039,0.6411775350570679,0.0007369120915730795,0.01316638136332634,-0.008349418640136719,0.015836238861083984
core_interaction,100,0.0,pair,zero,,"(0, 91)",1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,1.9589175780614216,0.5953661399369695,1.5562342405319214,2.6427998542785645,0.4072057008743286,0.31546656445078286,0.05127859115600586,0.6522965431213379,0.004480878512064616,0.014035304454517247,-0.007471799850463867,0.01993560791015625
core_interaction,100,0.0,pair,zero,,"(2, 3)",1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,1.5530864993731182,0.935933993452204,0.9319674372673035,2.6295642852783203,0.0013746221860249837,0.05506784334226852,-0.06194889545440674,0.03804302215576172,0.005478700002034505,0.003039238630902351,0.002275228500366211,0.008321523666381836
core_interaction,100,0.0,single_variable,permute,0,,1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,2.331274429957072,0.4167273572957508,2.034205436706543,2.8076415061950684,0.7795625527699789,0.49280749171898885,0.21612024307250977,1.1302677392959595,,,,
core_interaction,100,0.0,single_variable,permute,1,,1.551711877187093,0.9095346474798842,0.9039376974105835,2.5915212631225586,1.660302718480428,0.922469814279071,1.0096521377563477,2.715998411178589,0.10859084129333496,0.014661276791058404,0.09558093547821045,0.12447714805603027,,,,
