function,samples,dimension,noise,nuisance_correlation,n_correlated_proxies,width_hidden,grid,k,lamb,probe_steps,method,top_m,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,true_endpoint_rank_mean_mean,true_endpoint_rank_mean_std,true_endpoint_rank_worst_mean,true_endpoint_rank_worst_std,true_endpoint_score_mean_mean,true_endpoint_score_mean_std,max_nuisance_score_mean,max_nuisance_score_std,endpoint_minus_max_nuisance_mean,endpoint_minus_max_nuisance_std,num_support_evals
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.433333333333334,4.229888180908392,26.4,8.294576541331088,0.013312850374766852,0.00025364319091006283,0.015985525189468337,0.0002731809489876396,-0.0026726748147014845,0.0003556164710975757,30
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.433333333333334,4.229888180908392,26.4,8.294576541331088,0.013312850374766852,0.00025364319091006283,0.015985525189468337,0.0002731809489876396,-0.0026726748147014845,0.0003556164710975757,30
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,10,0.0,0.0,0.5833333333333334,0.11986582537134605,0.0,0.0,0.16666666666666666,0.2397316507426921,0.0,0.0,19.433333333333334,4.229888180908392,26.4,8.294576541331088,0.013312850374766852,0.00025364319091006283,0.015985525189468337,0.0002731809489876396,-0.0026726748147014845,0.0003556164710975757,30
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,20,0.1,0.30512857662936466,0.7583333333333333,0.10346024834933344,0.1,0.30512857662936466,0.5166666666666667,0.20692049669866683,0.1,0.30512857662936466,19.433333333333334,4.229888180908392,26.4,8.294576541331088,0.013312850374766852,0.00025364319091006283,0.015985525189468337,0.0002731809489876396,-0.0026726748147014845,0.0003556164710975757,30
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.433333333333334,4.229888180908392,26.4,8.294576541331088,0.013312850374766852,0.00025364319091006283,0.015985525189468337,0.0002731809489876396,-0.0026726748147014845,0.0003556164710975757,30
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.433333333333334,4.229888180908392,26.4,8.294576541331088,0.013312850374766852,0.00025364319091006283,0.015985525189468337,0.0002731809489876396,-0.0026726748147014845,0.0003556164710975757,30
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,10,0.0,0.0,0.5833333333333334,0.11986582537134605,0.0,0.0,0.16666666666666666,0.2397316507426921,0.0,0.0,19.433333333333334,4.229888180908392,26.4,8.294576541331088,0.013312850374766852,0.00025364319091006283,0.015985525189468337,0.0002731809489876396,-0.0026726748147014845,0.0003556164710975757,30
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,20,0.1,0.30512857662936466,0.7583333333333333,0.10346024834933344,0.1,0.30512857662936466,0.5166666666666667,0.20692049669866683,0.1,0.30512857662936466,19.433333333333334,4.229888180908392,26.4,8.294576541331088,0.013312850374766852,0.00025364319091006283,0.015985525189468337,0.0002731809489876396,-0.0026726748147014845,0.0003556164710975757,30
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.966666666666665,5.307660913040329,36.7,10.021184457489767,0.016659479294120236,0.0002883677043225266,0.02030964140451932,0.00045333094092641594,-0.0036501621103990894,0.00045618450639699605,30
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.966666666666665,5.307660913040329,36.7,10.021184457489767,0.016659479294120236,0.0002883677043225266,0.02030964140451932,0.00045333094092641594,-0.0036501621103990894,0.00045618450639699605,30
