model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_best_rank_mean,true_interaction_best_rank_std,true_interaction_worst_rank_mean,true_interaction_worst_rank_std,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,source_file
KAN_tuned_fixed,core_interaction_c025,random,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.215632101893425,0.0609427301759742,2.1222337990999223,0.6781109985896645,6.0,0.0,0.125,0.0,0.2,0.0,0.0,0.15,0.1,0.0,0.1,0.1290994448735805,0.534765625,0.0696450282415576,0.09625,0.0794184592312559,0.0,0.0,212.5,1.5811388300841902,212.5,1.5811388300841902,212.5,1.5811388300841902,0.0,0.0,98.65868587493895,36.91486141572946,-98.65868587493895,36.91486141572946,0.0,c025_n1024_d100_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,rf,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0104683914221823,0.0005390306825287,0.0124327315948903,0.0005461402971189,6.0,0.0,0.525,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.525,0.0790569415042094,0.752734375,0.0415872452704435,0.544,0.0758946638440411,0.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0,0.0,0.0,0.5108917683362961,0.2723488159604946,-0.5108917683362961,0.2723488159604946,0.0,c025_n1024_d100_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,1000,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.6325758546590805,0.0854362192184192,1.4376211613416672,0.1138887204619369,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4969879518072289,0.0,0.004,0.0,0.0,0.0,2013.0,0.0,2013.0,0.0,2013.0,0.0,0.0,0.0,96.5339584350586,17.83893941220916,-96.5339584350586,17.83893941220916,0.0,c025_n2048_d1000_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,oracle_support,1000,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0030565095003112,0.0051318344954503,0.003271027617302,0.0054720839701803,6.0,1.0,1.0,1.0,1.0,1.0,0.75,0.875,0.5,0.5,0.9375,0.1157275124715689,0.9998744979919678,0.0002323845631959,0.9755208333333332,0.0459920142740468,0.5,0.5345224838248488,4.5,5.903993805649092,4.5,5.903993805649092,4.5,5.903993805649092,0.2072353010298684,0.1275209728567557,0.3827116135507822,0.2884502536922658,-0.1754763125209137,0.3609388987284558,0.5,c025_n2048_d1000_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,random,1000,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.7156267911195755,0.0924115296253203,1.3276512771844864,0.1225428462978301,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4969879518072289,0.0,0.004,0.0,0.0,0.0,2013.0,0.0,2013.0,0.0,2013.0,0.0,0.0,0.0,79.28103923797607,44.19299032274776,-79.28103923797607,44.19299032274776,0.0,c025_n2048_d1000_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,rf,1000,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0114379179431125,0.0004142575081119,0.0122037740657106,0.0003139868736023,6.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.748995983935743,0.0,0.502,0.0,0.0,0.0,2004.0,0.0,2004.0,0.0,2004.0,0.0,0.0,0.0,0.4368127733469009,0.2024157880365553,-0.4368127733469009,0.2024157880365553,0.0,c025_n2048_d1000_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,100,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.5774425283074379,0.1686335913109794,1.34301051646471,0.41888920737025,6.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0790569415042094,0.482421875,0.0432342648851145,0.064,0.0758946638440411,0.0,0.0,212.5,1.5811388300841902,212.5,1.5811388300841902,212.5,1.5811388300841902,0.0,0.0,79.33809933662414,40.4912609788902,-79.33809933662414,40.4912609788902,0.0,c025_n2048_d100_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0003420755630941,0.0005498321746509,0.0003558527881978,0.0005472918705146,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.4216370213557839,1.2,0.4216370213557839,1.2,0.4216370213557839,1.2,0.4216370213557839,0.2843514382839203,0.0068637114013634,0.1574111787602305,0.1376202446804369,0.1269402595236897,0.1349357721873481,0.8,c025_n2048_d100_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,random,100,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.6280028313398361,0.190689683471766,1.2812422424554826,0.4104818951289466,6.0,0.0,0.125,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.1,0.1290994448735805,0.533984375,0.0688463009686782,0.0891666666666666,0.0768596604689833,0.0,0.0,212.5,1.5811388300841902,212.5,1.5811388300841902,212.5,1.5811388300841902,0.0,0.0,72.78983798027039,34.10574777129094,-72.78983798027039,34.10574777129094,0.0,c025_n2048_d100_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,rf,100,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0101076945822569,0.0034991491403702,0.0106722543830983,0.0036902309627606,6.0,0.1,0.625,0.1,0.25,0.1,0.1,0.2,0.15,0.1,0.6,0.1748014746950252,0.804296875,0.0917741447265373,0.62375,0.1603695818345168,0.1,0.3162277660168379,183.7,64.1942365014181,183.7,64.1942365014181,183.7,64.1942365014181,0.028128969669342,0.0889516123889142,0.4369814231991767,0.2794314157592394,-0.4088524535298347,0.3262068636050801,0.1,c025_n2048_d100_top6_screen_summary.csv
