function,samples,dimension,noise,nuisance_correlation,n_correlated_proxies,width_hidden,grid,k,lamb,probe_steps,method,top_m,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,true_endpoint_rank_mean_mean,true_endpoint_rank_mean_std,true_endpoint_rank_worst_mean,true_endpoint_rank_worst_std,true_endpoint_score_mean_mean,true_endpoint_score_mean_std,max_nuisance_score_mean,max_nuisance_score_std,endpoint_minus_max_nuisance_mean,endpoint_minus_max_nuisance_std,num_support_evals,setting
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,edge_stability_var,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0551902211590521,0.0008648986700621,0.0028144681804814,0.0001167745228414,0.0523757529785706,0.0009640211737448,30,clean_w16_n1024
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,edge_stability_var,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0551902211590521,0.0008648986700621,0.0028144681804814,0.0001167745228414,0.0523757529785706,0.0009640211737448,30,clean_w16_n1024
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0941051353651559,0.0021600130151556,0.0047525740520262,0.000131914597147,0.0893525613131296,0.0021901613903663,30,clean_w16_n1024
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0941051353651559,0.0021600130151556,0.0047525740520262,0.000131914597147,0.0893525613131296,0.0021901613903663,30,clean_w16_n1024
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0941051353651559,0.0021600130151556,0.0047525740520262,0.000131914597147,0.0893525613131296,0.0021901613903663,30,clean_w16_n1024
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0941051353651559,0.0021600130151556,0.0047525740520262,0.000131914597147,0.0893525613131296,0.0021901613903663,30,clean_w16_n1024
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.1061409879090034,0.0016119076552578,0.0037476156162803,0.0002268705335488,0.102393372292723,0.0018215228546101,30,clean_w16_n1024
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.1061409879090034,0.0016119076552578,0.0037476156162803,0.0002268705335488,0.102393372292723,0.0018215228546101,30,clean_w16_n1024
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.1061409879090034,0.0016119076552578,0.0037476156162803,0.0002268705335488,0.102393372292723,0.0018215228546101,30,clean_w16_n1024
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.1061409879090034,0.0016119076552578,0.0037476156162803,0.0002268705335488,0.102393372292723,0.0018215228546101,30,clean_w16_n1024
