setting,Edge,Edge-pair,Edge-pair hybrid,Endpoint-mass,Feature,Feature+edge,Grad
clean_w16_n1024,4.0,4.0,4.0,4.0,4.0,4.0,4.0
clean_w16_n512,4.0,4.0,4.0,4.0,4.0,4.0,4.0
clean_w16_n768,4.0,4.0,4.0,4.0,4.0,4.0,4.0
gridupdate_w16_n1024,4.0,4.0,4.0,4.0,4.0,4.0,4.0
gridupdate_w16_n512,55.13333333333333,26.4,36.7,26.4,59.46666666666667,36.7,78.8
gridupdate_w16_n768,4.0,6.066666666666666,4.0,6.066666666666666,4.0,4.0,4.2
noise005_w16_n512,4.2,5.466666666666667,4.0,5.466666666666667,4.0,4.0,7.233333333333333
noise010_w16_n1024,4.0,4.0,4.0,4.0,4.0,4.0,4.0
noise010_w16_n512,16.966666666666665,20.83333333333333,12.833333333333334,20.83333333333333,7.133333333333334,12.833333333333334,47.833333333333336
