model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,screen_endpoint_recall_mean,screen_contains_all_endpoints_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,true_interaction_rank_lower_bound_mean,true_interaction_rank_lower_bound_std,num_rows,failure_stage_interaction_ranking_misses_pair_count,failure_stage_screen_misses_endpoint_count,failure_stage_variable_ranking_misses_endpoint_count,num_failed,failure_stage_recovered_count
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00015653641021341888,0.0001239344603953898,2.3966655790805818,0.7255399007217871,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.5057291666666667,0.05600203080842881,0.0755,0.0804311299601508,0.0,0.0,0.0,0.0,34.042666816711424,8.652689894098724,-34.042666816711424,8.652689894098724,0.0,2.0,0.0,10,0.0,10,0.0,0,0.0
KAN_tuned_fixed,core_interaction_c01,oracle_support,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0008543367643141699,0.00041273079613647905,0.00207283424679185,0.0010052542771987686,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.4216370213557839,0.036426274699624575,0.03813832640197502,0.38127714097499843,0.35981721549033946,-0.34485086627537387,0.37513484418893284,0.2,1.8,0.4216370213557839,10,8.0,0,0.0,0,2.0
KAN_tuned_fixed,core_interaction_c01,random,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00011154005587739381,6.536784857276148e-05,2.6112703144550324,0.7816963370584523,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.50546875,0.05546324796655889,0.07133333333333333,0.07685484153042453,0.0,0.0,0.0,0.0,43.47160320281982,18.540761182263275,-43.47160320281982,18.540761182263275,0.0,2.0,0.0,10,0.0,10,0.0,0,0.0
KAN_tuned_fixed,core_interaction_c01,raw,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,2.4322444733115845e-05,1.918117430032233e-05,1.2457589626312255,0.8965532765281509,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.1767766952966369,0.6799479166666667,0.12271524270382864,0.4229417455412722,0.16737744447168929,0.0,0.0,0.01947501348331566,0.033859202057136814,1.9016849279403687,1.5851595122998345,-1.882209914457053,1.5586727186688698,0.0,2.0,0.0,10,0.0,0,10.0,0,0.0
KAN_tuned_fixed,core_interaction_c01,rf,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00129604436806398,0.0004758280881707322,0.04620332403574135,0.13588959532472167,4.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.07905694150420949,0.731640625,0.04158724527044352,0.496,0.07589466384404109,0.0,0.0,0.0,0.0,2.0867721170186995,3.4904621139191305,-2.0867721170186995,3.4904621139191305,0.0,2.0,0.0,10,0.0,10,0.0,0,0.0
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00012490574008550468,6.164248020175978e-05,2.287449711561203,0.9002659830595962,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,47.349541664123535,21.302633249924934,-47.349541664123535,21.302633249924934,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,oracle_support,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00083270204195283,0.0004780857049984352,0.00204274111310945,0.0010957706236987149,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.03498336034826931,0.03547255511939927,0.6011489361524582,0.2406124005940038,-0.5661655758041888,0.26187595141767084,0.0,2.0,0.0,10,10.0,0,0.0,0,
KAN_tuned_fixed,core_interaction_c01,random,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00014397563718372895,0.0001009362936122328,2.3101872205734253,0.9603241815963276,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,48.26954822540283,22.015244928921536,-48.26954822540283,22.015244928921536,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,raw,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,7.35932630050137e-05,7.160548341045694e-05,0.27676853761076925,0.5297850141319428,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,0.0,0.0,0.55,0.10540925533894596,0.763586956521739,0.13369638859229252,0.6020004970035405,0.1110178678642964,0.0,0.0,0.030299145332537546,0.08689570704712402,1.6007352352142334,1.3247268464240238,-1.5704360898816958,1.2495783801599725,0.0,2.0,0.0,10,0.0,0,10.0,0,
KAN_tuned_fixed,core_interaction_c01,rf,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00135290553444059,0.00043831038728584816,0.04891864720266309,0.1438073530108164,4.0,0.0,0.5,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.5,0.11785113019775796,0.7385869565217391,0.0640597743860524,0.54,0.10842303978193729,0.0,0.0,0.0,0.0,1.6536552846431731,3.0446905678764415,-1.6536552846431731,3.0446905678764415,0.0,2.0,0.0,10,0.0,10,0.0,0,
