model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,screen_endpoint_recall_mean,screen_contains_all_endpoints_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,true_interaction_rank_lower_bound_mean,true_interaction_rank_lower_bound_std,num_rows,failure_stage_interaction_ranking_misses_pair_count,failure_stage_screen_misses_endpoint_count,failure_stage_variable_ranking_misses_endpoint_count,num_failed,interaction_strength,test_mse,variable_f1,explain_interaction_endpoint_recall,interaction_f1,true_interaction_mean_score_margin,true_interaction_beats_all_false,failure_stage_recovered_count
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4406841643154621,0.1234693375242657,1.5679109334945678,0.5100109139328776,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.5057291666666667,0.0560020308084288,0.0755,0.0804311299601508,0.0,0.0,0.0,0.0,112.5771276473999,60.10549652763092,-112.5771276473999,60.10549652763092,0.0,2.0,0.0,10,0.0,10,0.0,0,0.1,1.5679109334945678,0.05,0.0,0.0,-112.5771276473999,0.0,
KAN_tuned_fixed,core_interaction_c01,oracle_support,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0018189276393968,0.0005458339181189,0.0020071696839294,0.0006184217552568,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0093721771845593,0.0255734383183003,0.2420670375227928,0.1610028452259697,-0.2326948603382334,0.1706340420825468,0.0,2.0,0.0,10,10.0,0,0.0,0,0.1,0.0020071696839294,1.0,1.0,0.0,-0.2326948603382334,0.0,
KAN_tuned_fixed,core_interaction_c01,random,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4710478693246841,0.1330214901365508,1.471313139796257,0.4573718900701521,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.50546875,0.0554632479665588,0.0713333333333333,0.0768548415304245,0.0,0.0,0.0,0.0,101.29057579040528,48.68702128641688,-101.29057579040528,48.68702128641688,0.0,2.0,0.0,10,0.0,10,0.0,0,0.1,1.471313139796257,0.05,0.0,0.0,-101.29057579040528,0.0,
KAN_tuned_fixed,core_interaction_c01,raw,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0010509803716558,0.0003080394503652,0.0024941804440458,0.0007732917549291,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.55,0.1581138830084189,0.8184895833333334,0.1125198911813299,0.6093891405286126,0.1426440277514321,0.0,0.0,0.0091726904385722,0.0244155453060132,0.2647381655871868,0.1646851839467846,-0.2555654751486145,0.1744916939659418,0.0,2.0,0.0,10,1.0,0,9.0,0,0.1,0.0024941804440458,0.55,0.1,0.0,-0.2555654751486145,0.0,
KAN_tuned_fixed,core_interaction_c01,rf,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.002033032325562,0.0001029708054083,0.0022127444157376,0.0001562627413484,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.2857668384909629,0.1948280423363631,-0.2857668384909629,0.1948280423363631,0.0,2.0,0.0,10,0.0,10,0.0,0,0.1,0.0022127444157376,0.5,0.0,0.0,-0.2857668384909629,0.0,
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4312687188386917,0.1754872834751664,1.4160726457834245,0.6818477100621674,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,126.39641604423522,88.23047148181013,-126.39641604423522,88.23047148181013,0.0,2.0,0.0,10,0.0,10,0.0,0,0.1,1.4160726457834245,0.05,0.0,0.0,-126.39641604423522,0.0,
KAN_tuned_fixed,core_interaction_c01,oracle_support,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0017507199896498,0.0007089731764463,0.0018886006670072,0.0007444517733457,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0162897049915044,0.0315945025613653,0.3815990820527076,0.2283614867968877,-0.3653093770612031,0.2227093709630022,0.0,2.0,0.0,10,10.0,0,0.0,0,0.1,0.0018886006670072,1.0,1.0,0.0,-0.3653093770612031,0.0,
KAN_tuned_fixed,core_interaction_c01,random,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.432253535091877,0.1740206067531016,1.3947184890508653,0.6641699101137175,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,101.65285778045654,52.53155419646144,-101.65285778045654,52.53155419646144,0.0,2.0,0.0,10,0.0,10,0.0,0,0.1,1.3947184890508653,0.05,0.0,0.0,-101.65285778045654,0.0,
KAN_tuned_fixed,core_interaction_c01,raw,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0013440395880024,0.0003873506294087,0.0022232118702958,0.0006939232393759,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.55,0.1581138830084189,0.7565217391304349,0.1421333910844444,0.6247333906049539,0.1417510930356383,0.0,0.0,0.0097732482594437,0.0261974809986946,0.2305575743317603,0.1215440395353509,-0.2207843260723166,0.1280354066085016,0.0,2.0,0.0,10,1.0,0,9.0,0,0.1,0.0022232118702958,0.55,0.1,0.0,-0.2207843260723166,0.0,
KAN_tuned_fixed,core_interaction_c01,rf,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.002063189076984,0.0001377060352696,0.0021950738996059,0.000151144563006,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.1581138830084189,0.7391304347826088,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.3106819767918851,0.2197677223731506,-0.3106819767918851,0.2197677223731506,0.0,2.0,0.0,10,0.0,10,0.0,0,0.1,0.0021950738996059,0.45,0.0,0.0,-0.3106819767918851,0.0,
