model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,function_tag,c,n,d,test_mse,variable_f1,interaction_f1
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0001565364102134,0.0001239344603954,2.3966655790805818,0.7255399007217871,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.5057291666666667,0.0560020308084288,0.0755,0.0804311299601508,0.0,0.0,0.0,0.0,34.042666816711424,8.652689894098726,core_interaction_c01,0.1,128,100,2.3966655790805818,0.05,0.0
KAN_tuned_fixed,core_interaction_c01,oracle_support,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0008543367643142,0.0004127307961364,0.0020728342467918,0.0010052542771987,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.4216370213557839,0.0364262746996246,0.038138326401975,0.3812771409749985,0.3598172154903394,core_interaction_c01,0.1,128,100,0.0020728342467918,1.0,0.2
KAN_tuned_fixed,core_interaction_c01,random,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0001115400558774,6.536784857279142e-05,2.6112703144550324,0.7816963370584523,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.50546875,0.0554632479665588,0.0713333333333333,0.0768548415304245,0.0,0.0,0.0,0.0,43.47160320281982,18.540761182263275,core_interaction_c01,0.1,128,100,2.6112703144550324,0.05,0.0
KAN_tuned_fixed,core_interaction_c01,raw,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,2.4322444733115845e-05,1.918117430032233e-05,1.2457589626312255,0.8965532765281509,100.0,1.0,1.0,1.0,1.0,1.0,0.375,0.1767766952966369,0.6799479166666667,0.1227152427038286,0.4229417455412722,0.1673774444716892,0.0,0.0,0.0194750134833157,0.0338592020571368,1.9016849279403687,1.5851595122998343,core_interaction_c01,0.1,128,100,1.2457589626312255,0.375,0.0
KAN_tuned_fixed,core_interaction_c01,rf,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.001296044368064,0.0004758280881707,0.0462033240357413,0.1358895953247216,4.0,0.0,0.475,0.0,0.0,0.0,0.475,0.0790569415042094,0.731640625,0.0415872452704435,0.496,0.075894663844041,0.0,0.0,0.0,0.0,2.0867721170186995,3.4904621139191305,core_interaction_c01,0.1,128,100,0.0462033240357413,0.475,0.0
KAN_tuned_fixed,core_interaction_c05,exclude_interaction,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0001110237346438,9.18782044645234e-05,2.424402952194214,1.017814066452679,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,42.868225479125975,15.24464016327964,core_interaction_c05,0.5,128,50,2.424402952194214,0.05,0.0
KAN_tuned_fixed,core_interaction_c05,oracle_support,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0002850145712727,0.0001389050251811,0.0011120503622805,0.0008576222469152,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5553703844547272,0.041069754707797,0.2856664732098579,0.1194269875348605,core_interaction_c05,0.5,128,50,0.0011120503622805,1.0,1.0
KAN_tuned_fixed,core_interaction_c05,random,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0001039541599311,6.225076601495066e-05,2.246931701898575,0.8540442897619778,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,40.218247985839845,13.561381714983565,core_interaction_c05,0.5,128,50,2.246931701898575,0.05,0.0
KAN_tuned_fixed,core_interaction_c05,raw,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,4.448105701158056e-05,2.6382601163216307e-05,0.5443037137389183,0.5696030105588297,50.0,1.0,1.0,1.0,1.0,1.0,0.475,0.1419115530493866,0.7320652173913043,0.1250406886098422,0.5600689003447832,0.1259253354955511,0.0,0.0,0.0319543841294944,0.0459376021471137,2.393283879756928,1.0829135854254208,core_interaction_c05,0.5,128,50,0.5443037137389183,0.475,0.0
KAN_tuned_fixed,core_interaction_c05,rf,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.000532215925341,0.0002189315610743,0.2276945635676384,0.1226677376608095,4.0,0.0,0.475,0.0,0.0,0.0,0.475,0.0790569415042094,0.7247282608695652,0.0436675003046974,0.5086666666666667,0.0745554727603448,0.0,0.0,0.0,0.0,11.832675695419312,8.00447254412792,core_interaction_c05,0.5,128,50,0.2276945635676384,0.475,0.0
KAN_tuned_fixed,core_interaction_c05,exclude_interaction,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4200618416070938,0.158674233261798,1.43063285946846,0.6371911467802708,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,130.7139497756958,81.26850734553072,core_interaction_c05,0.5,1024,50,1.43063285946846,0.05,0.0
KAN_tuned_fixed,core_interaction_c05,oracle_support,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0003581863740691,0.0004397763762882,0.0004038694460177,0.0004871162997404,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5898162424564362,0.0123689572646465,0.2193267412483692,0.0994753712181091,core_interaction_c05,0.5,1024,50,0.0004038694460177,1.0,1.0
KAN_tuned_fixed,core_interaction_c05,random,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4476822063326836,0.1704437097889381,1.404418334364891,0.6227628019097248,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,85.76078338623047,40.223417354594176,core_interaction_c05,0.5,1024,50,1.404418334364891,0.05,0.0
KAN_tuned_fixed,core_interaction_c05,raw,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.000179227891931,5.842045211847966e-05,0.0002269997057737,7.827833564993378e-05,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5834800064563751,0.0142920881604513,0.1671813689172268,0.0506077311876997,core_interaction_c05,0.5,1024,50,0.0002269997057737,1.0,1.0
KAN_tuned_fixed,core_interaction_c05,rf,50,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0194374850849271,0.0200258239754119,0.0258821502116916,0.0268423677060928,4.0,0.5,0.875,0.5,0.75,0.5,0.875,0.1317615691736824,0.9350543478260868,0.0684874859594019,0.8724999999999999,0.1363207003111901,0.5,0.5270462766947299,0.2931539416313171,0.3090939245491483,1.0327851198613645,1.2627704634703,core_interaction_c05,0.5,1024,50,0.0258821502116916,0.875,0.5
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.006078218712355,0.0073339813811766,3.108531194925308,1.387637816416249,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,86.4261260986328,26.15129949601309,core_interaction_c01,0.1,256,50,3.108531194925308,0.05,0.0
KAN_tuned_fixed,core_interaction_c01,oracle_support,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0015511802979744,0.0009640730415938,0.0023561545938719,0.0014072751573056,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0223106397199444,0.0336866394876455,0.4746079329401255,0.3115506302728938,core_interaction_c01,0.1,256,50,0.0023561545938719,1.0,0.0
KAN_tuned_fixed,core_interaction_c01,random,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.008473474998027,0.0120627690272442,3.242816871404648,1.467118416654014,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,89.89729728698731,45.53673846064646,core_interaction_c01,0.1,256,50,3.242816871404648,0.05,0.0
KAN_tuned_fixed,core_interaction_c01,raw,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0004000628585345,0.0001745373398281,0.0087931542191654,0.0035040406331304,50.0,1.0,1.0,1.0,1.0,1.0,0.6,0.1290994448735806,0.7902173913043479,0.1041690295888266,0.669115627907898,0.1297585027695511,0.0,0.0,0.0019296712707728,0.0010435484052599,0.8849011614918709,0.4154954897388704,core_interaction_c01,0.1,256,50,0.0087931542191654,0.6,0.0
KAN_tuned_fixed,core_interaction_c01,rf,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.001691584859509,0.0001531416299763,0.0024365137098357,0.0002305612571263,4.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.7391304347826088,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.26949178352952,0.174872509290659,core_interaction_c01,0.1,256,50,0.0024365137098357,0.5,0.0
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4406841643154621,0.1234693375242657,1.5679109334945678,0.5100109139328776,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.5057291666666667,0.0560020308084288,0.0755,0.0804311299601508,0.0,0.0,0.0,0.0,112.5771276473999,60.10549652763092,core_interaction_c01,0.1,1024,100,1.5679109334945678,0.05,0.0
KAN_tuned_fixed,core_interaction_c01,oracle_support,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0018189276393968,0.0005458339181189,0.0020071696839295,0.0006184217552568,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0093721771845594,0.0255734383183003,0.2420670375227928,0.1610028452259697,core_interaction_c01,0.1,1024,100,0.0020071696839295,1.0,0.0
KAN_tuned_fixed,core_interaction_c01,random,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4710478693246841,0.1330214901365508,1.471313139796257,0.4573718900701521,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.50546875,0.0554632479665588,0.0713333333333333,0.0768548415304245,0.0,0.0,0.0,0.0,101.29057579040528,48.68702128641688,core_interaction_c01,0.1,1024,100,1.471313139796257,0.05,0.0
KAN_tuned_fixed,core_interaction_c01,raw,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0010509803716558,0.0003080394503652,0.0024941804440459,0.0007732917549291,100.0,1.0,1.0,1.0,1.0,1.0,0.55,0.1581138830084189,0.8184895833333334,0.1125198911813299,0.6093891405286126,0.1426440277514321,0.0,0.0,0.0091726904385723,0.0244155453060132,0.2647381655871868,0.1646851839467846,core_interaction_c01,0.1,1024,100,0.0024941804440459,0.55,0.0
KAN_tuned_fixed,core_interaction_c01,rf,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.002033032325562,0.0001029708054082,0.0022127444157376,0.0001562627413484,4.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.2857668384909629,0.1948280423363631,core_interaction_c01,0.1,1024,100,0.0022127444157376,0.5,0.0
