model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std
KAN_tuned_fixed,core_interaction,exclude_interaction,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0033115199243184,0.0016289685118929,4.672961473464966,3.051065031812185,20.0,0.0,0.15,0.0,0.0,0.0,0.15,0.1748014746950252,0.4885416666666667,0.1077627255830009,0.184,0.1678094157072242,0.0,0.0,0.0,0.0,18.230924892425534,3.073290972125471
KAN_tuned_fixed,core_interaction,oracle_support,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.000203461119122,0.0005703001662887,0.117375591038035,0.3709589099144825,20.0,1.0,1.0,1.0,1.0,1.0,0.95,0.1581138830084189,0.9955729166666666,0.0139996667247037,0.9665966386554622,0.1056307033543639,0.9,0.3162277660168379,1.2197834372520446,0.1085833346901441,2.473042792081833,7.551907576590615
KAN_tuned_fixed,core_interaction,random,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0043215200537815,0.0020023225793951,5.421788305044174,2.982100371911516,20.0,0.0,0.3,0.0,0.3,0.0,0.175,0.2058181505871411,0.5640625,0.099637124327102,0.2143235594814542,0.1956745151626742,0.0,0.0,0.0,0.0,17.38637685775757,3.593338864650728
KAN_tuned_fixed,core_interaction,raw,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,9.482033481306162e-10,1.9140331653640246e-09,1.6144691228866577,0.5776424821549366,100.0,1.0,1.0,1.0,1.0,1.0,0.45,0.1054092553389459,0.7166666666666667,0.1069915007405255,0.4988784763821995,0.0803845634024989,0.0,0.0,0.1971907913684845,0.0984376307748195,3.230974054336548,1.6123295732919
KAN_tuned_fixed,core_interaction,rf,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,2.6371476178610464e-05,2.4426684324508016e-05,6.940823914192151e-05,6.106840041699458e-05,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1857687473297118,0.0226157152587505,0.074838288128376,0.0423600032631002
KAN_tuned_fixed,core_interaction,exclude_interaction,20,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0023162316530942,0.000420154058648,1.015687596797943,0.1593166355230323,18.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,18.311235904693604,3.89595142377993
KAN_tuned_fixed,core_interaction,oracle_support,20,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0001876520954283,0.0005563494858191,0.1854393451753822,0.5863148327051386,20.0,1.0,1.0,1.0,1.0,1.0,0.95,0.1581138830084189,0.9609375,0.1235264711003273,0.9610323886639676,0.1232264067980593,0.9,0.3162277660168379,1.242797839641571,0.1879571792274699,1.496658731997013,4.513847595155564
KAN_tuned_fixed,core_interaction,random,20,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0001875577568625,0.0005563822758066,0.1854405307144588,0.586314416161105,20.0,1.0,1.0,1.0,1.0,1.0,0.95,0.1581138830084189,0.9609375,0.1235264711003273,0.9610323886639676,0.1232264067980593,0.9,0.3162277660168379,1.2431815266609192,0.1879061334463156,1.4977381348609924,4.513417897033345
KAN_tuned_fixed,core_interaction,raw,20,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0001875863489658,0.0005563698863548,0.185439024399966,0.5863149454024188,20.0,1.0,1.0,1.0,1.0,1.0,0.95,0.1581138830084189,0.9609375,0.1235264711003273,0.9610323886639676,0.1232264067980593,0.9,0.3162277660168379,1.2428592801094056,0.1878947815734357,1.4978321984410286,4.513350143584978
KAN_tuned_fixed,core_interaction,rf,20,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,1.4265819800129975e-05,9.154036783076424e-06,3.710258870341932e-05,2.0902117437566688e-05,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1842716455459594,0.020585355795249,0.0733686611056327,0.0548011704802496
KAN_tuned_fixed,core_interaction,exclude_interaction,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0029062693298328,0.0018264765270552,3.802723640203476,3.163681088685965,20.0,0.0,0.3,0.0,0.0,0.0,0.3,0.1581138830084189,0.5059782608695652,0.1163009616194036,0.356,0.1454647723677454,0.0,0.0,0.0,0.0,18.46980209350586,5.364045424197594
KAN_tuned_fixed,core_interaction,oracle_support,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,1.5807218005647883e-05,1.5508410788495604e-05,4.865580917794432e-05,5.860059536468653e-05,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1942898869514464,0.0188871546161345,0.0679418444633483,0.039732539096105
KAN_tuned_fixed,core_interaction,random,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.002572712240908,0.0019839524525895,3.084861432663365,2.331018522452516,20.0,0.1,0.45,0.1,0.3,0.1,0.35,0.2687419249432849,0.5983695652173913,0.1957603364468193,0.4215099206349206,0.2515003981681195,0.1,0.3162277660168379,0.1172497868537902,0.3707763816272451,18.68713985979557,11.966143077336731
KAN_tuned_fixed,core_interaction,raw,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,2.930518232191481e-07,8.781206988192937e-07,0.6673790605738759,0.2752076225953396,50.0,1.0,1.0,1.0,1.0,1.0,0.675,0.2371708245126284,0.8630434782608696,0.1214660065954424,0.7430226957942254,0.1969915348301869,0.1,0.3162277660168379,0.776484614610672,0.4006191012844159,4.38837154507637,1.806313701431501
KAN_tuned_fixed,core_interaction,rf,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,1.908098527110269e-05,2.11731997800264e-05,6.689652918794309e-05,9.721953350620324e-05,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1881888151168822,0.0247605532277518,0.0909972004592418,0.0754740538963542
KAN_tuned_fixed,core_interaction,exclude_interaction,5,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.1080577716231346,0.0087983977315804,0.2443377181887626,0.0197786284208983,3.0,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.475,0.0790569415042094,0.8916666666666666,0.0263523138347365,0.0,0.0,0.0,0.0,20.694579362869263,7.968537610797241
KAN_tuned_fixed,core_interaction,oracle_support,5,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,1.4625803430590167e-05,1.1882292585197765e-05,2.54668940897318e-05,1.964462662197177e-05,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1928389072418213,0.0284940941074913,0.1260554417967796,0.1255600762956352
KAN_tuned_fixed,core_interaction,random,5,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,1.466663563860493e-05,1.1858427338834933e-05,2.589626296867209e-05,1.9657389143071887e-05,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.195129942893982,0.0281453227431423,0.125034712255001,0.1257259361059715
KAN_tuned_fixed,core_interaction,raw,5,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,1.5180916329882166e-05,1.1574719788997451e-05,2.733343624186091e-05,2.0213029433402545e-05,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1929869890213012,0.0258397419983121,0.1251297071576118,0.1315148730816774
KAN_tuned_fixed,core_interaction,rf,5,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,1.3573355613516468e-05,1.091238047943968e-05,2.435119474739622e-05,1.917373144235059e-05,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1924309611320496,0.0257769290700951,0.123937614262104,0.1314197348388841
