nohup: 忽略输入
/home/perzival/anaconda3/envs/prism/lib/python3.10/site-packages/torch/cuda/__init__.py:180: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
Using device=cpu
[TUNE] function=core_interaction screen=rf seed=4 trial=29/47 params={'hidden': 64, 'depth': 3, 'activation': 'softplus', 'lr': 0.0007258087218586972, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=30/47 params={'hidden': 512, 'depth': 2, 'activation': 'silu', 'lr': 0.0005639856474473735, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=31/47 params={'hidden': 64, 'depth': 3, 'activation': 'tanh', 'lr': 0.0006563773510151774, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=32/47 params={'hidden': 256, 'depth': 2, 'activation': 'softplus', 'lr': 0.00011239888969396, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=33/47 params={'hidden': 64, 'depth': 3, 'activation': 'gelu', 'lr': 4.824181633514579e-05, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=34/47 params={'hidden': 512, 'depth': 3, 'activation': 'gelu', 'lr': 2.011170581977173e-05, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=35/47 params={'hidden': 64, 'depth': 3, 'activation': 'tanh', 'lr': 0.0002544461250802155, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=36/47 params={'hidden': 256, 'depth': 4, 'activation': 'gelu', 'lr': 0.00018045439330584924, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=37/47 params={'hidden': 64, 'depth': 3, 'activation': 'silu', 'lr': 0.0018092855055598324, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=38/47 params={'hidden': 256, 'depth': 3, 'activation': 'softplus', 'lr': 4.0458954827510885e-05, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=39/47 params={'hidden': 128, 'depth': 4, 'activation': 'tanh', 'lr': 0.000575453057259226, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=40/47 params={'hidden': 256, 'depth': 4, 'activation': 'tanh', 'lr': 0.0006752308391868611, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=41/47 params={'hidden': 64, 'depth': 2, 'activation': 'softplus', 'lr': 0.007904752286035403, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=42/47 params={'hidden': 64, 'depth': 3, 'activation': 'gelu', 'lr': 0.00020094426122154634, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=43/47 params={'hidden': 256, 'depth': 3, 'activation': 'gelu', 'lr': 1.4536389822071115e-05, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=44/47 params={'hidden': 64, 'depth': 2, 'activation': 'tanh', 'lr': 6.889574722957712e-05, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=45/47 params={'hidden': 128, 'depth': 2, 'activation': 'gelu', 'lr': 0.001044790054383982, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=46/47 params={'hidden': 128, 'depth': 4, 'activation': 'tanh', 'lr': 0.009297812213336547, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=47/47 params={'hidden': 128, 'depth': 3, 'activation': 'tanh', 'lr': 0.008266458345005027, 'weight_decay': 0.01, 'dropout': 0.0}
[BEST] function=core_interaction screen=rf: {'hidden': 256, 'depth': 4, 'activation': 'gelu', 'lr': 0.0041220891245246655, 'weight_decay': 0.01, 'dropout': 0.0, 'best_val_mse': 0.7285263538360596, 'best_epoch': 18, 'screen_mode': 'rf', 'function': 'core_interaction'}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=0/47 params={'hidden': 256, 'depth': 4, 'activation': 'silu', 'lr': 1.7914823299257556e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=1/47 params={'hidden': 256, 'depth': 2, 'activation': 'softplus', 'lr': 0.001787546030632301, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=2/47 params={'hidden': 512, 'depth': 2, 'activation': 'softplus', 'lr': 1.8929994108767884e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=3/47 params={'hidden': 64, 'depth': 2, 'activation': 'tanh', 'lr': 0.0007305923493047296, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=4/47 params={'hidden': 128, 'depth': 4, 'activation': 'tanh', 'lr': 5.8110280793000584e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=5/47 params={'hidden': 128, 'depth': 3, 'activation': 'gelu', 'lr': 2.4007419954316807e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=6/47 params={'hidden': 256, 'depth': 3, 'activation': 'silu', 'lr': 0.009512147812778116, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=7/47 params={'hidden': 64, 'depth': 2, 'activation': 'softplus', 'lr': 0.004391054285623942, 'weight_decay': 0.01, 'dropout': 0.0}
